Trace
Swept SA
A.16.09,N9010A
544 B25 B40 EXM FS1 MPB P44 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.006333333333
Start Frequency,0
Stop Frequency,1000000
Average Count,100
Average Type,LogPower(Video)
RBW,1800
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,18000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,DC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Maxhold
Detector,Peak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
0,-14.7769069671631
1000,-15.678768157959
2000,-23.2966709136963
3000,-39.909839630127
4000,-61.2719116210938
5000,-66.0920791625977
6000,-68.3049545288086
7000,-69.4120101928711
8000,-70.2868347167969
9000,-71.2538223266602
10000,-71.6645355224609
11000,-72.0641860961914
12000,-72.2131881713867
13000,-72.2233505249023
14000,-73.062873840332
15000,-72.7928924560547
16000,-73.0451049804688
17000,-75.2300491333008
18000,-74.3616943359375
19000,-74.1285705566406
20000,-72.3325500488281
21000,-72.219841003418
22000,-72.4007873535156
23000,-71.4415054321289
24000,-70.8520584106445
25000,-70.6779174804688
26000,-68.6975860595703
27000,-68.4128646850586
28000,-69.8679656982422
29000,-71.3341217041016
30000,-68.9040985107422
31000,-68.5997085571289
32000,-69.7476425170898
33000,-69.2159423828125
34000,-69.2359313964844
35000,-69.0875930786133
36000,-67.2841949462891
37000,-67.1039047241211
38000,-68.4656295776367
39000,-67.8847885131836
40000,-67.8163070678711
41000,-67.6089859008789
42000,-67.7235870361328
43000,-67.4007720947266
44000,-68.4700622558594
45000,-68.2602844238281
46000,-67.0577239990234
47000,-66.898323059082
48000,-67.3004302978516
49000,-67.0845108032227
50000,-67.4460754394531
51000,-67.3019638061523
52000,-67.0656890869141
53000,-66.8822555541992
54000,-66.5992965698242
55000,-66.4711532592773
56000,-66.0100326538086
57000,-65.8757476806641
58000,-65.7291717529297
59000,-65.6514053344727
60000,-65.6792984008789
61000,-65.6273345947266
62000,-65.678581237793
63000,-65.6425933837891
64000,-64.6089019775391
65000,-64.5643081665039
66000,-64.1990203857422
67000,-64.1470565795898
68000,-63.9795951843262
69000,-63.9497489929199
70000,-63.782283782959
71000,-63.7671813964844
72000,-63.5493431091309
73000,-63.545295715332
74000,-63.1910705566406
75000,-63.1882553100586
76000,-62.948299407959
77000,-62.9491691589355
78000,-62.8062782287598
79000,-62.8059196472168
80000,-62.4652099609375
81000,-62.4648513793945
82000,-62.3231925964355
83000,-62.3252906799316
84000,-62.1221961975098
85000,-62.1267509460449
86000,-61.7454948425293
87000,-61.751277923584
88000,-61.7288017272949
89000,-61.7431869506836
90000,-61.4823417663574
91000,-61.5065574645996
92000,-61.2383422851563
93000,-61.2711563110352
94000,-61.1933898925781
95000,-61.2311172485352
96000,-61.056282043457
97000,-61.1149024963379
98000,-60.6783561706543
99000,-60.7382011413574
100000,-60.7464408874512
101000,-60.8216209411621
102000,-60.4692153930664
103000,-60.5689659118652
104000,-60.1588134765625
105000,-60.2941970825195
106000,-60.0548286437988
107000,-60.2074165344238
108000,-59.9594497680664
109000,-60.1058921813965
110000,-59.8063201904297
111000,-59.9859390258789
112000,-59.5008316040039
113000,-59.6792221069336
