Coupling,,Rloss,,Isolation,,Iloss,
X,Y,X,Y,X,Y,X,Y
1100000000,-26.818183556973537,1100000000,-37.13661011972679,1100000000,-56.77078483516491,1100000000,-0.1328968524184868
1200000000,-26.085733931021622,1200000000,-36.67031899440441,1200000000,-56.26466191101153,1200000000,-0.13995364827892798
1300000000,-25.41278035643988,1300000000,-36.22302356740459,1300000000,-55.73619201815802,1300000000,-0.14573759548748333
1400000000,-24.8234579852327,1400000000,-35.77881053945842,1400000000,-55.20006736701769,1400000000,-0.14568980011018706
1500000000,-24.197204351407866,1500000000,-35.34011371676101,1500000000,-54.61132194309506,1500000000,-0.157977043819301
1600000000,-23.61278282692685,1600000000,-34.9125114894814,1600000000,-54.02538302093592,1600000000,-0.15860297019524316
1700000000,-23.05753409342254,1700000000,-34.47248993967791,1700000000,-53.43584101770951,1700000000,-0.1588888998817669
1800000000,-22.529494479864642,1800000000,-34.03711241509763,1800000000,-52.81945972767121,1800000000,-0.1715894822748829
1900000000,-22.050739964267134,1900000000,-33.60092182182247,1900000000,-52.17400991803713,1900000000,-0.17146108186551468
2000000000,-21.58082895573138,2000000000,-33.14287884608845,2000000000,-51.524756854234354,2000000000,-0.17697845700077763
2100000000,-21.169581673111857,2100000000,-32.65481452322069,2100000000,-50.874071383109374,2100000000,-0.18429638408523985
2200000000,-20.805564416718298,2200000000,-32.18981807419862,2200000000,-50.2262012295688,2200000000,-0.18431449600079652
2300000000,-20.480455697528765,2300000000,-31.664485263980062,2300000000,-49.54266082413727,2300000000,-0.19438943511206186
2400000000,-20.158485680857016,2400000000,-31.154916140985073,2400000000,-48.86724370648832,2400000000,-0.19720095830555984
2500000000,-19.819035651508454,2500000000,-30.65725293307395,2500000000,-48.19408126975494,2500000000,-0.1971754853029487
2600000000,-19.496002747870985,2600000000,-30.138515140720422,2600000000,-47.51206012429611,2600000000,-0.21037257549145905
2700000000,-19.191230718987253,2700000000,-29.64923889786759,2700000000,-46.824673254715734,2700000000,-0.21003174609356523
