Trace
Swept SA
A.01.57,N9010A
526 B25 PFR P26 EA3 ,01
Segment,0
Number of Points,1001
Sweep Time,0.001
Start Frequency,1852000000
Stop Frequency,2852000000
Average Count,0
Average Type,LogPower(Video)
RBW,3000000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,50000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,1E-06
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,40
Ref Level Offset,0
External Gain,0
Trace Type,Maxhold
Detector,Peak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
1852000000,-31.0019770380577
1853000000,-30.9788601289244
1854000000,-31.2173806177892
1855000000,-30.7033261191539
1856000000,-30.7243054006944
1857000000,-30.7247064599205
1858000000,-30.5016868197325
1859000000,-30.5403045775425
1860000000,-31.090438147169
1861000000,-30.6704555219712
1862000000,-31.2000108692832
1863000000,-30.7153538310971
1864000000,-30.9421153357822
1865000000,-28.3474555738535
1866000000,-31.4191563135117
1867000000,-31.0903058157065
1868000000,-31.7374510048154
1869000000,-31.0087950449008
1870000000,-31.0562320408456
1871000000,-31.4799565305404
1872000000,-30.9975043018881
1873000000,-30.9045684241878
1874000000,-30.8535239276278
1875000000,-30.8708285266121
1876000000,-30.5677008067
1877000000,-31.6580127120809
1878000000,-31.1424883404231
1879000000,-30.9082762932062
1880000000,-30.0968379860494
1881000000,-30.2981421913682
1882000000,-31.2115998760694
1883000000,-30.8109910786904
1884000000,-30.7249351081181
1885000000,-31.2018405051484
1886000000,-29.8619828464169
1887000000,-30.8467293727074
1888000000,-30.8929619741566
1889000000,-30.5121964625809
1890000000,-30.5349110956707
1891000000,-30.3444941405036
1892000000,-29.6190434051608
1893000000,-31.0535710763244
1894000000,-31.0520328045436
1895000000,-31.5186490904166
1896000000,-31.3208827701373
1897000000,-30.517528764604
1898000000,-30.1793895706797
1899000000,-31.2956897324804
1900000000,-30.2299633924379
1901000000,-30.8906029172758
1902000000,-29.9461411015863
1903000000,-30.6655755473226
1904000000,-31.4379254218675
1905000000,-31.4283028484631
1906000000,-29.9017713158791
1907000000,-30.3536888715275
1908000000,-30.1529828052033
1909000000,-30.3866242170162
1910000000,-30.5188443902794
1911000000,-31.0912915337696
1912000000,-29.9469269870254
1913000000,-30.8537702431255
1914000000,-30.7125940342109
1915000000,-30.835260032828
1916000000,-30.4787474261229
1917000000,-30.7836776795253
1918000000,-30.921042408367
1919000000,-31.0348891688494
1920000000,-31.3251206920271
1921000000,-30.6908020840769
1922000000,-31.0824548458044
1923000000,-30.7523999535036
1924000000,-30.8339095074918
1925000000,-30.6287938221002
1926000000,-31.0645427745015
1927000000,-31.003474645311
1928000000,-30.5999261018872
1929000000,-30.9879041810585
1930000000,-30.3550554461308
1931000000,-30.7783104778412
1932000000,-30.5811814908076
1933000000,-30.85063958514
1934000000,-31.1333265366745
1935000000,-30.6869564690684
1936000000,-30.6301027524144
1937000000,-30.2638407645324
1938000000,-30.7339365264307
1939000000,-30.8652265566517
1940000000,-29.7103776922195
1941000000,-30.8044345521524
1942000000,-30.9871701381596
1943000000,-31.0060148821623
1944000000,-31.2049190714166
1945000000,-30.7975006389057
1946000000,-30.7009603506453
1947000000,-29.9422422657662
1948000000,-30.0198819306674
1949000000,-29.9909558014402
1950000000,-30.8733509461388
1951000000,-30.8120876104174
1952000000,-30.8640044974256
1953000000,-30.9306201146583
1954000000,-30.1454443153749
1955000000,-30.8904063324734
1956000000,-30.8761789334708
1957000000,-30.287231182686
1958000000,-30.3024012441326
1959000000,-30.7710271330084
1960000000,-30.6950650670625
1961000000,-30.3045501743099
1962000000,-30.6791041897482
1963000000,-30.6560575526108
1964000000,-30.6403602805858
1965000000,-30.6246630085607
1966000000,-30.3458584655151
1967000000,-30.4426064797083
1968000000,-29.9874171739674
1969000000,-30.6449217462295
1970000000,-29.3408807700174
1971000000,-30.3658535978947
1972000000,-30.4662762946441
1973000000,-29.6517030349115
1974000000,-29.9968595899006
1975000000,-30.7124241465498
1976000000,-30.8709068276864
1977000000,-30.0658877425998
1978000000,-30.060479581732
1979000000,-30.3027450251488
1980000000,-30.4972395953357
1981000000,-29.911966527107
1982000000,-30.8707950689735
1983000000,-30.6052193831301
1984000000,-29.8575253459195
1985000000,-28.9961922271041
1986000000,-29.6717046496685
1987000000,-30.134085483976
1988000000,-30.5795627785251
1989000000,-30.5892227219147
1990000000,-30.2769804733852
1991000000,-30.9546977054832
1992000000,-30.6711179808918
1993000000,-28.8544606938736
1994000000,-30.4302703426953
1995000000,-30.5582550643929
1996000000,-29.6602684164128
1997000000,-30.5165752207398
1998000000,-30.6011986882748
1999000000,-29.2975270860955
2000000000,-30.1303159220631
2001000000,-30.0547232301499
2002000000,-31.1190170671551
2003000000,-29.5860452734719
2004000000,-30.2020278386266
2005000000,-29.7023767797334
2006000000,-30.6123339493802
2007000000,-30.3706456059289
2008000000,-30.2024509136006
2009000000,-30.6810003511552
2010000000,-28.9907521440686
2011000000,-29.8786612183786
2012000000,-30.662944244605
2013000000,-29.9898481690614
2014000000,-30.2060252721067
2015000000,-30.8014296149469
2016000000,-29.9093224590566
2017000000,-30.8457373431078
2018000000,-28.1861078777082
2019000000,-30.6578051337198
2020000000,-30.7608020140356
2021000000,-30.7520885446443
2022000000,-30.9976631081389
2023000000,-30.540638366897
2024000000,-31.1838135829672
2025000000,-30.8142462865618
2026000000,-29.9441872260084
2027000000,-29.8854980738535
2028000000,-30.2126505900946
2029000000,-30.3678279627078
2030000000,-30.6692577010558
2031000000,-30.7854834385737
2032000000,-31.036937494158
2033000000,-29.8545304163317
2034000000,-30.0640930907759
2035000000,-31.115158070579
2036000000,-30.3377010104407
2037000000,-30.5141915418796
2038000000,-28.2624518402129
2039000000,-29.9514417117641
2040000000,-30.5571351657615
2041000000,-30.219170139339
2042000000,-30.2266252731948
2043000000,-30.8396680923046
2044000000,-29.7351642846687
2045000000,-30.9949512336612
2046000000,-30.5129386510376
2047000000,-29.5166911671644
2048000000,-30.8311587978602
2049000000,-30.650030628202
2050000000,-30.517408268285
2051000000,-30.2208950663637
2052000000,-30.009634499745
2053000000,-30.453937301144
2054000000,-30.4683022434731
2055000000,-30.3459689947133
2056000000,-30.0523955388369
2057000000,-30.8818050721206
2058000000,-30.1252216141689
2059000000,-30.5092596216469
2060000000,-30.5331787386221
2061000000,-30.3483758864077
2062000000,-30.6721490999649
2063000000,-30.5490809146939
2064000000,-30.2907844113565
2065000000,-30.3470407348257
2066000000,-28.9113759404971
2067000000,-30.739564192543
2068000000,-29.9205111311368
2069000000,-30.2832359797891
2070000000,-30.3402272397696
2071000000,-30.7257351202701
2072000000,-30.8312321899918
2073000000,-30.6236463059293
2074000000,-29.8629450753496
2075000000,-30.6436975552594
2076000000,-30.4337556180306
2077000000,-29.9658509653599
2078000000,-30.2196539667174
2079000000,-30.6028057940516
2080000000,-30.5567546988272
2081000000,-29.0261318509172
2082000000,-30.7645066049603
2083000000,-30.5802874456245
2084000000,-29.8492755219333
2085000000,-30.0707413167967
2086000000,-29.6278245055079
2087000000,-30.5313113827932
2088000000,-30.1883459370316
2089000000,-30.2128487468853
2090000000,-29.9169192378425
2091000000,-30.0678311276278
2092000000,-29.8924312064268
2093000000,-30.0551020803919
2094000000,-30.4941090825795
2095000000,-29.7895548732926
2096000000,-30.1491887322674
2097000000,-30.3787388287543
2098000000,-30.1401343675875
2099000000,-29.6994223658323
2100000000,-30.4963434489892
2101000000,-29.245731411858
2102000000,-29.5700883182938
2103000000,-30.128889971812
2104000000,-29.4750463817999
2105000000,-30.2638831633333
2106000000,-30.3633494973325
2107000000,-30.5245504982751
2108000000,-30.0390073693348
2109000000,-30.4919781652359
2110000000,-30.7303474998576
2111000000,-30.1433831323675
2112000000,-30.7852326116548
2113000000,-29.6882223053708
2114000000,-29.8229655919091
2115000000,-29.7181195757862
2116000000,-29.905778291133
2117000000,-29.7340530524882
2118000000,-28.6311339121524
2119000000,-30.0635403418282
2120000000,-30.1495430829297
2121000000,-30.342846554671
2122000000,-29.6689249431602
2123000000,-29.5116636990445
2124000000,-30.2804224590792
2125000000,-29.5653444029395
2126000000,-29.5763836198956
2127000000,-30.2687089827623
2128000000,-29.8520151501822
2129000000,-30.1415953048946
2130000000,-29.9012862350099
2131000000,-28.8900287648443
2132000000,-29.4912220003185
2133000000,-29.8565006156876
2134000000,-30.0703823097433
2135000000,-29.3854366505641
2136000000,-30.0083506737105
2137000000,-30.192452044552
2138000000,-29.5887014753545
2139000000,-28.5234107771043
2140000000,-30.0156991379361
2141000000,-29.508960188221
2142000000,-29.4284844150196
2143000000,-30.335763312912
2144000000,-29.8466628394664
2145000000,-30.1248360837455
2146000000,-29.9826256436007
2147000000,-29.9109691085341
2148000000,-30.2178048767511
2149000000,-28.4535895563207
2150000000,-29.8753240120744
2151000000,-29.9388957950741
2152000000,-30.0781660387306
2153000000,-29.2517297066303
2154000000,-30.0590572389953
2155000000,-30.0961713075908
2156000000,-29.7452388982566
2157000000,-30.3533986360781
2158000000,-30.0958031636702
2159000000,-30.1329172322656
2160000000,-30.023043998615
2161000000,-30.0366400988511
2162000000,-30.1266695962552
2163000000,-30.0748563469917
2164000000,-29.7834537950672
2165000000,-30.6620701690215
2166000000,-29.3461661204417
2167000000,-29.465593078295
2168000000,-29.2763467014315
2169000000,-30.4629014735914
2170000000,-29.9436686031854
2171000000,-29.9344816715733
2172000000,-30.2067754237626
2173000000,-30.4408524773678
2174000000,-29.9973180676185
2175000000,-30.3416355979084
2176000000,-29.8885470135131
2177000000,-29.9535886695353
2178000000,-30.5499894231772
2179000000,-30.3284058398195
2180000000,-30.1362197169111
2181000000,-30.3769111991174
2182000000,-29.7599317727177
2183000000,-30.2181644622483
2184000000,-30.3758081186855
2185000000,-29.6897446602302
2186000000,-29.9561589203296
2187000000,-29.8404061945891
2188000000,-30.1391576611826
2189000000,-29.7107926022391
2190000000,-29.825900223118
2191000000,-29.9189597486601
2192000000,-30.1421030366898
2193000000,-29.4546599873051
2194000000,-29.4301296710502
2195000000,-21.2044428259745
2196000000,-6.86334927095015
2197000000,3.11589608992143
2198000000,9.679891483105
2199000000,13.3526466411079
2200000000,14.3178956917378
2201000000,14.2387999599092
2202000000,13.6518630988203
2203000000,13.6425863355586
2204000000,13.6281650167182
2205000000,13.6578398885517
2206000000,13.6404788236664
2207000000,13.647924353549
2208000000,13.6163611494834
2209000000,13.6347736281815
2210000000,13.6509812973459
2211000000,13.6745383316226
2212000000,13.7039748579891
2213000000,13.7084235429738
2214000000,13.7003783072676
2215000000,13.6746945952918
2216000000,13.6784083437653
2217000000,13.6703631080591
2218000000,13.6681973644427
2219000000,13.6748508589611
2220000000,13.6785646074346
2221000000,13.6675796256834
2222000000,13.668353628112
2223000000,13.6456096621812
2224000000,13.6463836646097
2225000000,13.6500974130832
2226000000,13.6449919234219
2227000000,13.6193082114461
2228000000,13.6347809440993
2229000000,13.6355549465278
2230000000,13.6363289489564
2231000000,13.5900670146662
2232000000,13.6026000012744
2233000000,13.5328200986248
2234000000,13.5306543550084
2235000000,13.5196693732573
2236000000,13.5211783121971
2237000000,13.5094583939347
2238000000,13.4631964596445
2239000000,13.4904281764774
2240000000,13.4941419249508
2241000000,13.4860966892446
2242000000,13.4809911995833
2243000000,13.4788254559669
2244000000,13.4472622519013
2245000000,13.4127593017908
2246000000,13.4223525423541
2247000000,13.4312108464062
2248000000,13.4268402932561
2249000000,13.4187950575499
2250000000,13.4107498218437
2251000000,13.4056443321824
2252000000,13.4277314934366
2253000000,13.4101320830844
2254000000,13.4138458315579
2255000000,13.4587160246603
2256000000,13.4271528205947
2257000000,13.4161678388435
2258000000,13.4287008254518
2259000000,13.4419687485712
2260000000,13.4761960637446
2261000000,13.465320693864
2262000000,13.4515055779384
2263000000,13.4553289382824
2264000000,13.4620920446713
2265000000,13.4600359129254
2266000000,13.4521002890897
2267000000,13.4382851731642
2268000000,13.447988025598
2269000000,13.4606306240767
2270000000,13.4409360160614
2271000000,13.4293257096695
2272000000,13.4309442604798
2273000000,13.4524060970933
2274000000,13.429771743033
2275000000,13.4365348494219
2276000000,13.4139004953616
2277000000,13.4177238557055
2278000000,13.4141978509372
2279000000,13.4018526080342
2280000000,13.4144952065129
2281000000,13.4146438843007
2282000000,13.416262435111
2283000000,13.3171946838827
2284000000,13.3239577902716
2285000000,13.3277811506156
2286000000,13.3227852728248
2287000000,13.3266086331688
2288000000,13.3069140251534
2289000000,13.3136771315423
2290000000,13.3175004918863
2291000000,13.3272033443201
2292000000,13.3251472125743
2293000000,13.3054526045589
2294000000,13.3151554569927
2295000000,13.3160390712918
2296000000,13.2963444632764
2297000000,13.2942883315305
2298000000,13.280473215605
2299000000,13.2872363219939
2300000000,13.2763609521132
2301000000,13.2713650743225
2302000000,13.2663691965317
2303000000,13.2848912871003
2304000000,13.2798954093095
2305000000,13.2653453568727
2306000000,13.2493254314135
2307000000,13.2766667601168
2308000000,13.2599118981464
2309000000,13.2372775440861
2310000000,13.2609441902333
2311000000,13.2625627410435
2312000000,13.2752053395223
2313000000,13.2731492077764
2314000000,13.253454599761
2315000000,13.2293503726782
2316000000,13.2258243679099
2317000000,13.2178887440742
2318000000,13.2040736281487
2319000000,13.1873187661782
2320000000,13.1764433962976
2321000000,13.1655680264169
2322000000,13.1605721486262
2323000000,13.1489979886705
2324000000,13.1499177494057
2325000000,13.1493676371185
2326000000,13.1444079057639
2327000000,13.1232795711622
2328000000,13.1058259191167
2329000000,13.094251759161
2330000000,13.1150148056994
2331000000,13.0916816615641
2332000000,13.0801075016084
2333000000,13.0597141035179
2334000000,13.056959181697
2335000000,13.0564090694098
2336000000,13.0161723855161
2337000000,13.0045982255604
2338000000,13.0077227958293
2339000000,13.0020281279635
2340000000,12.9904539680078
2341000000,13.0053375224564
2342000000,12.9908236164558
2343000000,12.9704302183653
2344000000,12.9448922646963
2345000000,12.947281898454
2346000000,12.9210090082737
2347000000,12.8859168799586
2348000000,12.8861017041826
2349000000,12.8627685600472
2350000000,12.8688328763611
2351000000,12.8366804940909
2352000000,12.8045281118208
2353000000,12.8135321741796
2354000000,12.7696208077297
2355000000,12.7492274096393
2356000000,12.7435327417734
2357000000,12.7172598515932
2358000000,12.6939267074578
2359000000,12.6735333093673
2360000000,12.6325616889624
2361000000,12.6033490527372
2362000000,12.5888351467366
2363000000,12.5684417486461
2364000000,12.5539278426455
2365000000,12.5276549524652
2366000000,12.4896230781052
2367000000,12.4633501879249
2368000000,12.4488362819243
2369000000,12.4431416140585
2370000000,12.4051097396985
2371000000,12.3523791351139
2372000000,12.3790216737422
