Trace
Swept SA
A.01.57,N9010A
526 B25 PFR P26 EA3 ,01
Segment,0
Number of Points,1001
Sweep Time,0.001
Start Frequency,1852000000
Stop Frequency,2852000000
Average Count,0
Average Type,LogPower(Video)
RBW,3000000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,50000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,1E-06
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,40
Ref Level Offset,0
External Gain,0
Trace Type,Maxhold
Detector,Peak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
1852000000,-31.1325273538422
1853000000,-31.5356748212226
1854000000,-30.7022414929718
1855000000,-31.2376769323736
1856000000,-31.009513336607
1857000000,-31.0345872844452
1858000000,-29.1836844718817
1859000000,-31.0599590605376
1860000000,-30.041003778687
1861000000,-31.051943140855
1862000000,-30.8337561034759
1863000000,-30.484640536126
1864000000,-30.4269822109648
1865000000,-30.8786348880864
1866000000,-30.9598795635478
1867000000,-31.4152069232255
1868000000,-30.5314799594413
1869000000,-31.1043971609159
1870000000,-30.9291489939579
1871000000,-30.6992083723991
1872000000,-31.2206806180876
1873000000,-31.1037989882865
1874000000,-30.5926848356961
1875000000,-30.6332032502702
1876000000,-31.0010737651115
1877000000,-30.5262756543411
1878000000,-31.0675905858328
1879000000,-30.7595831347231
1880000000,-30.4555539730851
1881000000,-31.5421561216669
1882000000,-30.7902488719198
1883000000,-30.9937590867723
1884000000,-30.3641506506592
1885000000,-31.1526697284511
1886000000,-30.6991461022636
1887000000,-30.9736470059358
1888000000,-31.091466601744
1889000000,-30.2900216529747
1890000000,-30.8756988536671
1891000000,-31.1478533168337
1892000000,-31.0350456790874
1893000000,-30.8012686697578
1894000000,-31.295372159316
1895000000,-30.9153421842516
1896000000,-30.6312967393886
1897000000,-31.2096245749686
1898000000,-31.1382685346209
1899000000,-31.0936605614472
1900000000,-30.1298012436961
1901000000,-30.1432520549096
1902000000,-30.7656754811634
1903000000,-30.3746214584305
1904000000,-30.5263981647272
1905000000,-30.5888005694234
1906000000,-30.5762394499742
1907000000,-30.9174683451965
1908000000,-30.5866791163844
1909000000,-31.1054764945548
1910000000,-31.2910638803681
1911000000,-30.8731009594893
1912000000,-31.1417373710717
1913000000,-29.7896689444189
1914000000,-30.8373392579056
1915000000,-30.910030773759
1916000000,-31.2571337610712
1917000000,-30.5975483589694
1918000000,-28.7751175651292
1919000000,-31.0369059951686
1920000000,-30.9658277075906
1921000000,-30.9698923751299
1922000000,-31.1935224285554
1923000000,-31.2059485504879
1924000000,-30.8009307340416
1925000000,-31.1136711362978
1926000000,-31.1285768205337
1927000000,-30.7769358166376
1928000000,-31.0098434919393
1929000000,-31.3779794853074
1930000000,-31.3870032774535
1931000000,-31.035635826327
1932000000,-31.0406149798819
1933000000,-31.0381471650589
1934000000,-30.5459422809869
1935000000,-30.511872796181
1936000000,-30.5946582166609
1937000000,-31.3700213834895
1938000000,-29.4116205595126
1939000000,-30.8753516845945
1940000000,-30.3241526486521
1941000000,-30.3442027129076
1942000000,-30.0154236870984
1943000000,-30.2065087274988
1944000000,-30.2584262145069
1945000000,-30.667522845973
1946000000,-30.3798996647927
1947000000,-30.899710156685
1948000000,-30.812251259329
1949000000,-30.3070868708245
1950000000,-30.4631055896577
1951000000,-30.4216867397395
1952000000,-31.2587755735115
1953000000,-30.7614375338608
1954000000,-31.3145823215281
1955000000,-30.2489187277244
1956000000,-30.3130739826538
1957000000,-30.3057177650219
1958000000,-30.1327446795935
1959000000,-28.6013545686416
1960000000,-31.4114893822977
1961000000,-30.485206972858
1962000000,-30.8516778866728
1963000000,-31.061124339854
1964000000,-31.1135254106037
1965000000,-30.947418106546
1966000000,-30.5444098931025
1967000000,-28.7663354671468
1968000000,-30.0639703406906
1969000000,-30.9316673551645
1970000000,-31.292745360631
1971000000,-30.3789568718823
1972000000,-30.427446829104
1973000000,-30.713563110425
1974000000,-30.9788581384596
1975000000,-30.769873163981
1976000000,-30.6525111006364
1977000000,-30.1328921346769
1978000000,-30.9983843396172
1979000000,-29.4449581333283
1980000000,-30.2349942303815
1981000000,-29.6379627779732
1982000000,-30.3459380167405
1983000000,-30.6090228352414
1984000000,-30.2140989234214
1985000000,-30.3625691710368
1986000000,-30.5611083978125
1987000000,-29.4644519390305
1988000000,-30.5691684841534
1989000000,-29.6574555952296
1990000000,-31.0135198271933
1991000000,-30.3357795798127
1992000000,-30.5970235628127
1993000000,-29.9400966905162
1994000000,-30.2964139144368
1995000000,-30.0755377460696
1996000000,-30.1329691626891
1997000000,-30.2580147383418
1998000000,-30.491599964887
1999000000,-30.3993352859851
2000000000,-30.2147428376401
2001000000,-29.7606590424432
2002000000,-30.3129318838905
2003000000,-30.7878072388889
2004000000,-30.7651305757843
2005000000,-30.6050207850796
2006000000,-29.696010689431
2007000000,-30.5361494905109
2008000000,-29.6896089983169
2009000000,-30.1593397977367
2010000000,-30.2285301985359
2011000000,-30.4996049871538
2012000000,-30.490380334021
2013000000,-30.5233368930002
2014000000,-30.4692799126824
2015000000,-30.0179145107607
2016000000,-29.3389401431273
2017000000,-30.268961351347
2018000000,-30.218138148046
2019000000,-30.3534734348559
2020000000,-30.3765811882172
2021000000,-30.1370982542996
2022000000,-30.876550753341
2023000000,-30.6752845180074
2024000000,-30.7797518713456
2025000000,-30.0189841981959
2026000000,-30.470342184835
2027000000,-30.0407248472783
2028000000,-30.5940254562087
2029000000,-30.9608657440562
2030000000,-30.1476097476373
2031000000,-30.4752866476199
2032000000,-29.2230618012267
2033000000,-29.548955597215
2034000000,-30.9885932386894
2035000000,-30.1150694483496
2036000000,-30.3707255702316
2037000000,-30.695674476939
2038000000,-30.104157554142
2039000000,-30.7063838783529
2040000000,-28.965954835733
2041000000,-30.2597552170119
2042000000,-30.0496697435435
2043000000,-30.0532468420735
2044000000,-31.0278796247086
2045000000,-31.2411181817089
2046000000,-30.2137839077523
2047000000,-30.5382185345602
2048000000,-30.9158442662069
2049000000,-30.7817526332675
2050000000,-30.1993497284774
2051000000,-30.3017084993845
2052000000,-29.8905464017112
2053000000,-30.0506279260336
2054000000,-30.0449528297898
2055000000,-30.8383516740232
2056000000,-30.2331663373851
2057000000,-30.7575784185081
2058000000,-29.3167702686009
2059000000,-30.281409319951
2060000000,-28.9971426469359
2061000000,-30.862272077313
2062000000,-28.5746239136986
2063000000,-30.5747885093724
2064000000,-30.3128185234789
2065000000,-30.5278223333739
2066000000,-30.0167088701732
2067000000,-29.8848226467675
2068000000,-30.2291752826391
2069000000,-30.0245303446215
2070000000,-29.6067538183471
2071000000,-30.1195940680602
2072000000,-30.0441108032495
2073000000,-30.3496977567955
2074000000,-30.1798860812451
2075000000,-29.9780290456398
2076000000,-29.8987222546403
2077000000,-29.4940233419354
2078000000,-30.1299945291328
2079000000,-30.0369086971896
2080000000,-29.7909560709105
2081000000,-30.0227121769312
2082000000,-30.0466618030433
2083000000,-29.8108177351517
2084000000,-29.9389477930889
2085000000,-30.1515955498176
2086000000,-30.3210602051534
2087000000,-29.9125084571226
2088000000,-29.6410100057201
2089000000,-29.433273478025
2090000000,-29.3569148330704
2091000000,-28.8757825231975
2092000000,-29.3921336118341
2093000000,-30.4064225495455
2094000000,-28.517151884155
2095000000,-28.8620882129052
2096000000,-30.1251323969519
2097000000,-30.1275877114687
2098000000,-27.3304989019389
2099000000,-29.862606288111
2100000000,-30.2760614651753
2101000000,-29.2332679079526
2102000000,-29.8038297456505
2103000000,-29.7577798504261
2104000000,-29.6029593515395
2105000000,-29.8744020291667
2106000000,-29.2315836868231
2107000000,-30.2938180505342
2108000000,-29.5157713901242
2109000000,-29.2641036245249
2110000000,-28.2031058072912
2111000000,-27.6558286114076
2112000000,-28.4821477550137
2113000000,-29.8949462345817
2114000000,-29.9207581646882
2115000000,-29.6285045382016
2116000000,-30.0087178194908
2117000000,-30.1802091315906
2118000000,-29.8777960047544
2119000000,-28.9442840520097
2120000000,-29.1838897239584
2121000000,-30.1488777324916
2122000000,-29.6926550810748
2123000000,-27.9323419531957
2124000000,-29.2906763480069
2125000000,-29.660945366185
2126000000,-28.6651227627553
2127000000,-29.574255596435
2128000000,-28.7939223435655
2129000000,-29.8021186534916
2130000000,-29.6860150540048
2131000000,-29.5530079147597
2132000000,-29.7610113167255
2133000000,-29.7316302255639
2134000000,-29.6963696423124
2135000000,-29.5752702400167
2136000000,-29.5110192251626
2137000000,-29.5354924202975
2138000000,-29.1140073058851
2139000000,-28.7145702868097
2140000000,-29.8408614650487
2141000000,-28.8381867230228
2142000000,-28.6687842319625
2143000000,-29.5200646022316
2144000000,-29.8049968278814
2145000000,-29.424667558098
2146000000,-29.2001448286954
2147000000,-29.5119841997214
2148000000,-29.6916771514956
2149000000,-29.6817564833723
2150000000,-28.9538028437769
2151000000,-29.9580945611516
2152000000,-29.9467040200059
2153000000,-29.9117955105008
2154000000,-28.1130393740425
2155000000,-29.4502573310047
2156000000,-28.8832547873687
2157000000,-29.8926910603221
2158000000,-30.0071096153664
2159000000,-30.1109691537142
2160000000,-30.319458382196
2161000000,-29.8993093880365
2162000000,-29.1375486689244
2163000000,-29.8105159725039
2164000000,-29.8211729266951
2165000000,-29.3723638085976
2166000000,-29.2477930447223
2167000000,-28.1736843083373
2168000000,-28.2813534820109
2169000000,-28.8542374672934
2170000000,-29.0905205304323
2171000000,-28.7366495750532
2172000000,-29.7653207500682
2173000000,-29.7692373228887
2174000000,-28.0572036947556
2175000000,-29.2173019525112
2176000000,-30.0069922086067
2177000000,-29.1298464572315
2178000000,-29.5088301563188
2179000000,-29.5039310910044
2180000000,-29.1206626751761
2181000000,-29.5084638123981
2182000000,-29.6123371507459
2183000000,-28.6176015575738
2184000000,-28.9391372560155
2185000000,-29.2747555009402
2186000000,-28.5525626006649
2187000000,-27.6180918014137
2188000000,-29.409617475086
2189000000,-29.5183752530823
2190000000,-28.2128517977527
2191000000,-28.3625026346594
2192000000,-28.3173952960901
2193000000,-29.8729796789807
2194000000,-28.6233113985047
2195000000,-20.0751013777685
2196000000,-6.16100653576899
2197000000,3.88805719366947
2198000000,10.5865453684082
2199000000,14.2166736087598
2200000000,15.0915248685083
2201000000,15.0682837115332
2202000000,15.0568015387378
2203000000,15.0570783501221
2204000000,15.0426564312817
2205000000,15.0517524808007
2206000000,15.0343908159155
2207000000,15.0300767616184
2208000000,15.027910418002
2209000000,15.0235392648519
2210000000,15.032396968904
2211000000,15.0214113871528
2212000000,15.0185101070252
2213000000,15.0082594617853
2214000000,15.006093118169
2215000000,14.9980472824627
2216000000,14.9988206848913
2217000000,14.9907748491851
2218000000,14.9878735690575
2219000000,14.9835024159074
2220000000,14.9872155643809
2221000000,14.9850492207645
2222000000,14.9755335120358
2223000000,14.9711623588857
2224000000,14.9601767771346
2225000000,14.9528658779396
2226000000,14.9536392803682
2227000000,14.9544126827967
2228000000,14.9463668470905
2229000000,14.9353812653393
2230000000,14.9266004931219
2231000000,14.9339883241515
2232000000,14.9230027424004
2233000000,14.9296556369188
2234000000,14.9186700551676
2235000000,14.9091543464389
2236000000,14.9025783837552
2237000000,14.9092312782736
2238000000,14.9070649346572
2239000000,14.899019098951
2240000000,14.9086117395143
2241000000,14.8888069196284
2242000000,14.8807610839222
2243000000,14.9021127086652
2244000000,14.8852476348242
2245000000,14.877201799118
2246000000,14.8750354555016
2247000000,14.8758088579302
2248000000,14.8736425143138
2249000000,14.8744159167423
2250000000,14.8634303349912
2251000000,14.8869867692679
2252000000,14.873796377983
2253000000,14.8650156057656
2254000000,14.8731383733064
2255000000,14.8731768392238
2256000000,14.8739502416523
2257000000,14.8894223743055
2258000000,14.8784367925543
2259000000,14.8792101949829
2260000000,14.8788948941284
2261000000,14.8827176544724
2262000000,14.8718416845917
2263000000,14.8697849528459
2264000000,14.8677282211
2265000000,14.8553823781969
2266000000,14.8430365352938
2267000000,14.838040057503
2268000000,14.8389230718021
2269000000,14.8221676098316
2270000000,14.8171711320409
2271000000,14.8180541463399
2272000000,14.8130576685491
2273000000,14.8132057463369
2274000000,14.7971852208777
2275000000,14.8127669654014
2276000000,14.7989512494759
2277000000,14.7902800891289
2278000000,14.7941028494729
2279000000,14.792046117727
2280000000,14.7819050843576
2281000000,14.7739688605219
2282000000,14.7807313669108
2283000000,14.7698553970302
2284000000,14.7648589192394
2285000000,14.7657419335385
2286000000,14.7578057097028
2287000000,14.7616284700468
2288000000,14.7478127541212
2289000000,14.7457560223754
2290000000,14.7525185287642
2291000000,14.7445823049285
2292000000,14.7395858271378
2293000000,14.731649603302
2294000000,14.7178338873765
2295000000,14.7319457588777
2296000000,14.7313589001543
2297000000,14.7263624223635
2298000000,14.712546706438
2299000000,14.7104899746921
2300000000,14.7084332429463
2301000000,14.7034367651555
2302000000,14.6984402873647
2303000000,14.7022630477087
2304000000,14.6884473317831
2305000000,14.6805111079474
2306000000,14.6666953920219
2307000000,14.664638660276
2308000000,14.6596421824852
2309000000,14.6546457046944
2310000000,14.6518540364374
2311000000,14.6593514793375
2312000000,14.6514152555018
2313000000,14.6346597935313
2314000000,14.6179043315608
2315000000,14.6217270919048
2316000000,14.6108511220242
2317000000,14.5940956600537
2318000000,14.5920389283079
2319000000,14.5811629584272
2320000000,14.5761664806364
2321000000,14.5652905107558
2322000000,14.5485350487854
2323000000,14.5487192730093
2324000000,14.5400842590986
2325000000,14.5343889912327
2326000000,14.5360430884792
2327000000,14.5288779475909
2328000000,14.5378814099497
2329000000,14.5388005706849
2330000000,14.5500088425774
2331000000,14.5207956063521
2332000000,14.5327388147558
2333000000,14.5388025310697
2334000000,14.5301675171589
2335000000,14.5016892174449
2336000000,14.5143673623598
2337000000,14.5042624754266
2338000000,14.489747969426
2339000000,14.4987514317848
2340000000,14.4989356560088
2341000000,14.4991198802328
2342000000,14.4875451202771
2343000000,14.4789101063663
2344000000,14.4761545845454
2345000000,14.4675195706346
2346000000,14.453005064634
2347000000,14.4443700507233
2348000000,14.453373513082
2349000000,14.4520878642836
2350000000,14.4214047550359
2351000000,14.418649233215
2352000000,14.3688577746753
2353000000,14.3396445384501
2354000000,14.3280697784944
2355000000,14.3370732408532
2356000000,14.3578356873916
2357000000,14.3785981339301
2358000000,14.2847104847166
2359000000,14.2819549628956
2360000000,14.2586212187603
2361000000,14.2764439192538
2362000000,14.2766281434778
2363000000,14.2944508439713
2364000000,14.3240325286445
2365000000,14.2573375303466
2366000000,14.2501723894583
2367000000,14.2834287566876
2368000000,14.3012514571812
2369000000,14.2808574590907
2370000000,14.2751621912249
2371000000,14.2606476852243
2372000000,14.2637716554932
2373000000,14.2433776574027
