S11,,S21,,S22,
X,Y,X,Y,X,Y
168000000.00000048,-0.01791058876189311,48000000,-42.32264959908211,48000000,-0.13769044567138167
192000000,-0.023678959300077906,72000000,-43.78371280415169,72000000,-0.25790403734037426
216000000,-0.02191196862882805,95999999.99999952,-42.7219389266733,95999999.99999952,-0.2553131081284974
240000000,-0.02244709134726719,120000000.00000048,-38.220078152376786,120000000.00000048,-0.5814795607429915
264000000,-0.02229448332438011,144000000.00000048,-30.643366663542096,144000000.00000048,-1.3886969731458834
288000000,-0.022307688577342333,168000000.00000048,-24.623482268542503,168000000.00000048,-2.1127223354575335
312000000,-0.0224313685355213,192000000,-20.430052986998653,192000000,-2.396351369205476
336000000,-0.0218920800371194,216000000,-17.468915303331535,216000000,-1.9786061269596402
360000000,-0.024022136713249154,240000000,-16.414882561914375,240000000,-1.2701311983837513
384000000,-0.01570384696283611,264000000,-15.531716307508482,264000000,-0.8596871276794644
407999999.9999995,-0.1146706192413518,288000000,-14.264666881967372,288000000,-0.9567311314352622
432000000.0000005,-0.2457666939170977,312000000,-12.969813769212564,312000000,-0.957699687519387
456000000.0000005,-0.2624508789314888,336000000,-11.687341593828037,336000000,-1.1776049828051
480000000.0000005,-0.25793672056634875,360000000,-10.3841621322128,360000000,-1.2132392516918244
504000000,-0.25914704878301364,384000000,-9.29206690717762,384000000,-1.2026195414124174
528000000,-0.25906845491294206,407999999.9999995,-8.349756414141865,407999999.9999995,-1.2077023564543552
552000000,-0.2580852132228486,432000000.0000005,-7.4074927691616494,432000000.0000005,-1.1983931192031534
576000000,-0.2621912028123248,456000000.0000005,-6.561279407571547,456000000.0000005,-1.2931539983284779
600000000,-0.24648201875743325,480000000.0000005,-5.837358020106322,480000000.0000005,-1.4329085133612693
624000000,-0.35283005035991977,504000000,-5.223946313612224,504000000,-1.422952543722623
648000000,-0.37231462211851607,528000000,-4.741572099356141,528000000,-1.638398968332453
672000000,-0.46339872219361666,552000000,-4.265925523853788,552000000,-1.6677783260238215
696000000,-0.5036855045901447,576000000,-3.891953418921908,576000000,-1.8639291262901239
719999999.9999995,-0.49319876254942585,600000000,-3.5377530349380777,600000000,-1.9205436851867361
744000000.0000005,-0.4963821704784621,624000000,-3.267695275875596,624000000,-1.9903147090086506
768000000.0000005,-0.4944646106079702,648000000,-3.1142104338547227,648000000,-2.13041391018114
792000000.0000005,-0.4988844607566989,672000000,-3.1055542966955727,672000000,-2.1590261796816037
816000000,-0.48308181625756674,696000000,-3.0125337345565697,696000000,-2.1418026398322354
840000000,-0.5732679701701926,719999999.9999995,-2.9717313164537984,719999999.9999995,-2.2234473725822284
864000000,-0.6268047162737815,744000000.0000005,-2.981490062745557,744000000.0000005,-2.368877839346524
888000000,-0.5978157584312171,768000000.0000005,-3.017333856015398,768000000.0000005,-2.3693586685421835
912000000,-0.6258518584463175,792000000.0000005,-3.308788809501813,792000000.0000005,-2.5495132945530514
936000000.0000005,-0.6508044229530654,816000000,-3.0183017688317406,816000000,-2.6431325140824384
960000000.0000005,-0.6787099228823337,840000000,-2.5886750884831216,840000000,-2.620048719638831
984000000.0000005,-0.7052196672031457,864000000,-2.1585059609385198,864000000,-2.6256365776653823
1008000000.0000005,-0.7259849648845105,888000000,-1.7958993446612581,888000000,-2.626966847166095
1032000000.0000005,-0.7336449005193515,912000000,-1.7035105609887324,912000000,-2.615904356047338
1056000000.0000005,-0.7828328697819913,936000000.0000005,-1.229065031251622,936000000.0000005,-2.6844291270738623
1080000000.0000005,-0.92697588544155,960000000.0000005,-0.5664852481129756,960000000.0000005,-2.8283807918832906
1104000000.0000005,-0.9773595225365668,984000000.0000005,0.2267134298570994,984000000.0000005,-2.8574894335222254
1128000000.0000005,-0.9647482032687407,1008000000.0000005,0.9739121855756636,1008000000.0000005,-2.924780614713491
1152000000.0000005,-0.9757824900026506,1032000000.0000005,1.7316711008329335,1032000000.0000005,-3.004308102007542
1176000000.0000005,-0.9447141204717369,1056000000.0000005,2.56200570299648,1056000000.0000005,-2.9088018347585347
1200000000.0000005,-1.0840971961056027,1080000000.0000005,3.3919602690624657,1080000000.0000005,-2.857865934457145
1224000000.0000005,-1.2280174106038544,1104000000.0000005,4.142169875834398,1104000000.0000005,-2.839215371803924
1248000000.0000005,-1.2047207048957205,1128000000.0000005,4.876111536752347,1128000000.0000005,-2.9866044231403492
1272000000.0000005,-1.1851060886911426,1152000000.0000005,5.794957177615785,1152000000.0000005,-3.1130700896975014
1296000000.0000005,-1.306663664042219,1176000000.0000005,6.621738220933942,1176000000.0000005,-3.1386737915501755
1320000000.0000005,-1.4731005757513742,1200000000.0000005,7.29720484374986,1200000000.0000005,-3.287669443301432
1344000000.0000005,-1.4133091537870683,1224000000.0000005,8.010704034748024,1224000000.0000005,-3.343031079004092
1368000000.0000005,-1.540600911768557,1248000000.0000005,8.696847366777416,1248000000.0000005,-3.332811771987103
1392000000.0000005,-1.6963814942027398,1272000000.0000005,9.464390148408366,1272000000.0000005,-3.333876379236287
1416000000.0000005,-1.704934963039463,1296000000.0000005,10.244539064445704,1296000000.0000005,-3.3398249092290797
1440000000.0000005,-1.8601712474465515,1320000000.0000005,10.930737275776956,1320000000.0000005,-3.3153456706117055
1464000000.0000005,-1.9036754537112373,1344000000.0000005,11.639450330695805,1344000000.0000005,-3.4240988253102813
1488000000.0000005,-1.9980663777418144,1368000000.0000005,12.333764132760777,1368000000.0000005,-3.635724819993399
1512000000.0000005,-2.1617325719370584,1392000000.0000005,13.06242391687352,1392000000.0000005,-3.734051208325731
1536000000.0000005,-2.212593333027357,1416000000.0000005,13.655883652794003,1416000000.0000005,-3.853751463473799
1560000000.0000005,-2.447210550906213,1440000000.0000005,14.182900113721622,1440000000.0000005,-3.978999118033272
1584000000.0000005,-2.5322394442355787,1464000000.0000005,14.927640971804149,1464000000.0000005,-4.055360293806686
1608000000.0000005,-2.696257710827588,1488000000.0000005,15.579784703552694,1488000000.0000005,-4.039137506137692
1632000000.0000005,-2.911602595444286,1512000000.0000005,16.158709567833192,1512000000.0000005,-4.060112795106548
1656000000.0000005,-3.0034075138830474,1536000000.0000005,16.732763280358437,1536000000.0000005,-4.277544009606295
1680000000.0000005,-3.163506846677606,1560000000.0000005,17.373235178066082,1560000000.0000005,-4.600268786575178
1704000000.0000005,-3.3735276669095526,1584000000.0000005,18.010842522465836,1584000000.0000005,-4.871231419587431
1728000000.0000005,-3.501451492613363,1608000000.0000005,18.48093028966212,1608000000.0000005,-5.159956680770875
1752000000.0000005,-3.7572341957630897,1632000000.0000005,19.099620069076337,1632000000.0000005,-5.295241256093647
1776000000.0000005,-3.965792311297051,1656000000.0000005,19.628912036836883,1656000000.0000005,-5.4889536165351345
1800000000.0000005,-4.280640556294131,1680000000.0000005,20.162575607657043,1680000000.0000005,-5.452855359380919
1824000000.0000005,-4.652345114820967,1704000000.0000005,20.82853808321378,1704000000.0000005,-5.486132895627776
1848000000.0000005,-4.947907280862125,1728000000.0000005,21.290860496778706,1728000000.0000005,-5.624332143763581
