Trace
Swept SA
A.01.57,N9010A
526 B25 PFR P26 EA3 ,01
Segment,0
Number of Points,1001
Sweep Time,0.001
Start Frequency,2200000000
Stop Frequency,2700000000
Average Count,0
Average Type,LogPower(Video)
RBW,3000000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,50000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,1E-06
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,40
Ref Level Offset,0
External Gain,0
Trace Type,Maxhold
Detector,Peak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
2200000000,-30.7531429158682
2200500000,-30.9073414775344
2201000000,-31.2849607386148
2201500000,-29.5841795459353
2202000000,-27.7393507970547
2202500000,-24.5775158200491
2203000000,-21.6655592568619
2203500000,-20.24405393845
2204000000,-17.9714921400333
2204500000,-16.1898679311185
2205000000,-15.6414671880484
2205500000,-15.0724882226639
2206000000,-15.1899399587686
2206500000,-15.2059704563236
2207000000,-15.3728441852948
2207500000,-15.2511932597275
2208000000,-15.2985777317432
2208500000,-15.3062756321524
2209000000,-15.4881534857233
2209500000,-15.509815179846
2210000000,-15.6843436683045
2210500000,-15.2422604238407
2211000000,-15.9665214226997
2211500000,-15.3686316378551
2212000000,-15.7151352699416
2212500000,-15.5560025823015
2213000000,-15.4769779743856
2213500000,-15.7029520186303
2214000000,-15.6423008234951
2214500000,-15.6720468192413
2215000000,-15.8010092440036
2215500000,-15.5389854447913
2216000000,-15.7914172034403
2216500000,-15.9350783584272
2217000000,-15.8435598298203
2217500000,-15.7520413012135
2218000000,-15.4870777559562
2218500000,-15.3103065920466
2219000000,-15.1482341583617
2219500000,-15.1713657255068
2220000000,-15.1298228796636
2220500000,-15.1970506374825
2221000000,-15.4818196026257
2221500000,-15.4623248521194
2222000000,-15.1958914338397
2222500000,-15.324853858602
2223000000,-15.7036946971826
2223500000,-15.7944404233609
2224000000,-15.6286933071198
2224500000,-15.9237513834202
2225000000,-15.7580042671791
2225500000,-15.5386067856181
2226000000,-15.7689904489302
2226500000,-15.7127488728624
2227000000,-15.6175556616994
2227500000,-15.7648914992425
2228000000,-15.5969395734676
2228500000,-15.7317814903198
2229000000,-15.5461910882754
2229500000,-15.5781418935553
2230000000,-15.85188681103
2230500000,-15.7713923300916
2231000000,-15.5769826899125
2231500000,-15.8000169881123
2232000000,-15.9892442067954
2232500000,-15.5655343751124
2233000000,-15.3990523223601
2233500000,-15.7073392558626
2234000000,-15.8245426964452
2234500000,-15.9417461370278
2235000000,-15.7767339572979
2235500000,-15.9174553662399
2236000000,-15.8141778534533
2236500000,-15.9108030717215
2237000000,-15.80458581289
2237500000,-15.6417784426938
2238000000,-15.7626565658326
2238500000,-15.5057773221989
2239000000,-15.7589440173591
2239500000,-15.5388115992869
2240000000,-15.6552801033583
2240500000,-15.4197140185503
2241000000,-15.5163392368184
2241500000,-15.5041938514244
2242000000,-15.5243856725246
2242500000,-15.6327698749725
2243000000,-15.6235642356234
2243500000,-15.7253340094702
2244000000,-15.5022618453531
2244500000,-15.5959473175763
2245000000,-15.6278981228562
2245500000,-15.4570064510364
2246000000,-15.4095841131034
2246500000,-15.5995462682978
2247000000,-15.5117024222471
2247500000,-15.7112187520875
2248000000,-15.5822184614079
2248500000,-15.3694354084481
2249000000,-15.6542043735912
2249500000,-15.6832154328262
2250000000,-15.679889285567
2250500000,-15.5339854551291
2251000000,-15.4946474188196
2251500000,-15.684609574014
2252000000,-15.4725614575653
2252500000,-15.4214644370762
2253000000,-15.379921591233
2253500000,-15.4684625078776
2254000000,-15.3328477885969
2254500000,-15.4265332608201
2255000000,-15.5760739078969
2255500000,-15.2052795050224
2256000000,-15.2372303103023
2256500000,-15.3367952746154
2257000000,-15.2540959841433
2257500000,-15.3360224721868
2258000000,-15.1063358794687
2258500000,-15.3323099237134
2259000000,-15.1555387598038
2259500000,-15.3873922961383
2260000000,-13.6418854475235
2260500000,-12.0583909951835
2261000000,-9.77009242857357
2261500000,-4.12974843424142
2262000000,-0.533997814152435
2262500000,3.6585212530557
2263000000,7.06171850720229
2263500000,10.8801548901941
2264000000,12.7436601533129
2264500000,13.9501321753916
2265000000,14.4753180515597
2265500000,14.5360240526301
2266000000,14.543814624892
2266500000,14.5663039273784
2267000000,14.5329380550113
2267500000,14.4907529445095
2268000000,14.4985435167713
2268500000,14.4710571364941
2269000000,14.4318117720372
2269500000,14.4513613284787
2270000000,14.4826698690999
2270500000,14.4963399334516
2271000000,14.4864920294439
2271500000,14.4751742524137
2272000000,14.4785552056082
2272500000,14.4628278095106
2273000000,14.459594334104
2273500000,14.4644451603209
2274000000,14.4700309230491
2274500000,14.4616528920639
2275000000,14.4606242261909
2275500000,14.4537160682281
2276000000,14.4409284181755
2276500000,14.4663574667069
2277000000,14.4388710864297
2277500000,14.4407821666016
2278000000,14.430934262594
2278500000,14.4034478823167
2279000000,14.4229974387582
2279500000,14.4190290268404
2280000000,14.4503375674616
2280500000,14.4316704253191
2281000000,14.4130032831767
2281500000,14.4119746173038
2282000000,14.405066459341
2282500000,14.4216762697376
2283000000,14.3941898894603
2283500000,14.4019804617222
2284000000,14.390662684692
2284500000,14.3793449076619
2285000000,14.375376495744
2285500000,14.3839020045171
2286000000,14.4056563704923
2286500000,14.4038927681081
2287000000,14.383020816432
2287500000,14.3408357059301
2288000000,14.3846381672423
2288500000,14.3711155806784
2289000000,14.3730266608504
2289500000,14.3572992647529
2290000000,14.3739090751495
2290500000,14.3758201553215
2291000000,14.3527433941116
2291500000,14.3605339663734
2292000000,14.3580354274781
2292500000,14.3570067616051
2293000000,14.364797333867
2293500000,14.3520096838144
2294000000,14.3480412718965
2294500000,14.3543619711359
2295000000,14.3489236861956
2295500000,14.3280517345194
2296000000,14.3373121798037
2296500000,14.346572625088
2297000000,14.3462788957263
2297500000,14.3452502298534
2298000000,14.339811944913
2298500000,14.3387832790401
2299000000,14.3377546131672
2299500000,14.3286416456707
2300000000,14.3445165195561
2300500000,14.3052711550992
2301000000,14.2630860445974
2301500000,14.2532381405896
2302000000,14.2698479509862
2302500000,14.2849878883604
2303000000,14.282489349465
2303500000,14.2697016994124
2304000000,14.2782272081854
2304500000,14.2764636058013
2305000000,14.2813144320182
2305500000,14.2626472898757
2306000000,14.2939558304969
2306500000,14.2870476725342
2307000000,14.2860190066612
2307500000,14.2827855312546
2308000000,14.2905761035164
2308500000,14.2711740248628
2309000000,14.2760248510797
2309500000,14.2823455503191
2310000000,14.2769072653787
2310500000,14.2494208851015
2311000000,14.2630909494532
2311500000,14.2473635533556
2312000000,14.2448650144602
2312500000,14.2276677453403
2313000000,14.2266390794673
2313500000,14.2256104135944
2314000000,14.2392804779461
2314500000,14.205914605579
2315000000,14.217379860397
2315500000,14.2273752421925
2316000000,14.2204670842297
2316500000,14.210619180222
2317000000,14.2051808952817
2317500000,14.2026823563863
2318000000,14.1928344523786
2318500000,14.2006250246405
2319000000,14.1951867397002
2319500000,14.1757846610465
2320000000,14.1843101698195
2320500000,14.1818116309241
2321000000,14.1602047427367
2321500000,14.1621158229087
2322000000,14.1677015856369
2322500000,14.1567693500804
2323000000,14.1759695114844
2323500000,14.1900251173098
2324000000,14.1629242785063
2324500000,14.1659558366632
2325000000,14.1822162520223
2325500000,14.1778984450669
2326000000,14.1618216539318
2326500000,14.1707327041786
2327000000,14.1767040083804
2327500000,14.1606272172454
2328000000,14.1827671246943
2328500000,14.1740396986715
2329000000,14.1770712568284
2329500000,14.175693195918
2330000000,14.1735801984963
2330500000,14.172937074097
2331000000,14.1627397750518
2331500000,14.1701809522761
2332000000,14.1717426374106
2332500000,14.1791838146349
2333000000,14.1778057537244
2333500000,14.173487946769
2334000000,14.1677002667912
2334500000,14.1685270154144
2335000000,14.1693537640377
2335500000,14.1620962110374
2336000000,14.1665976422167
2336500000,14.1622798352614
2337000000,14.1638415203958
2337500000,14.1624634594854
2338000000,14.1669648906647
2338500000,14.1655868297543
2339000000,14.1730280069786
2339500000,14.1834089302478
2340000000,14.1614526470229
2340500000,14.1659540782023
2341000000,14.1704555093817
2341500000,14.1690774484712
2342000000,14.168434324072
2342500000,14.1839598029198
2343000000,14.1678830117848
2343500000,14.1694446969192
2344000000,14.1533679057841
2344500000,14.1813873053229
2345000000,14.1432624188509
2345500000,14.1551132151426
2346000000,14.1632893288781
2346500000,14.1552968393666
2347000000,14.1252562545181
2347500000,14.140781733366
2348000000,14.1541024026801
2348500000,14.1292063734103
2349000000,14.1366475506346
2349500000,14.1337996167017
2350000000,14.1140481430105
2350500000,14.1589710823075
2351000000,14.1428942911725
2351500000,14.1650341986214
2352000000,14.1386682963291
2352500000,14.1152421400817
2353000000,14.1550205238002
2353500000,14.1484979073111
2354000000,14.12286694153
2354500000,14.1347177378217
2355000000,14.1406890420235
2355500000,14.1304917429783
2356000000,14.1379329202026
2356500000,14.1292054941798
2357000000,14.1645742588309
2357500000,14.123509626314
2358000000,14.1265411844709
2358500000,14.1111993298471
2359000000,14.1208453166051
2359500000,14.1319611763855
2360000000,14.1210289408291
2360500000,14.1167111338737
2361000000,14.1109234538959
2361500000,14.1213043771651
2362000000,14.0949384748728
2362500000,14.1111988902319
2363000000,14.0980618451417
2363500000,14.1025632763211
2364000000,14.0982454693657
2364500000,14.0968674084553
2365000000,14.0807906173202
2365500000,14.0735330643199
2366000000,14.0795043685217
2366500000,14.0884154187685
2367000000,14.0818928022794
2367500000,14.0930086620599
2368000000,14.090160728127
2368500000,14.0740839369919
2369000000,14.0756456221263
2369500000,14.0830867993506
2370000000,14.078034055884
2370500000,14.06857169335
2371000000,14.0730731245294
2371500000,14.0606710159505
2372000000,14.0725218122422
2372500000,14.0615895766857
2373000000,14.0616813887977
2373500000,14.069122566022
2374000000,14.0677445051116
2374500000,14.0612218886225
2375000000,14.0591088912008
2375500000,14.0518513382005
2376000000,14.05047327729
2376500000,14.0579144545143
2377000000,14.0506569015141
2377500000,14.0433993485138
2378000000,14.0420212876033
2378500000,14.0582817029623
2379000000,14.0451446578722
2379500000,14.0643448192762
2380000000,14.0482680281411
2380500000,14.0527694593205
2381000000,14.0455119063202
2381500000,14.054422956567
2382000000,14.0456955305442
2382500000,14.045052406145
2383000000,14.0488189008131
2383500000,14.035681855723
2384000000,14.0372435408574
2384500000,14.054973829239
2385000000,14.0315476729916
2385500000,14.0242901199913
2386000000,14.0287915511707
2386500000,14.0340279188613
2387000000,14.017216191215
2387500000,14.0305368605291
2388000000,14.0541466410005
2388500000,14.0542384531125
2389000000,14.0352219159325
2389500000,14.0279643629322
2390000000,14.0471645243362
2390500000,14.0340274792461
2391000000,14.0164808150885
2391500000,14.0195123732454
2392000000,14.0218089948911
2392500000,14.0402742197839
2393000000,14.0418359049184
2393500000,14.0073805285942
2394000000,14.014081596899
2394500000,13.9987345698668
2395000000,13.971628558655
2395500000,13.9878838016057
2396000000,13.9703319650399
2396500000,13.9770330333447
2397000000,13.9749148635147
2397500000,13.9647123920611
2398000000,13.9618592857199
2398500000,13.9501869412438
2399000000,13.9076472632962
2399500000,13.8893604902191
2400000000,13.8975314315463
2400500000,13.8726302298682
2401000000,13.8844758537515
2401500000,13.9146948904157
2402000000,13.8919984982712
2402500000,13.8663623600818
2403000000,13.8745333014091
2403500000,13.8827042427363
2404000000,13.8600078505918
2404500000,13.8402512044923
2405000000,13.8300487330388
2405500000,13.8154366425178
2406000000,13.807438980598
2406500000,13.8112003028578
2407000000,13.8179013711626
2407500000,13.798144725063
2408000000,13.7761832694298
2408500000,13.7909686393581
2409000000,13.753573516989
2409500000,13.7441059820467
2410000000,13.7405179391942
2410500000,13.7383997693642
2411000000,13.7186431232647
2411500000,13.7157900169235
2412000000,13.6894189422229
2412500000,13.7122886137747
2413000000,13.7013512058099
2413500000,13.696293289935
2414000000,13.6640427231445
2414500000,13.6567799977359
2415000000,13.6252643674567
2415500000,13.6231461976267
2416000000,13.6004498054822
2416500000,13.5983316356522
2417000000,13.5903339737324
2417500000,13.5823363118125
2418000000,13.562579665713
2418500000,13.550907321237
2419000000,13.5355602942048
2419500000,13.5268276957737
2420000000,13.5070710496742
2420500000,13.5137721179789
2421000000,13.4822564876997
2421500000,13.4595600955553
2422000000,13.4603816717702
2422500000,13.4318057875359
2423000000,13.423808125616
2423500000,13.4158104636962
2424000000,13.3864996429506
2424500000,13.3990802033452
2425000000,13.3653597635323
2425500000,13.3632415937023
2426000000,13.3170272331985
2426500000,13.3097645077899
2427000000,13.3098511474935
2427500000,13.2753957711694
2428000000,13.2438801408902
2428500000,13.2358824789703
2429000000,13.2249450710056
2429500000,13.2022486788611
2430000000,13.2118894932108
2430500000,13.1656751327069
2431000000,13.160617216832
2431500000,13.1415955072437
2432000000,13.1152244325431
2432500000,13.1101665166682
2433000000,13.0698316482542
2433500000,13.0500750021546
2434000000,13.0273786100102
2434500000,13.0076219639106
2435000000,12.9702268415416
2435500000,12.9298919731276
2436000000,12.9116052000505
2436500000,12.8859690618611
2437000000,12.8691521618065
2437500000,12.8310221029262
2438000000,12.8340484886748
2438500000,12.787834128171
2439000000,12.7621979899816
2439500000,12.7424413438821
2440000000,12.7315039359173
2440500000,12.6941088135482
2441000000,12.6787617865161
2441500000,12.6553304578604
2442000000,12.5995619227106
2442500000,12.579805276611
2443000000,12.5644582495788
2443500000,12.5380871748782
2444000000,12.506571544599
2444500000,12.4632969301401
2445000000,12.4134078870801
2445500000,12.3965909870255
2446000000,12.3827138330158
2446500000,12.3584729574086
2447000000,12.3385670904284
2447500000,12.2995528741563
2448000000,12.2781771341537
2448500000,12.2641507592634
2449000000,12.217787177879
2449500000,12.201555993455
2450000000,12.1897344280984
2450500000,12.1242624974219
2451000000,12.1205252336889
2451500000,12.0829808904392
2452000000,12.0447016106783
2452500000,12.0255306802094
2453000000,11.9997453211394
2453500000,11.9651407239347
2454000000,11.965813079269
2454500000,11.9267988629968
2455000000,11.914242361129
2455500000,11.8796377639242
2456000000,11.8509126588093
2456500000,11.8251272997394
2457000000,11.814040670894
2457500000,11.7735565815994
2458000000,11.7595302067091
2458500000,11.7249256095043
2459000000,11.7167787267039
2459500000,11.6909933676339
2460000000,11.6652080085639
2460500000,11.6394226494939
2461000000,11.613637290424
2461500000,11.587851931354
2462000000,11.5650063183289
2462500000,11.5451004513488
2463000000,11.5060862350766
2463500000,11.5111682094783
2464000000,11.4949370250543
2464500000,11.496084527049
2465000000,11.4663646955719
2465500000,11.4454641022296
2466000000,11.4429369216681
2466500000,11.4499639157526
2467000000,11.4158344652082
2467500000,11.4125723481354
2468000000,11.394611500838
2468500000,11.3737109074958
2469000000,11.3851475206476
