Default Dataset,
X,Y
1024800000,-3.934119771925296
1025600000,-3.950959560473926
1026399999.999999,-3.9680011267773025
1027199999.999999,-3.9854164922374764
1027999999.999999,-4.00337767825652
1028800000,-4.022056706236469
1029600000,-4.041549569287511
1030399999.999999,-4.051713213373276
1031199999.999999,-4.062127233693836
1031999999.999999,-4.072776972187171
1032799999.999999,-4.083647770791259
1033600000,-4.09472497144408
1034400000,-4.105993916083619
1035199999.999999,-4.117439946647856
1035999999.999999,-4.129048405074769
1036799999.999999,-4.140804633302345
1037600000,-4.152693973268555
1038400000,-4.164701766911378
1039199999.999999,-4.1768133561688074
1039999999.999999,-4.189013880177512
1040799999.999999,-4.201286204889563
1041600000,-4.2136117687839985
1042400000,-4.225971988245064
1043199999.999999,-4.238348279657032
1043999999.999999,-4.250722059404168
1044799999.999999,-4.2630747438707175
1045599999.999999,-4.275387749440959
1046400000,-4.287642492499145
1047200000,-4.299820389429534
1047999999.999999,-4.311902856616399
1048799999.999999,-4.323871310443998
1049599999.999999,-4.335707653382265
1050400000,-4.347420467449787
1051200000,-4.359058318751828
1051999999.999999,-4.370673057687647
1052799999.999999,-4.3823165346565105
1053599999.999999,-4.394040600057693
1054400000,-4.405897104290453
1055200000,-4.417937897754065
1055999999.999999,-4.430214830847788
1056799999.999999,-4.442779753970882
1057599999.999999,-4.455684517522627
1058399999.999999,-4.468980971902283
1059200000,-4.482720967412632
1060000000,-4.4969273442237565
1060799999.999999,-4.5115120576688525
1061599999.999999,-4.526360574018014
1062399999.999999,-4.541358359541313
1063200000,-4.55639088050885
1064000000,-4.571343603190698
1064799999.999999,-4.586101993856943
1065599999.999999,-4.600551518777685
1066399999.999999,-4.61457764422299
1067200000,-4.628065836462966
1068000000,-4.640901561767677
1068799999.999999,-4.652970286407225
1069599999.999999,-4.664169424907669
1070399999.999999,-4.674526743034683
1071199999.999999,-4.684150215798859
1072000000,-4.6931489907149455
1072800000,-4.7016322152976855
1073599999.999999,-4.70970903706182
1074399999.999999,-4.717488603522092
1075199999.999999,-4.725080062193236
1076000000,-4.73259256059
1076800000,-4.740135246227119
1077599999.999999,-4.747817266619343
1078399999.999999,-4.755747769281413
1079199999.999999,-4.764035187905272
1080000000,-4.77275075300696
1080800000,-4.781911051671855
1081599999.999999,-4.791528306702261
1082399999.999999,-4.801614740900476
1083199999.999999,-4.812182577068796
1083999999.999999,-4.823244038009541
1084800000,-4.834811346525008
1085600000,-4.846896725417494
1086399999.999999,-4.859512397489311
1087199999.999999,-4.872670585542764
1087999999.999999,-4.886383512380149
1088800000,-4.90066340076131
