Trace
Swept SA
A.16.09,N9010A
544 B25 B40 EXM FS1 MPB P44 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.001
Start Frequency,2000000000
Stop Frequency,3000000000
Average Count,100
Average Type,LogPower(Video)
RBW,910000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,50000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,DC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Maxhold
Detector,Peak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
2000000000,-72.604362487793
2001000000,-72.6192092895508
2002000000,-72.595832824707
2003000000,-72.883415222168
2004000000,-73.161506652832
2005000000,-73.3587646484375
2006000000,-72.347785949707
2007000000,-72.8140258789063
2008000000,-73.6036376953125
2009000000,-71.5438995361328
2010000000,-71.8080368041992
2011000000,-72.6358642578125
2012000000,-72.6387557983398
2013000000,-73.4198913574219
2014000000,-72.8435974121094
2015000000,-73.4725952148438
2016000000,-73.1557312011719
2017000000,-72.2090301513672
2018000000,-71.2682037353516
2019000000,-73.2693328857422
2020000000,-73.0377197265625
2021000000,-73.1824035644531
2022000000,-72.7332534790039
2023000000,-72.2635192871094
2024000000,-72.2141723632813
2025000000,-71.5886383056641
2026000000,-73.3531188964844
2027000000,-73.2398300170898
2028000000,-73.1309585571289
2029000000,-72.8758316040039
2030000000,-72.2708740234375
2031000000,-71.9371032714844
2032000000,-72.1633605957031
2033000000,-73.2399368286133
2034000000,-73.2435073852539
2035000000,-72.5180206298828
2036000000,-72.9978332519531
2037000000,-73.4225158691406
2038000000,-72.7668533325195
2039000000,-73.1784362792969
2040000000,-72.8139343261719
2041000000,-72.8374786376953
2042000000,-72.631721496582
2043000000,-72.7199401855469
2044000000,-73.1866455078125
2045000000,-73.0191040039063
2046000000,-72.7391204833984
2047000000,-73.5184326171875
2048000000,-71.0496368408203
2049000000,-71.9012908935547
2050000000,-72.4207534790039
2051000000,-72.6888656616211
2052000000,-72.2396850585938
2053000000,-72.620979309082
2054000000,-72.8611602783203
2055000000,-72.1665115356445
2056000000,-72.286994934082
2057000000,-71.5839004516602
2058000000,-71.9405822753906
2059000000,-72.2855072021484
2060000000,-72.7788925170898
2061000000,-72.6137771606445
2062000000,-71.7372360229492
2063000000,-72.4628601074219
2064000000,-72.368293762207
2065000000,-72.7323226928711
2066000000,-72.9934692382813
2067000000,-73.6132583618164
2068000000,-73.5921859741211
2069000000,-73.2800827026367
2070000000,-72.1830596923828
2071000000,-71.9620895385742
2072000000,-72.520881652832
2073000000,-72.5078887939453
2074000000,-72.6764297485352
2075000000,-71.9226303100586
2076000000,-72.8415374755859
2077000000,-73.4378128051758
2078000000,-73.1697998046875
2079000000,-72.1631774902344
2080000000,-72.5749816894531
2081000000,-72.5017318725586
2082000000,-72.5548858642578
2083000000,-72.4088745117188
2084000000,-71.8718795776367
2085000000,-72.1932830810547
2086000000,-72.7366409301758
2087000000,-72.2106704711914
2088000000,-72.6533432006836
2089000000,-72.2677383422852
2090000000,-72.9962997436523
2091000000,-72.754753112793
2092000000,-72.4104156494141
2093000000,-72.039665222168
2094000000,-72.9653472900391
2095000000,-72.8496170043945
2096000000,-72.7089004516602
2097000000,-72.8555450439453
