LECROYWS44Xs,11708,Waveform
Segments,1,SegmentSize,10001
Segment,TrigTime,TimeSinceSegment1
#1,07-Feb-2018 08:31:20,0                 
Time,Ampl
-2.5,0.474386
-2.4995,0.487186
-2.499,0.467986
-2.4985,0.474386
-2.498,0.487186
-2.4975,0.467986
-2.497,0.487186
-2.4965,0.480786
-2.496,0.499985
-2.4955,0.474386
-2.495,0.480786
-2.4945,0.467986
-2.494,0.474386
-2.4935,0.474386
-2.493,0.480786
-2.4925,0.474386
-2.492,0.474386
-2.4915,0.487186
-2.491,0.480786
-2.4905,0.480786
-2.49,0.474386
-2.4895,0.474386
-2.489,0.480786
-2.4885,0.480786
-2.488,0.480786
-2.4875,0.480786
-2.487,0.474386
-2.4865,0.480786
-2.486,0.499985
-2.4855,0.474386
-2.485,0.474386
-2.4845,0.480786
-2.484,0.474386
-2.4835,0.480786
-2.483,0.487186
-2.4825,0.474386
-2.482,0.474386
-2.4815,0.474386
-2.481,0.493586
-2.4805,0.480786
-2.48,0.461587
-2.4795,0.467986
-2.479,0.474386
-2.4785,0.480786
-2.478,0.474386
-2.4775,0.474386
-2.477,0.474386
-2.4765,0.461587
-2.476,0.474386
-2.4755,0.467986
-2.475,0.487186
-2.4745,0.467986
-2.474,0.480786
-2.4735,0.467986
-2.473,0.474386
-2.4725,0.487186
-2.472,0.480786
-2.4715,0.474386
-2.471,0.480786
-2.4705,0.480786
-2.47,0.467986
-2.4695,0.474386
-2.469,0.480786
-2.4685,0.467986
-2.468,0.487186
-2.4675,0.474386
-2.467,0.480786
-2.4665,0.480786
-2.466,0.474386
-2.4655,0.480786
-2.465,0.480786
-2.4645,0.474386
-2.464,0.487186
-2.4635,0.493586
-2.463,0.474386
-2.4625,0.487186
-2.462,0.487186
-2.4615,0.467986
-2.461,0.474386
-2.4605,0.480786
-2.46,0.480786
-2.4595,0.467986
-2.459,0.480786
-2.4585,0.467986
-2.458,0.480786
-2.4575,0.480786
-2.457,0.467986
-2.4565,0.474386
-2.456,0.474386
-2.4555,0.480786
-2.455,0.474386
-2.4545,0.474386
-2.454,0.474386
-2.4535,0.480786
-2.453,0.487186
-2.4525,0.467986
-2.452,0.480786
-2.4515,0.474386
-2.451,0.474386
-2.4505,0.487186
-2.45,0.474386
-2.4495,0.474386
-2.449,0.474386
-2.4485,0.480786
-2.448,0.467986
-2.4475,0.480786
-2.447,0.474386
-2.4465,0.474386
-2.446,0.474386
-2.4455,0.480786
-2.445,0.474386
-2.4445,0.474386
-2.444,0.480786
-2.4435,0.461587
-2.443,0.474386
-2.4425,0.467986
-2.442,0.480786
-2.4415,0.461587
-2.441,0.487186
-2.4405,0.493586
-2.44,0.474386
-2.4395,0.480786
-2.439,0.467986
-2.4385,0.467986
-2.438,0.480786
-2.4375,0.480786
-2.437,0.474386
-2.4365,0.487186
-2.436,0.467986
-2.4355,0.480786
-2.435,0.474386
-2.4345,0.480786
-2.434,0.493586
-2.4335,0.467986
-2.433,0.493586
-2.4325,0.480786
-2.432,0.474386
-2.4315,0.474386
-2.431,0.474386
-2.4305,0.480786
-2.43,0.474386
-2.4295,0.467986
-2.429,0.480786
-2.4285,0.467986
-2.428,0.474386
-2.4275,0.474386
-2.427,0.474386
-2.4265,0.474386
-2.426,0.487186
-2.4255,0.474386
-2.425,0.480786
-2.4245,0.480786
-2.424,0.480786
-2.4235,0.474386
-2.423,0.480786
-2.4225,0.474386
-2.422,0.474386
-2.4215,0.474386
-2.421,0.480786
-2.4205,0.474386
-2.42,0.474386
-2.4195,0.480786
-2.419,0.474386
-2.4185,0.487186
-2.418,0.467986
-2.4175,0.480786
-2.417,0.480786
-2.4165,0.474386
-2.416,0.480786
-2.4155,0.467986
-2.415,0.480786
-2.4145,0.480786
-2.414,0.480786
-2.4135,0.474386
-2.413,0.480786
-2.4125,0.480786
-2.412,0.480786
-2.4115,0.487186
-2.411,0.493586
-2.4105,0.474386
-2.41,0.474386
-2.4095,0.487186
-2.409,0.480786
-2.4085,0.480786
-2.408,0.467986
-2.4075,0.461587
-2.407,0.480786
-2.4065,0.480786
-2.406,0.487186
-2.4055,0.474386
-2.405,0.480786
-2.4045,0.480786
-2.404,0.474386
-2.4035,0.487186
-2.403,0.480786
-2.4025,0.474386
-2.402,0.480786
-2.4015,0.480786
-2.401,0.480786
-2.4005,0.487186
-2.4,0.474386
-2.3995,0.480786
-2.399,0.474386
-2.3985,0.474386
-2.398,0.493586
-2.3975,0.480786
-2.397,0.474386
-2.3965,0.474386
-2.396,0.480786
-2.3955,0.474386
-2.395,0.487186
-2.3945,0.480786
-2.394,0.480786
-2.3935,0.480786
-2.393,0.474386
-2.3925,0.480786
-2.392,0.474386
-2.3915,0.474386
-2.391,0.474386
-2.3905,0.474386
-2.39,0.474386
-2.3895,0.480786
-2.389,0.474386
-2.3885,0.487186
-2.388,0.474386
-2.3875,0.474386
-2.387,0.480786
-2.3865,0.487186
-2.386,0.487186
-2.3855,0.493586
-2.385,0.480786
-2.3845,0.480786
-2.384,0.474386
-2.3835,0.467986
-2.383,0.480786
-2.3825,0.480786
-2.382,0.487186
-2.3815,0.480786
-2.381,0.474386
-2.3805,0.480786
-2.38,0.480786
-2.3795,0.480786
-2.379,0.487186
-2.3785,0.480786
-2.378,0.480786
-2.3775,0.474386
-2.377,0.487186
-2.3765,0.480786
-2.376,0.487186
-2.3755,0.480786
-2.375,0.474386
-2.3745,0.474386
-2.374,0.474386
-2.3735,0.493586
-2.373,0.487186
-2.3725,0.480786
-2.372,0.487186
-2.3715,0.487186
-2.371,0.487186
-2.3705,0.480786
-2.37,0.480786
-2.3695,0.474386
-2.369,0.474386
-2.3685,0.467986
-2.368,0.474386
-2.3675,0.480786
-2.367,0.493586
-2.3665,0.480786
-2.366,0.467986
-2.3655,0.474386
-2.365,0.474386
-2.3645,0.474386
-2.364,0.474386
-2.3635,0.480786
-2.363,0.487186
-2.3625,0.487186
-2.362,0.480786
-2.3615,0.487186
-2.361,0.480786
-2.3605,0.480786
-2.36,0.474386
-2.3595,0.461587
-2.359,0.474386
-2.3585,0.474386
-2.358,0.467986
-2.3575,0.493586
-2.357,0.480786
-2.3565,0.474386
-2.356,0.487186
-2.3555,0.474386
-2.355,0.480786
-2.3545,0.474386
-2.354,0.480786
-2.3535,0.474386
-2.353,0.467986
-2.3525,0.480786
-2.352,0.474386
-2.3515,0.480786
-2.351,0.480786
-2.3505,0.474386
-2.35,0.487186
-2.3495,0.480786
-2.349,0.467986
-2.3485,0.480786
-2.348,0.487186
-2.3475,0.467986
-2.347,0.467986
-2.3465,0.474386
-2.346,0.480786
-2.3455,0.474386
-2.345,0.467986
-2.3445,0.474386
-2.344,0.474386
-2.3435,0.487186
-2.343,0.474386
-2.3425,0.474386
-2.342,0.474386
-2.3415,0.480786
-2.341,0.493586
-2.3405,0.487186
-2.34,0.480786
-2.3395,0.480786
-2.339,0.493586
-2.3385,0.474386
-2.338,0.467986
-2.3375,0.480786
-2.337,0.480786
-2.3365,0.474386
-2.336,0.487186
-2.3355,0.480786
-2.335,0.474386
-2.3345,0.487186
-2.334,0.467986
-2.3335,0.487186
-2.333,0.474386
-2.3325,0.480786
-2.332,0.487186
-2.3315,0.487186
-2.331,0.461587
-2.3305,0.480786
-2.33,0.487186
-2.3295,0.474386
-2.329,0.480786
-2.3285,0.480786
-2.328,0.461587
-2.3275,0.474386
-2.327,0.480786
-2.3265,0.480786
-2.326,0.493586
-2.3255,0.474386
-2.325,0.480786
-2.3245,0.480786
-2.324,0.474386
-2.3235,0.467986
-2.323,0.474386
-2.3225,0.480786
-2.322,0.467986
-2.3215,0.474386
-2.321,0.474386
-2.3205,0.487186
-2.32,0.487186
-2.3195,0.487186
-2.319,0.474386
-2.3185,0.474386
-2.318,0.487186
-2.3175,0.487186
-2.317,0.480786
-2.3165,0.487186
-2.316,0.480786
-2.3155,0.493586
-2.315,0.480786
-2.3145,0.474386
-2.314,0.474386
-2.3135,0.480786
-2.313,0.474386
-2.3125,0.480786
-2.312,0.480786
-2.3115,0.467986
-2.311,0.480786
-2.3105,0.487186
-2.31,0.474386
-2.3095,0.480786
-2.309,0.487186
-2.3085,0.474386
-2.308,0.487186
-2.3075,0.474386
-2.307,0.487186
-2.3065,0.480786
-2.306,0.487186
-2.3055,0.474386
-2.305,0.487186
-2.3045,0.480786
-2.304,0.493586
-2.3035,0.474386
-2.303,0.487186
-2.3025,0.487186
-2.302,0.480786
-2.3015,0.480786
-2.301,0.467986
-2.3005,0.480786
-2.3,0.487186
-2.2995,0.474386
-2.299,0.480786
-2.2985,0.474386
-2.298,0.480786
-2.2975,0.487186
-2.297,0.493586
-2.2965,0.499985
-2.296,0.487186
-2.2955,0.474386
-2.295,0.487186
-2.2945,0.480786
-2.294,0.480786
-2.2935,0.493586
-2.293,0.480786
-2.2925,0.499985
-2.292,0.474386
-2.2915,0.487186
-2.291,0.480786
-2.2905,0.474386
-2.29,0.487186
-2.2895,0.480786
-2.289,0.474386
-2.2885,0.487186
-2.288,0.487186
-2.2875,0.467986
-2.287,0.474386
-2.2865,0.487186
-2.286,0.480786
-2.2855,0.480786
-2.285,0.474386
-2.2845,0.474386
-2.284,0.480786
-2.2835,0.474386
-2.283,0.480786
-2.2825,0.467986
-2.282,0.474386
-2.2815,0.493586
-2.281,0.480786
-2.2805,0.480786
-2.28,0.467986
-2.2795,0.487186
-2.279,0.474386
-2.2785,0.467986
-2.278,0.474386
-2.2775,0.493586
-2.277,0.480786
-2.2765,0.474386
-2.276,0.487186
-2.2755,0.467986
-2.275,0.487186
-2.2745,0.474386
-2.274,0.487186
-2.2735,0.474386
-2.273,0.487186
-2.2725,0.474386
-2.272,0.467986
-2.2715,0.480786
-2.271,0.499985
-2.2705,0.480786
-2.27,0.487186
-2.2695,0.480786
-2.269,0.480786
-2.2685,0.474386
-2.268,0.474386
-2.2675,0.480786
-2.267,0.487186
-2.2665,0.487186
-2.266,0.480786
-2.2655,0.480786
-2.265,0.487186
-2.2645,0.487186
-2.264,0.487186
-2.2635,0.474386
-2.263,0.480786
-2.2625,0.487186
-2.262,0.487186
-2.2615,0.480786
-2.261,0.487186
-2.2605,0.499985
-2.26,0.480786
-2.2595,0.493586
-2.259,0.480786
-2.2585,0.480786
-2.258,0.480786
-2.2575,0.493586
-2.257,0.480786
-2.2565,0.487186
-2.256,0.480786
-2.2555,0.480786
-2.255,0.487186
-2.2545,0.487186
-2.254,0.480786
-2.2535,0.487186
-2.253,0.474386
-2.2525,0.480786
-2.252,0.487186
-2.2515,0.493586
-2.251,0.487186
-2.2505,0.487186
-2.25,0.474386
-2.2495,0.487186
-2.249,0.487186
-2.2485,0.487186
-2.248,0.480786
-2.2475,0.487186
-2.247,0.487186
-2.2465,0.474386
-2.246,0.493586
-2.2455,0.487186
-2.245,0.493586
-2.2445,0.493586
-2.244,0.499985
-2.2435,0.487186
-2.243,0.480786
-2.2425,0.480786
-2.242,0.493586
-2.2415,0.493586
-2.241,0.493586
-2.2405,0.487186
-2.24,0.499985
-2.2395,0.474386
-2.239,0.480786
-2.2385,0.480786
-2.238,0.474386
-2.2375,0.487186
-2.237,0.474386
-2.2365,0.487186
-2.236,0.480786
-2.2355,0.499985
-2.235,0.480786
-2.2345,0.480786
-2.234,0.474386
-2.2335,0.474386
-2.233,0.480786
-2.2325,0.493586
-2.232,0.480786
-2.2315,0.480786
-2.231,0.487186
-2.2305,0.480786
-2.23,0.487186
-2.2295,0.493586
-2.229,0.480786
-2.2285,0.487186
-2.228,0.487186
-2.2275,0.487186
-2.227,0.487186
-2.2265,0.487186
-2.226,0.499985
-2.2255,0.493586
-2.225,0.480786
-2.2245,0.480786
-2.224,0.480786
-2.2235,0.487186
-2.223,0.499985
-2.2225,0.487186
-2.222,0.487186
-2.2215,0.480786
-2.221,0.487186
-2.2205,0.487186
-2.22,0.480786
