Trace
Log Plot
A.16.09,N9010A
544 B25 B40 EXM FS1 MPB P44 RTL ,01
AllowZeroAtten,False
AM Rejection,True
Automatic Trigger Time,0.1
Automatic Trigger Time State,False
Average Mode,Repeat
Average Number,10
Average State,False
Cancellation,False
Carrier Frequency,2481639417.05968
Electrical Atten,0
Electrical Atten State,False
External Array Trigger Delay,1E-06,1E-06,0,0
External Array Trigger Delay State,False,False,False,False
External Array Trigger Level,1.2,1.2,0,0
External Array Trigger Slope,Positive,Positive,Positive,Positive
ExternalGainValueSelection,Preamp
ExtGainPreampDb,0
Input Port,RF
Internal Preamp,False
Internal Preamp Band,Low
Line Trigger Delay,1E-06
Line Trigger Delay State,False
Line Trigger Slope,Positive
Meas Type,PhaseNoise
Mechanical Atten,10
MechanicalAttenStepEnum,S2dB
Noise Floor Extension,False
Overdrive(Mech Atten),False
Periodic Timer Period,0.02
Periodic Timer Sync Source,None
Periodic Timer Trigger Delay,1E-06
Periodic Timer Trigger Delay State,False
Preselector Adjust,0
Reference Trace,3
RFBurst Trigger Delay,1E-06
RFBurst Trigger Delay State,False
RFBurst Trigger Level Abs,-20
RFBurst Trigger Level Rel,-6
RFBurst Trigger Level Type,Absolute
RFBurst Trigger Slope,Positive
Smoothing,4
Start Offset,10
Stop Offset,100000000
Threshold,0.01
Trace Type,Raw,Smoothed,Blank,Raw,Raw,Raw
Trigger Holdoff,0.1
Trigger Holdoff State,False
Trigger Source,Free
Trace Name,Trace2
DATA,
10,-22.6889576572192
10.272275691833,-22.920677916844
10.5519647889024,-22.8002461279571
10.839269140212,-22.9412488839675
11.1343960906236,-23.1941469808456
11.4375586304954,-23.356133046935
11.7489755493953,-23.4512730780455
12.0688715939994,-23.5707475931847
12.3974776302894,-23.6640896687412
12.7350308101666,-23.8122185096625
13.0817747426019,-23.9170863124746
13.4379596694465,-24.1775860105085
13.8038426460288,-24.4011458681212
14.179687726669,-24.6654072522062
14.5657661552446,-24.8549807828746
14.9623565609443,-25.0643793984743
15.3697451593527,-25.113507458858
15.7882259590087,-25.2989034525731
16.2181009735893,-25.5572310724346
16.6596804398695,-25.6908894481063
17.1132830416178,-25.7756704094967
17.5792361395869,-25.765931364312
18.0578760077672,-25.8281845997271
18.5495480760722,-25.852652890526
19.0546071796325,-25.9458541225782
19.5734178148766,-25.8851108178943
20.1063544025849,-25.7909786839938
20.6538015581053,-25.8435915945813
21.2161543689268,-25.859813917969
21.7938186798105,-25.9784734776607
22.3872113856834,-25.8867177569331
22.9967607325083,-25.9988989904163
23.6229066263446,-26.0235631726038
24.2661009508242,-26.09057244098
24.9268078932718,-26.1113999837379
25.6055042797048,-25.9971961234708
26.3026799189538,-25.8938423743459
27.0188379561534,-25.7938166731484
27.7544952358571,-25.7622609609988
28.5101826750391,-25.7631416189265
29.2864456462524,-25.7288603679457
30.0838443712188,-25.5540336780608
30.9029543251359,-25.4833941059704
31.744366651992,-25.4877946286635
32.6086885911893,-25.6773132861701
33.4965439157828,-25.7244857791181
34.4085733826513,-25.7834456178783
35.3454351949263,-25.8912005776736
36.3078054770101,-25.9433668057639
37.2963787625294,-26.0165528959585
38.3118684955729,-26.0289541932029
39.3550075455777,-26.292919636004
40.4265487362344,-26.3647957231566
41.5272653887925,-26.6474135557058
42.6579518801593,-26.6911768009012
43.8194242161944,-26.8030171247796
45.0125206206134,-26.8583254069923
46.238102139926,-26.8988647132643
47.4970532648456,-26.9073084611505
48.7902825686172,-27.1843908013577
50.1187233627272,-27.2818704326118
51.4833343704648,-27.4121322528687
52.8851004188238,-27.734106123879
54.3250331492433,-27.9482214277698
55.8041717476997,-28.3166788981196
57.3235836946771,-28.459002349688
58.8843655355589,-28.6430551620387
60.4876436719933,-28.7003665414916
62.1345751748076,-29.0241473610147
63.8263486190549,-29.078631956047
65.5641849417979,-29.2056485832252
67.3493383232477,-29.3634870802232
69.1830970918936,-29.4832399179109
71.0667846542785,-29.7294633251829
73.0017604500878,-29.7452770991739
74.9894209332456,-29.9235884641874
77.0312005797215,-30.0319282616289
79.1285729227788,-30.1961515485277
81.2830516164099,-30.2426906228491
83.4961915277258,-30.3049691766361
85.7695898590894,-30.3694813024161
88.1048873008014,-30.5438534725605
90.5037692151712,-30.6890359018675
92.9679668528271,-30.9028639591858
95.4992586021436,-31.1060079360808
98.0994712726877,-31.1695105230361
100.77048141361,-31.2308150977609
103.514216667934,-31.1528428274336
106.332657163716,-31.3149491537098
109.227836943086,-31.4207714929083
112.201845430196,-31.6484071843774
115.256828939141,-31.6169793237643
118.39499222293,-31.8649812202029
121.618600064637,-32.0331126079966
124.929978911873,-32.1699579637334
128.331518555765,-32.4453326699473
131.825673855641,-32.7386797550934
135.414966510681,-32.9181931711893
139.101986879805,-33.166728544068
142.88939585111,-33.2555861028082
146.779926762207,-33.4739879723567
150.776387372845,-33.634813611132
154.881661891248,-33.7597691445567
159.098713055617,-33.865437910018
163.430584272314,-34.0716587651933
167.880401812256,-34.0926284216994
172.45137706712,-34.0737881799925
177.146808866971,-34.229314866444
181.970085860998,-34.3067464907259
186.924688963071,-34.4815146064918
192.01419386388,-34.7405765670551
197.242273611485,-34.8776414617234
202.612701262114,-34.9954964684189
208.129352603145,-35.0215205469683
213.796208950223,-35.1982888087209
219.617360020544,-35.2796162668847
225.597006884358,-35.342475772514
231.739464996848,-35.4321094092825
238.049167312551,-35.4417416610437
244.530667484582,-35.2939341725424
251.188643150958,-35.3768390175514
258.027899310411,-35.3731294426689
265.053371790108,-35.3881713531781
272.270130807791,-35.2712586449143
279.683384630908,-35.3458613721031
287.298483335367,-35.5553269685244
295.120922666639,-35.6209339774133
303.156348005985,-35.6823736485761
311.410558444676,-35.6508402537492
319.88951096914,-35.8163778335273
328.599324760065,-35.7958534307136
337.546285608557,-35.8012120486193
346.736850452532,-35.7920572899772
356.177652036629,-35.7900802638831
365.875503699003,-35.7991116291389
375.837404288444,-35.9001751216521
386.070543215381,-36.021561305248
396.582305640414,-36.0880125691064
407.380277804113,-36.1354228695144
418.472252501938,-36.1730590016769
429.866234708228,-36.1982255096493
441.570447353312,-36.1889871665293
453.593337257927,-36.5934620288095
465.943581229204,-36.8919401058307
478.630092322638,-37.1018476074897
491.662026274564,-37.4857086368926
505.048788109759,-38.0353437177813
518.800038928961,-38.1369623363149
532.9257028812,-38.4567591908679
547.435974325959,-38.7084018484595
562.341325190349,-38.9846485737866
577.6525125266,-39.5915374286692
593.380586275328,-39.7348991655315
609.536897240169,-40.0130770723936
626.133105279552,-40.3516972226263
643.181187721509,-40.7271013884589
660.693448007596,-41.0321026403374
678.682524572179,-41.605738955784
697.161399963467,-42.1568435062048
716.143410212902,-42.7186917463773
735.642254459641,-43.0718764656059
755.672004837103,-43.3655436488143
776.247116628692,-43.7735604903765
797.38243870004,-44.2168696375836
819.093224215297,-44.7702450552456
841.395141645195,-44.9298249685349
864.304286074836,-45.0841885622934
887.837190819365,-45.2890952470897
912.01083935591,-45.4139966514001
936.842677580396,-45.4210402908963
962.350626398088,-45.704056453378
988.553094656938,-45.7541755282648
1015.46899243308,-45.8642631487979
1043.11774467805,-45.864180851397
