MeasResult
PNOISE:LPL
A.16.09,N9010A
544 B25 B40 EXM FS1 MPB P44 RTL ,01
AllowZeroAtten,False
AM Rejection,True
Automatic Trigger Time,0.1
Automatic Trigger Time State,False
Average Mode,Repeat
Average Number,10
Average State,False
Cancellation,False
Carrier Frequency,2429777778.12687
Electrical Atten,0
Electrical Atten State,False
External Array Trigger Delay,1E-06,1E-06,0,0
External Array Trigger Delay State,False,False,False,False
External Array Trigger Level,1.2,1.2,0,0
External Array Trigger Slope,Positive,Positive,Positive,Positive
ExternalGainValueSelection,Preamp
ExtGainPreampDb,0
Input Port,RF
Internal Preamp,False
Internal Preamp Band,Low
Line Trigger Delay,1E-06
Line Trigger Delay State,False
Line Trigger Slope,Positive
Meas Type,PhaseNoise
Mechanical Atten,10
MechanicalAttenStepEnum,S2dB
Overdrive(Mech Atten),False
Periodic Timer Period,0.02
Periodic Timer Sync Source,None
Periodic Timer Trigger Delay,1E-06
Periodic Timer Trigger Delay State,False
Preselector Adjust,0
Reference Trace,3
RFBurst Trigger Delay,1E-06
RFBurst Trigger Delay State,False
RFBurst Trigger Level Abs,-20
RFBurst Trigger Level Rel,-6
RFBurst Trigger Level Type,Absolute
RFBurst Trigger Slope,Positive
Smoothing,4
Start Offset,100
Stop Offset,10000000
Threshold,0.01
Trace Type,Raw,Smoothed,Blank,Raw,Raw,Raw
Trigger Holdoff,0.1
Trigger Holdoff State,False
Trigger Source,Free
MeasResult1,MeasResult2,MeasResult3,MeasResult4,MeasResult5,MeasResult6
-2.33,601,100,100,9.91E+37,100
2429777778.12687,601,-31.96,-30.34,,-31.96
49.0164109717551,0,101.9373,101.9373,,-30.34
0.8554977589678,,-30.32,-30.59,,9.91E+37
25065.3149067295,,103.9122,103.9122,,1000
-30.34,,-32.96,-30.67,,-43.41
-126.32,,105.9254,105.9254,,-41.98
,,-30.58,-30.85,,9.91E+37
,,107.9775,107.9775,,10000
,,-28.84,-31.16,,-50.84
,,110.0694,110.0694,,-54.12
,,-31.31,-31.48,,9.91E+37
,,112.2018,112.2018,,100000
,,-28.94,-31.69,,-80.46
,,114.3756,114.3756,,-82.64
,,-30.23,-31.91,,9.91E+37
,,116.5914,116.5914,,1000000
,,-33.88,-32.09,,-103.76
,,118.8502,118.8502,,-103.83
,,-30.36,-32.23,,9.91E+37
,,121.1528,121.1528,,10000000
,,-35.49,-32.3,,-120.58
,,123.4999,123.4999,,-126.32
,,-33.23,-32.31,,9.91E+37
,,125.8925,125.8925,,
,,-32.45,-32.36,,
,,128.3315,128.3315,,
,,-35,-32.51,,
,,130.8177,130.8177,,
,,-36.19,-32.64,,
,,133.3521,133.3521,,
,,-34.84,-32.7,,
,,135.9356,135.9356,,
,,-30.01,-32.88,,
,,138.5692,138.5692,,
,,-32.96,-32.95,,
,,141.2538,141.2538,,
,,-34.8,-33.18,,
,,143.9903,143.9903,,
,,-33.35,-33.23,,
,,146.7799,146.7799,,
,,-32.67,-33.09,,
,,149.6236,149.6236,,
,,-31.68,-32.98,,
,,152.5223,152.5223,,
