Default Dataset,
X,Y
105986.97531905297,-93.7200902633125
120014.16604796304,-94.96678550445975
135897.83092525724,-96.29800245687122
153883.6710560405,-97.70317590663888
174249.90565675468,-99.16117542594668
197141.33979945537,-100.29869679004433
223425.41757040552,-101.48552248571275
252995.38063909457,-102.91182636329647
286478.87657880574,-104.24304331570795
312844.4448836041,-105.45452117716178
350598.55885517993,-106.37721652512951
397342.4827663537,-107.78356388755363
449541.8755985094,-109.09951997543128
507721.5333125636,-110.3379978279834
576408.2390313008,-111.35554531859209
636245.9222067553,-112.87633239483904
714612.518060734,-113.92547490608698
809190.2344068179,-115.10877886378607
916285.1460205037,-116.32964802649147
1033977.8009495357,-117.4002563691716
1177918.5373574523,-118.50608209154515
1333813.9946708898,-119.45695134326763
1510341.9429760114,-120.23877717246167
1710233.056353119,-121.08399428510388
1936579.4088189339,-122.0137331090103
2137618.2164941328,-123.01893774654549
2407134.3653624887,-123.59851519521443
2725714.3866472705,-124.59164530256903
3086457.9163021147,-125.39460155957913
3494945.220882654,-126.02851439406078
3957495.1054589036,-126.42999252256583
4481262.657895328,-126.91599236233509
5074349.92941538,-127.25407920739197
5770782.849239644,-127.97486157845074
6506395.212122977,-128.56416573198737
7323124.617896368,-129.0830351261372
8321006.911613568,-129.6840784062383
9301071.394650957,-130.19120867382364
