Trace
Swept SA
A.01.57,N9010A
526 B25 PFR P26 EA3 ,01
Segment,0
Number of Points,1001
Sweep Time,0.001
Start Frequency,1900000000
Stop Frequency,3000000000
Average Count,0
Average Type,LogPower(Video)
RBW,3000000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,50000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,1E-06
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Clearwrite
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace6
Trace Math Oper2,Trace1
Trace Math Offset,0
Trace Name,Trace2
X Axis Units,Hz
Y Axis Units,dBm
DATA
1900000000,-73.8845837489175
1901100000,-74.2923157296499
1902200000,-80.6265757369448
1903300000,-72.9705843164565
1904400000,-73.7281460765346
1905500000,-77.1255997849526
1906600000,-69.2079709664662
1907700000,-74.1340926182435
1908800000,-72.9925784333021
1909900000,-74.173463623849
1911000000,-72.6909388976966
1912100000,-74.0188113904896
1913200000,-73.0536819682434
1914300000,-78.611849019679
1915400000,-69.1920099722375
1916500000,-70.4552080520422
1917600000,-63.3019132052356
1918700000,-70.2623391200988
1919800000,-70.2144104638683
1920900000,-60.6916803048546
1922000000,-72.579120591007
1923100000,-73.3925375259386
1924200000,-71.3191238447569
1925300000,-68.2167990478526
1926400000,-67.7484867071983
1927500000,-80.9264755070713
1928600000,-63.6339965513291
1929700000,-79.5959248557432
1930800000,-69.6969072029795
1931900000,-69.2432155099374
1933000000,-66.4001085743135
1934100000,-72.3174448525567
1935200000,-62.3954294407609
1936300000,-83.8875402650003
1937400000,-70.5260219806459
1938500000,-77.7192080423852
1939600000,-68.8084652700425
1940700000,-69.4460176516061
1941800000,-68.0110490714997
1942900000,-76.0156050416375
1944000000,-77.1352757745683
1945100000,-68.5978807499306
1946200000,-71.4520016493653
1947300000,-72.6922019701379
1948400000,-66.3596164791916
1949500000,-70.3749370663704
1950600000,-65.0506844688325
1951700000,-58.4741000561577
1952800000,-52.9734626959244
1953900000,-51.617867259031
1955000000,-55.4215261309754
1956100000,-60.15708449916
1957200000,-65.2836290913193
1958300000,-101.436253441584
1959400000,-80.987007442923
1960500000,-76.638750532299
1961600000,-75.3742872227982
1962700000,-70.3675271981117
1963800000,-66.3926180351929
1964900000,-71.7543423109459
1966000000,-76.7838752836227
1967100000,-74.8050536852058
1968200000,-73.7316738686249
1969300000,-69.3569592435966
1970400000,-73.3193644019668
1971500000,-77.7668276577491
1972600000,-71.7282167712951
1973700000,-69.0467958681419
1974800000,-76.134151072264
1975900000,-70.2219492657417
1977000000,-64.5625656190826
1978100000,-56.2074348492301
1979200000,-52.3118988295242
1980300000,-51.9881542543983
1981400000,-53.7957255618407
1982500000,-57.9227564987266
1983600000,-64.9807142423995
1984700000,-54.8881935599982
1985800000,-68.9561063627428
1986900000,-69.3017808052261
1988000000,-79.6073148479046
1989100000,-73.0475258308663
1990200000,-80.6455537661718
1991300000,-74.9324116100711
1992400000,-71.1830198119781
1993500000,-73.9157680429379
1994600000,-79.6764547001672
1995700000,-80.1015022858633
1996800000,-72.8097165036395
1997900000,-74.0637724740036
1999000000,-71.6637241105298
2000100000,-82.9481935861673
2001200000,-84.143454635633
2002300000,-70.1167106644931
2003400000,-69.271787958783
2004500000,-76.0819639540494
2005600000,-67.8171222309565
2006700000,-68.4420725477073
2007800000,-75.7549451166554
2008900000,-70.2093684851151
2010000000,-74.4119897385359
2011100000,-70.0775884775035
2012200000,-68.2566700848793
2013300000,-70.1956868837101
2014400000,-71.9612586658906
2015500000,-67.8473383582274
2016600000,-69.2954175675563
2017700000,-68.832661847686
2018800000,-82.3630973016438
2019900000,-74.8625895502306
2021000000,-74.9142893882216
2022100000,-66.7964349673748
2023200000,-82.4376080815865
2024300000,-80.6431474033666
2025400000,-72.1989811715334
2026500000,-78.5534965298369
2027600000,-78.1113190322811
2028700000,-74.782310918612
2029800000,-69.1485419057241
2030900000,-75.264937834389
2032000000,-74.1936546832199
2033100000,-72.7960597210644
2034200000,-69.3318232893289
2035300000,-76.2978058249762
2036400000,-82.0320347678012
2037500000,-71.3595410339172
2038600000,-67.1162719002774
2039700000,-76.5340026373895
2040800000,-69.195180918447
2041900000,-78.427707654729
2043000000,-75.810118083931
2044100000,-75.4296752533185
2045200000,-70.1075193211924
2046300000,-68.4277087387244
2047400000,-80.8506397042142
2048500000,-68.7860601740124
2049600000,-68.8008971423946
2050700000,-69.8358259883647
2051800000,-73.7840431648524
2052900000,-72.1878993006174
2054000000,-86.3899506817926
2055100000,-76.6271923047646
2056200000,-83.7679736860375
2057300000,-74.7989467411384
2058400000,-66.8323731975577
2059500000,-73.958455848606
2060600000,-64.6366593783163
2061700000,-76.822044972675
2062800000,-65.8451714790944
2063900000,-68.5351773483555
2065000000,-74.7205412650287
2066100000,-85.6594745363406
2067200000,-72.2190938571154
2068300000,-66.6954492768648
2069400000,-86.4888976354814
2070500000,-63.6619078348206
2071600000,-55.654177846611
2072700000,-49.092802912503
2073800000,-48.3681748838464
2074900000,-49.5325066687505
2076000000,-54.633158407805
2077100000,-64.3109947388029
2078200000,-73.791868084791
2079300000,-73.0894611311697
2080400000,-76.7231795938082
2081500000,-75.7444365119643
2082600000,-79.7191655158137
2083700000,-67.5458694949072
2084800000,-72.1938003430438
2085900000,-74.9602937224303
2087000000,-77.9502078012309
2088100000,-66.7617267053733
2089200000,-78.0387848848086
2090300000,-82.1105255081405
2091400000,-68.8554029427028
2092500000,-68.0706830998237
2093600000,-74.8999055132923
2094700000,-66.9451450668487
2095800000,-78.6220087083935
2096900000,-63.7382668340691
2098000000,-55.1455814958775
2099100000,-51.5681029103226
2100200000,-50.9039126552853
2101300000,-53.0942158098671
2102400000,-60.9494095930134
2103500000,-63.7364811947144
2104600000,-87.23406368289
2105700000,-70.6599678327355
2106800000,-70.6866178982549
2107900000,-80.3850324515672
2109000000,-78.3391615554166
2110100000,-69.8434878367074
2111200000,-75.4909323401174
2112300000,-93.4088768350313
2113400000,-80.2331274128065
2114500000,-76.3910716832086
2115600000,-87.8209966569799
2116700000,-72.0788489375383
2117800000,-69.0305246400694
2118900000,-83.9792320128266
2120000000,-71.7415913188758
2121100000,-69.1139804457747
2122200000,-73.8945296058766
2123300000,-82.4085562430294
2124400000,-71.9494619062564
2125500000,-64.9857256168955
2126600000,-76.0102953764115
2127700000,-75.5992530211814
2128800000,-72.1749709699065
2129900000,-70.8673060709752
2131000000,-64.7119999439678
2132100000,-62.2254968810229
2133200000,-57.4930278397577
2134300000,-56.1500859882874
2135400000,-64.0232479876472
2136500000,-65.0675961221176
2137600000,-77.2816069442744
2138700000,-83.2868741195562
2139800000,-71.5566534058243
2140900000,-80.3047036410182
2142000000,-71.3966391304114
2143100000,-79.7272454272263
2144200000,-78.1420883145199
2145300000,-73.0939103608954
2146400000,-77.000198860103
2147500000,-64.4850659523769
2148600000,-71.0900413208228
2149700000,-66.9884615936632
2150800000,-72.050070288525
2151900000,-63.6153048911506
2153000000,-77.9635713419207
2154100000,-74.1736046955228
2155200000,-71.732981483744
2156300000,-64.559367139641
2157400000,-68.1716810343564
2158500000,-65.3988665195015
2159600000,-63.0964113718341
2160700000,-61.0379551458952
2161800000,-64.0711390697609
2162900000,-68.4066304915271
2164000000,-68.9792469757933
2165100000,-77.5126957497079
2166200000,-69.8628425463276
2167300000,-63.4535621739043
2168400000,-62.274090015397
2169500000,-61.4856040808643
2170600000,-75.1988853859313
2171700000,-76.2594997136545
2172800000,-62.8771417226765
2173900000,-76.8579399178313
2175000000,-66.6152307028299
2176100000,-68.4842751929066
2177200000,-68.7158811359619
2178300000,-68.4124532988413
2179400000,-72.7597037047872
2180500000,-66.7708070167877
2181600000,-73.2993489880656
2182700000,-64.0443944441579
2183800000,-72.2280134387268
2184900000,-73.9765283409618
2186000000,-74.0229302831869
2187100000,-65.8468625377656
2188200000,-63.4914919612895
2189300000,-66.8446504917963
2190400000,-46.8302512401257
2191500000,-38.3278975003693
2192600000,-32.7094346306812
2193700000,-30.9537980640204
2194800000,-32.2172806854944
2195900000,-36.5733761462262
2197000000,-44.4777450831787
2198100000,-51.6706954772602
2199200000,-72.5364047262732
2200300000,-76.0517328181574
2201400000,-68.3548694947095
2202500000,-66.3493545142304
2203600000,-65.5873521107532
2204700000,-70.772455956153
2205800000,-65.5626177867091
2206900000,-63.00642530313
2208000000,-63.0373141070286
2209100000,-60.5605995346087
2210200000,-75.1961466896791
2211300000,-67.5307803479722
2212400000,-72.8238145722809
2213500000,-63.9472728600662
2214600000,-69.1256569886229
2215700000,-70.1031440189863
2216800000,-73.3853919485684
2217900000,-52.267747705299
2219000000,-49.5940701478694
2220100000,-49.8718976195414
2221200000,-48.9914651495141
2222300000,-58.4471797734322
2223400000,-56.6113298388054
2224500000,-65.8406840172644
2225600000,-62.8700921092977
2226700000,-61.404650176331
2227800000,-61.2650337096241
2228900000,-62.074955215427
2230000000,-64.8692053015521
2231100000,-78.0642768946107
2232200000,-64.0755168102769
2233300000,-73.1608234325348
2234400000,-65.1867837561111
2235500000,-58.3710040213865
2236600000,-61.2681452190839
2237700000,-55.9986719039883
2238800000,-57.8962994464122
2239900000,-62.8689013518244
2241000000,-67.2711925245218
2242100000,-59.4176824359399
2243200000,-70.152186589399
2244300000,-64.7416054641471
2245400000,-65.2840100798621
2246500000,-65.5471388213094
2247600000,-66.104242167249
2248700000,-41.9263222912159
2249800000,-25.979691340964
2250900000,-14.366246060927
2252000000,-6.76849387825329
2253100000,-2.97771282375339
2254200000,-2.61173591158747
2255300000,-5.35013082285905
2256400000,-11.2634514626463
2257500000,-21.0807548500897
2258600000,-35.910325244125
2259700000,-69.8423654380626
2260800000,-45.2286003135407
2261900000,-65.097656779328
2263000000,-69.5624439697246
2264100000,-56.3064420013322
2265200000,-64.566441335723
2266300000,-63.522144437936
2267400000,-59.5528002254518
2268500000,-56.4565605883094
2269600000,-55.5269137862744
2270700000,-65.4331709058214
2271800000,-65.3442914726341
2272900000,-70.2588598079037
2274000000,-81.1558113445894
2275100000,-83.5862942719001
2276200000,-59.4003165084882
2277300000,-63.3712263633379
2278400000,-74.8620066010978
2279500000,-62.5290848908109
2280600000,-77.0801407613345
2281700000,-60.364057698069
2282800000,-67.0689313746961
2283900000,-59.2279416210498
2285000000,-56.0111723960656
2286100000,-53.3823523800657
2287200000,-53.0024380884311
2288300000,-59.8131426226754
2289400000,-59.5890348714217
2290500000,-61.5638571617695
2291600000,-61.9776743022638
2292700000,-70.7991651312346
2293800000,-68.5672108312992
2294900000,-74.5224492664713
2296000000,-63.8710622938796
2297100000,-67.5303590679677
2298200000,-72.268542640542
2299300000,-61.6553723665344
2300400000,-66.2877250814915
2301500000,-64.3350466558237
2302600000,-69.3142894040817
2303700000,-61.7202383182088
2304800000,-80.6632747798457
2305900000,-80.6037928071075
2307000000,-70.1875855181096
2308100000,-81.1991871505473
2309200000,-64.9622826926041
2310300000,-49.8748189382253
2311400000,-39.4409731729579
2312500000,-33.5225773326905
2313600000,-31.2053703974524
2314700000,-32.2571124296947
2315800000,-36.4455634918687
2316900000,-42.8976190086325
2318000000,-53.4917767026913
2319100000,-67.1609087597383
2320200000,-71.2611674405646
2321300000,-65.2722176952191
2322400000,-66.9515810494778
2323500000,-75.743267188664
2324600000,-78.4144020623229
2325700000,-69.2148424065873
2326800000,-71.4038589288789
2327900000,-69.0715460340808
2329000000,-72.5452315780034
2330100000,-80.4696926339376
2331200000,-71.0202545643836
2332300000,-67.5649586804254
2333400000,-85.560989686262
2334500000,-67.3128917042568
2335600000,-73.1177958618024
2336700000,-64.4944264308715
2337800000,-75.7290415333878
2338900000,-62.284488588785
2340000000,-62.2686955773852
2341100000,-61.5032673245305
2342200000,-66.0176229683554
2343300000,-72.5486443989967
2344400000,-65.5068583402337
2345500000,-68.574858929957
2346600000,-67.6506843906765
2347700000,-63.977847299394
2348800000,-62.9360829183165
2349900000,-80.0090336660477
2351000000,-72.2352508420992
2352100000,-71.4757020813342
2353200000,-71.5833784038212
2354300000,-69.8478339561422
2355400000,-81.2353158529945
2356500000,-71.3096389241631
2357600000,-63.1095929237009
2358700000,-77.8601442959438
2359800000,-70.1804333454328
2360900000,-70.5379880817382
2362000000,-83.333608334108
2363100000,-69.595080785013
2364200000,-71.5959535604297
2365300000,-71.1039216897526
2366400000,-71.0763696941732
2367500000,-68.3207333689063
2368600000,-75.1045729594109
2369700000,-71.9873478706187
2370800000,-70.2077072322658
2371900000,-73.772524903581
2373000000,-71.1668156266051
2374100000,-68.3494446343948
2375200000,-67.9162076846162
2376300000,-79.4389178995349
2377400000,-80.1610011454106
2378500000,-65.8845000700949
2379600000,-77.689425905326
2380700000,-71.9881640430474
2381800000,-76.0909552405833
2382900000,-65.7448946273281
2384000000,-70.8001635434186
2385100000,-67.0773507693724
2386200000,-76.3805527203751
2387300000,-73.2750866157625
2388400000,-70.3930412105639
2389500000,-68.6751352391545
2390600000,-75.2561323525595
2391700000,-72.4946165352027
2392800000,-72.9580021291253
2393900000,-75.7909793328921
2395000000,-67.2586064213498
2396100000,-71.9433317277762
2397200000,-71.0866357395249
2398300000,-63.7095830236369
2399400000,-65.5956700952976
2400500000,-67.952116534146
2401600000,-76.2056935391075
2402700000,-85.4293867388933
2403800000,-66.3315665419018
2404900000,-71.210315087293
2406000000,-61.9782826170593
2407100000,-74.1534808459467
2408200000,-70.3893760192676
2409300000,-65.7139499186628
2410400000,-88.1723798126869
2411500000,-71.9319927713594
2412600000,-71.228163577444
2413700000,-84.6939103200521
2414800000,-74.4182680038711
2415900000,-69.7575406334909
2417000000,-72.0787101198001
2418100000,-71.7952646103086
2419200000,-70.9973635429557
2420300000,-76.6404460600266
2421400000,-85.6789352589823
2422500000,-63.2856597456334
2423600000,-71.6421278621672
2424700000,-71.2763694634179
2425800000,-75.0821107024127
2426900000,-72.8496135651379
2428000000,-68.4270056243964
2429100000,-73.6996801398072
2430200000,-70.5176450300226
2431300000,-59.1219594707264
2432400000,-49.8311320795943
2433500000,-46.9636497966164
2434600000,-48.0236682296541
2435700000,-52.3468047725552
2436800000,-60.1623596168234
2437900000,-63.4683440281814
2439000000,-78.0600135059946
2440100000,-68.1635984296085
2441200000,-74.7150624745603
2442300000,-77.8946378059867
2443400000,-75.473996921837
2444500000,-77.127844055949
2445600000,-68.1603887297582
2446700000,-69.1532212771598
2447800000,-69.1487919786642
2448900000,-70.4172727176197
2450000000,-72.1590525698077
2451100000,-77.7166227883042
2452200000,-67.8228877946914
2453300000,-66.7542704279341
2454400000,-78.8674743266064
2455500000,-69.1589433338237
2456600000,-67.3348112335214
2457700000,-76.5847024844398
2458800000,-62.3195651220282
