MeasResult
PNOISE:LPL
A.16.09,N9010A
544 B25 B40 EXM FS1 MPB P44 RTL ,01
AllowZeroAtten,False
AM Rejection,True
Automatic Trigger Time,0.1
Automatic Trigger Time State,False
Average Mode,Repeat
Average Number,10
Average State,False
Cancellation,False
Carrier Frequency,2613811875.14382
Electrical Atten,0
Electrical Atten State,False
External Array Trigger Delay,1E-06,1E-06,0,0
External Array Trigger Delay State,False,False,False,False
External Array Trigger Level,1.2,1.2,0,0
External Array Trigger Slope,Positive,Positive,Positive,Positive
ExternalGainValueSelection,Preamp
ExtGainPreampDb,0
Input Port,RF
Internal Preamp,False
Internal Preamp Band,Low
Line Trigger Delay,1E-06
Line Trigger Delay State,False
Line Trigger Slope,Positive
Meas Type,PhaseNoise
Mechanical Atten,10
MechanicalAttenStepEnum,S2dB
Overdrive(Mech Atten),False
Periodic Timer Period,0.02
Periodic Timer Sync Source,None
Periodic Timer Trigger Delay,1E-06
Periodic Timer Trigger Delay State,False
Preselector Adjust,0
Reference Trace,3
RFBurst Trigger Delay,1E-06
RFBurst Trigger Delay State,False
RFBurst Trigger Level Abs,-20
RFBurst Trigger Level Rel,-6
RFBurst Trigger Level Type,Absolute
RFBurst Trigger Slope,Positive
Smoothing,4
Start Offset,100
Stop Offset,10000000
Threshold,0.01
Trace Type,Raw,Smoothed,Blank,Raw,Raw,Raw
Trigger Holdoff,0.1
Trigger Holdoff State,False
Trigger Source,Free
MeasResult1,MeasResult2,MeasResult3,MeasResult4,MeasResult5,MeasResult6
-3.18,601,100,100,9.91E+37,100
2613811875.14382,601,-30.97,-30.41,,-30.97
44.0230502098542,0,101.9373,101.9373,,-30.41
0.768347172932736,,-32.33,-31.23,,9.91E+37
53768.7883899713,,103.9122,103.9122,,1000
-30.41,,-29.89,-31.72,,-42.13
-112.4,,105.9254,105.9254,,-42.42
,,-30.15,-32.01,,9.91E+37
,,107.9775,107.9775,,10000
,,-31.21,-32.23,,-59.43
,,110.0694,110.0694,,-59.62
,,-30.61,-32.35,,9.91E+37
,,112.2018,112.2018,,100000
,,-35.38,-32.4,,-77.5
,,114.3756,114.3756,,-78.1
,,-36.41,-32.51,,9.91E+37
,,116.5914,116.5914,,1000000
,,-34.3,-32.54,,-104.08
,,118.8502,118.8502,,-111.55
,,-35.34,-32.7,,9.91E+37
,,121.1528,121.1528,,10000000
,,-34.09,-32.67,,-121.23
,,123.4999,123.4999,,-112.4
,,-34.1,-32.72,,9.91E+37
,,125.8925,125.8925,,
,,-31.6,-32.68,,
,,128.3315,128.3315,,
,,-31.91,-32.71,,
,,130.8177,130.8177,,
,,-32.48,-32.82,,
,,133.3521,133.3521,,
,,-31.38,-32.83,,
,,135.9356,135.9356,,
,,-29.7,-32.91,,
,,138.5692,138.5692,,
,,-34.44,-33,,
,,141.2538,141.2538,,
,,-35.32,-33.08,,
,,143.9903,143.9903,,
,,-31.02,-33.12,,
,,146.7799,146.7799,,
,,-36.3,-33.11,,
,,149.6236,149.6236,,
,,-30.46,-32.94,,
,,152.5223,152.5223,,
,,-33.26,-32.97,,
,,155.4772,155.4772,,
,,-29.9,-32.94,,
,,158.4893,158.4893,,
,,-33.11,-32.96,,
,,161.5598,161.5598,,
,,-32.29,-33.22,,
,,164.6898,164.6898,,
,,-30.45,-33.3,,
,,167.8804,167.8804,,
,,-33.11,-33.45,,
,,171.1328,171.1328,,
,,-32.59,-33.6,,
,,174.4483,174.4483,,
,,-37.33,-33.61,,
,,177.8279,177.8279,,
,,-37.21,-33.67,,
,,181.2731,181.2731,,
,,-34.1,-33.86,,
,,184.785,184.785,,
,,-31.39,-33.69,,
,,188.3649,188.3649,,
,,-34.78,-33.74,,
,,192.0142,192.0142,,
,,-33.58,-33.69,,
,,195.7342,195.7342,,
,,-31.95,-33.86,,
,,199.5262,199.5262,,
,,-37.84,-33.8,,
,,203.3918,203.3918,,
,,-34.4,-33.89,,
,,207.3322,207.3322,,
,,-34.78,-33.98,,
,,211.3489,211.3489,,
,,-33.27,-34.1,,
,,215.4435,215.4435,,
,,-34.55,-34.31,,
,,219.6174,219.6174,,
,,-36.86,-34.07,,
,,223.8721,223.8721,,
,,-35.36,-33.85,,
,,228.2093,228.2093,,
,,-32.31,-34.03,,
,,232.6305,232.6305,,
,,-31.56,-34.09,,
,,237.1374,237.1374,,
,,-32.12,-34.12,,
,,241.7315,241.7315,,
,,-33.9,-34.25,,
,,246.4147,246.4147,,
,,-31.59,-34.24,,
,,251.1886,251.1886,,
,,-34.48,-34.09,,
,,256.055,256.055,,
,,-32.56,-34,,
,,261.0157,261.0157,,
,,-35.76,-33.98,,
,,266.0725,266.0725,,
,,-37.5,-34.1,,
,,271.2273,271.2273,,
,,-31.77,-34.08,,
,,276.4819,276.4819,,
,,-32.07,-34.23,,
,,281.8383,281.8383,,
,,-38.29,-34.38,,
,,287.2985,287.2985,,
