Designator,Comment,Description,Footprint,Manufacturer,Manufacturer Part Number

"J1","142-0701-851","RF Connectors / Coaxial Connectors PC END MT JCK GLD .062 BOARDS TAB","142-0701-851","Johnson / Cinch Connectivity Solutions","142-0701-851"
"J10","142-0701-851","RF Connectors / Coaxial Connectors PC END MT JCK GLD .062 BOARDS TAB","142-0701-851","Johnson / Cinch Connectivity Solutions","142-0701-851"
"J11","142-0701-851","RF Connectors / Coaxial Connectors PC END MT JCK GLD .062 BOARDS TAB","142-0701-851","Johnson / Cinch Connectivity Solutions","142-0701-851"
"J12","142-0701-851","RF Connectors / Coaxial Connectors PC END MT JCK GLD .062 BOARDS TAB","142-0701-851","Johnson / Cinch Connectivity Solutions","142-0701-851"
"J13","142-0701-851","RF Connectors / Coaxial Connectors PC END MT JCK GLD .062 BOARDS TAB","142-0701-851","Johnson / Cinch Connectivity Solutions","142-0701-851"
"J2","142-0701-851","RF Connectors / Coaxial Connectors PC END MT JCK GLD .062 BOARDS TAB","142-0701-851","Johnson / Cinch Connectivity Solutions","142-0701-851"
"J4","142-0701-851","RF Connectors / Coaxial Connectors PC END MT JCK GLD .062 BOARDS TAB","142-0701-851","Johnson / Cinch Connectivity Solutions","142-0701-851"
"J5","142-0701-851","RF Connectors / Coaxial Connectors PC END MT JCK GLD .062 BOARDS TAB","142-0701-851","Johnson / Cinch Connectivity Solutions","142-0701-851"
"J7","142-0701-851","RF Connectors / Coaxial Connectors PC END MT JCK GLD .062 BOARDS TAB","142-0701-851","Johnson / Cinch Connectivity Solutions","142-0701-851"
"J8","142-0701-851","RF Connectors / Coaxial Connectors PC END MT JCK GLD .062 BOARDS TAB","142-0701-851","Johnson / Cinch Connectivity Solutions","142-0701-851"
"C1","220nF","CAP CER 0.22UF 16V X7R 0603","0603 Cap","TDK Corporation","C1608X7R1C224K080AC"
"C13","100nF","CAP CER 0.1UF 16V X7R 0603","0603 Cap","KEMET","C0603C104K4RACTU"
"C2","100pF","CAP CER 100PF 50V X7R 0603","0603 Cap","Samsung Electro-Mechanics America, Inc.","CL10B101KB8NNNC"
"C3","220pF","CAP CER 220PF 50V X7R 0603","0603 Cap","Samsung Electro-Mechanics America, Inc.","CL10B221KB8WPNC"
"C32","100nF","CAP CER 0.1UF 16V X7R 0603","0603 Cap","KEMET","C0603C104K4RACTU"
"C33","100nF","CAP CER 0.1UF 16V X7R 0603","0603 Cap","KEMET","C0603C104K4RACTU"
"C34","2.2 uF 10V","CAP CER 2.2UF 10V X7R 0603","0603 Cap","Samsung Electro-Mechanics America, Inc.","CL10B225KP8NNNC"
"C35","100nF","CAP CER 0.1UF 16V X7R 0603","0603 Cap","KEMET","C0603C104K4RACTU"
"C36","100nF","CAP CER 0.1UF 16V X7R 0603","0603 Cap","KEMET","C0603C104K4RACTU"
"C37","100nF","CAP CER 0.1UF 16V X7R 0603","0603 Cap","KEMET","C0603C104K4RACTU"
"C38","100nF","CAP CER 0.1UF 16V X7R 0603","0603 Cap","KEMET","C0603C104K4RACTU"
"C39","100nF","CAP CER 0.1UF 16V X7R 0603","0603 Cap","KEMET","C0603C104K4RACTU"
"C4","4.7uF","CAP TANT 4.7UF 10V 20% 0603","0603 Cap","AVX Corporation","F981A475MMA"
"C41","100nF","CAP CER 0.1UF 16V X7R 0603","0603 Cap","KEMET","C0603C104K4RACTU"
"C42","100nF","CAP CER 0.1UF 16V X7R 0603","0603 Cap","KEMET","C0603C104K4RACTU"
"C43","1uF","CAP CER 1UF 16V X7R 0603","0603 Cap","Samsung Electro-Mechanics America, Inc.","CL10B105MO8NNWC"
"C44","100nF","CAP CER 0.1UF 16V X7R 0603","0603 Cap","KEMET","C0603C104K4RACTU"
"C45","100nF","CAP CER 0.1UF 16V X7R 0603","0603 Cap","KEMET","C0603C104K4RACTU"
"C46","100nF","CAP CER 0.1UF 16V X7R 0603","0603 Cap","KEMET","C0603C104K4RACTU"
"C47","100nF","CAP CER 0.1UF 16V X7R 0603","0603 Cap","KEMET","C0603C104K4RACTU"
"C48","2.2 uF 10V","CAP CER 2.2UF 10V X7R 0603","0603 Cap","Samsung Electro-Mechanics America, Inc.","CL10B225KP8NNNC"
"C53","1uF","CAP CER 1UF 16V X7R 0603","0603 Cap","Samsung Electro-Mechanics America, Inc.","CL10B105MO8NNWC"
"C54","1uF","CAP CER 1UF 16V X7R 0603","0603 Cap","Samsung Electro-Mechanics America, Inc.","CL10B105MO8NNWC"
"C55","1uF","CAP CER 1UF 16V X7R 0603","0603 Cap","Samsung Electro-Mechanics America, Inc.","CL10B105MO8NNWC"
"C56","1uF","CAP CER 1UF 16V X7R 0603","0603 Cap","Samsung Electro-Mechanics America, Inc.","CL10B105MO8NNWC"
"C57","100nF","CAP CER 0.1UF 16V X7R 0603","0603 Cap","KEMET","C0603C104K4RACTU"
"C58","100nF","CAP CER 0.1UF 16V X7R 0603","0603 Cap","KEMET","C0603C104K4RACTU"
"C59","100nF","CAP CER 0.1UF 16V X7R 0603","0603 Cap","KEMET","C0603C104K4RACTU"
"C60","100nF","CAP CER 0.1UF 16V X7R 0603","0603 Cap","KEMET","C0603C104K4RACTU"
"C61","2.2 uF 10V","CAP CER 2.2UF 10V X7R 0603","0603 Cap","Samsung Electro-Mechanics America, Inc.","CL10B225KP8NNNC"
"C62","220pF","CAP CER 220PF 50V X7R 0603","0603 Cap","Samsung Electro-Mechanics America, Inc.","CL10B221KB8WPNC"
"C64","100nF","CAP CER 0.1UF 16V X7R 0603","0603 Cap","KEMET","C0603C104K4RACTU"
"C65","100pF","CAP CER 100PF 50V X7R 0603","0603 Cap","Samsung Electro-Mechanics America, Inc.","CL10B101KB8NNNC"
"C66","100nF","CAP CER 0.1UF 16V X7R 0603","0603 Cap","KEMET","C0603C104K4RACTU"
"C70","330nF","CAP CER 0.33UF 16V X7R 0603","0603 Cap","Yageo","CC0603KRX7R7BB334"
"C71","1uF","CAP CER 1UF 16V X7R 0603","0603 Cap","Samsung Electro-Mechanics America, Inc.","CL10B105MO8NNWC"
"C72","1uF","CAP CER 1UF 16V X7R 0603","0603 Cap","Samsung Electro-Mechanics America, Inc.","CL10B105MO8NNWC"
"C74","100nF","CAP CER 0.1UF 16V X7R 0603","0603 Cap","KEMET","C0603C104K4RACTU"
"C75","100nF","CAP CER 0.1UF 16V X7R 0603","0603 Cap","KEMET","C0603C104K4RACTU"
