Designator,Comment,Quantity,Description,Footprint,Manufacturer,Manufacturer Part Number

"J1, J2, J4, J5, J7, J8, J10, J11, J12, J13","142-0701-851","10","RF Connectors / Coaxial Connectors PC END MT JCK GLD .062 BOARDS TAB","142-0701-851","Johnson / Cinch Connectivity Solutions","142-0701-851"
"C1","220nF","1","CAP CER 0.22UF 16V X7R 0603","0603 Cap","TDK Corporation","C1608X7R1C224K080AC"
"C13, C32, C33, C35, C36, C37, C38, C39, C41, C42, C44, C45, C46, C47, C57, C58, C59, C60, C64, C66, C74, C75","100nF","22","CAP CER 0.1UF 16V X7R 0603","0603 Cap","KEMET","C0603C104K4RACTU"
"C2, C65","100pF","2","CAP CER 100PF 50V X7R 0603","0603 Cap","Samsung Electro-Mechanics America, Inc.","CL10B101KB8NNNC"
"C3, C8, C62","220pF","3","CAP CER 220PF 50V X7R 0603","0603 Cap","Samsung Electro-Mechanics America, Inc.","CL10B221KB8WPNC"
"C34, C48, C61","2.2 uF 10V","3","CAP CER 2.2UF 10V X7R 0603","0603 Cap","Samsung Electro-Mechanics America, Inc.","CL10B225KP8NNNC"
"C4","4.7uF","1","CAP TANT 4.7UF 10V 20% 0603","0603 Cap","AVX Corporation","F981A475MMA"
"C43, C53, C54, C55, C56, C71, C72","1uF","7","CAP CER 1UF 16V X7R 0603","0603 Cap","Samsung Electro-Mechanics America, Inc.","CL10B105MO8NNWC"
"C70","330nF","1","CAP CER 0.33UF 16V X7R 0603","0603 Cap","Yageo","CC0603KRX7R7BB334"
"D1","LED RED","1","LED RED CLEAR 0603 SMD","0603 LED","Lite-On Inc.","LTST-C191KRKT"
"D2","LED GREEN","1","LED GREEN CLEAR 0603 SMD","0603 LED","Lite-On Inc.","LTST-C191KGKT"
"R1","4.7K","1","RES SMD 4.7K OHM 1% 1/10W 0603","0603 Res","Yageo","RC0603FR-074K7L"
"R11, R12, R16, R30","10K","4","RES SMD 10K OHM 1% 1/10W 0603","0603 Res","Yageo","RC0603FR-0710KL"
"R13","220","1","RES SMD 220 OHM 1% 1/10W 0603","0603 Res","Yageo","RC0603FR-07220RL"
"R14","8.06K","1","RES SMD 8.06K OHM 1% 1/10W 0603","0603 Res","Yageo","RC0603FR-078K06L"
"R15","1K","1","RES SMD 1K OHM 1% 1/10W 0603","0603 Res","Yageo","RC0603FR-071KL"
"R2","1.58K","1","RES SMD 1.58K OHM 1% 1/10W 0603","0603 Res","Yageo","RC0603FR-071K58L"
"R23","2.94K","1","RES SMD 2.94K OHM 1% 1/10W 0603","0603 Res","Yageo","RC0603FR-072K94L"
"R24","22K","1","RES SMD 22K OHM 1% 1/10W 0603","0603 Res","Yageo","RC0603FR-0722KL"
"R29","22","1","RES SMD 22 OHM 1% 1/10W 0603","0603 Res","Yageo","RC0603FR-0722RL"
"C40","4.7uF 16V","1","CAP CER 4.7UF 16V X7R 0805","0805 CAP","Murata Electronics North America","GRM21BR71C475KE51L"
"FB2, FB3","30 ohm 100mhz","2","FERRITE BEAD 30 OHM 0805 1LN","0805 Ind","Bourns Inc.","MH2029-300Y"
"C11, C15","1.8pF 0402","2","CAP CER 1.8PF 50V C0G/NP0 0402","CAPC1005X05L","Murata Electronics North America","GRM1555C1H1R8CZ01D"
"C18, C19, C22, C23, C29, C73","100 pF","6","CAP CER 100PF 50V NP0 0402, CAP CER 100PF 50V NP0 0402, CAP CER 100PF 50V NP0 0402, CAP CER 100PF 50V NP0 0402, CAP CER 100PF 50V NP0 0402, CAP CER 100PF 50V 5% NP0 0402","CAPC1005X05L","Murata Electronics North America, Murata Electronics North America, Murata Electronics North America, Murata Electronics North America, Murata Electronics North America, Samsung Electro-Mechanics America, Inc","GRM1555C1H101GA01D, GRM1555C1H101GA01D, GRM1555C1H101GA01D, GRM1555C1H101GA01D, GRM1555C1H101GA01D, CL05C101JB5NNNC"
"C21, C24, C30","0.1 uF","3","CAP CER 0.1UF 16V 10% X7R 0402","CAPC1005X05L","Samsung Electro-Mechanics America, Inc","CL05B104KO5NNNC"
"C28","10pF","1","CAP CER 10PF 50V C0G/NP0 0402","CAPC1005X05L","Murata Electronics North America","GRM1555C1H100JA01D"
"C31","0.5pF","1","CAP CER 0.5PF 50V C0G/NP0 0402","CAPC1005X05L","Murata Electronics North America","GJM1555C1HR50BB01D"
"C63","1000pF","1","CAP CER 1000PF 50V C0G/NP0 0402","CAPC1005X05L","Murata Electronics North America","GRM1555C1H102JA01D"
"C67","10 pF","1","CAP CER 10PF 50V 5% NP0 0402","CAPC1005X05L","Samsung Electro-Mechanics America, Inc","CL05C100JB5NNNC"
"C9, C10, C27","1pF 0402","3","CAP CER 1PF 50V C0G/NP0 0402","CAPC1005X05L","",""
"C17, C20, C50, C52","4.7 uF","4","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 4.7uF 16volts X5R + - 10%","CAPC1608X10L","Murata Electronics","GRM188R61C475KAAJD"
"C68, C69","10 uF","2","CAP CER 10UF 16V 20% X5R 0603","CAPC1608X10L","Murata Electronics North America","GRM188R61C106MA73D"
"C12","10uF","1","CAP TANT 10UF 6.3V 20% 1206","CAPC3216X09L","AVX Corporation","TAJA106M006RNJ"
"C49, C51","10 nF","2","CAP CER 10000PF 25V X7R 0402","Chip2PinSM127P600-8N_CAP0402","Samsung Electro-Mechanics America, Inc.","CL05B103KA5NNNC"
"U15","DSC6101CI2A-024.0000","1","ULTRA-LOW POWER,MEMS OSCILLATOR,","DFN 3.2x2.5","Microchip Technology","DSC6101CI2A-024.0000"
"U9","DSC6111CI1A-016.0000","1","ULTRA-LOW POWER,MEMS OSCILLATOR,","DFN 3.2x2.5","Microchip Technology","DSC6111CI1A-016.0000"
"U4","CP0302A5425ENTR","1","WIFI COUPLER 0302","DFN60P65X25-4N","AVX Corporation","CP0302A5425ENTR"
"D4","150141M173100","1","LED RGB CLEAR 1411 SMD","DFN270P320X210-4N","Wurth Electronics Inc.","150141M173100"
"CN-1, J6","Header-1x3","2","","Header-1x3-Jumper","",""
"CN-GND","Header-1x2","1","","HEADER-1x2-Jumper","",""
"J3","Header-1x4","1","","HEADER-1X4","",""
"STLINK","Header-1x6","1","","Header-1x6","",""
"L12","0.67nH","1","COILCRAFT - 0302CS-N67XKLU - INDUCTOR, RF, 0.67NH, 10%,26GHZ, SMD","INDC0905X05N-0302CS","COILCRAFT","0302CS-N67XKLU"
"L7","2.1nH","1","COILCRAFT - 0302CS-2N1XJLU - INDUCTOR, RF, 2.1NH,5%,15.94GHZ, SMD","INDC0905X05N-0302CS","COILCRAFT","0302CS-2N1XJLU"
"L10","3nH","1","FIXED IND 3NH 190MA 400 MOHM SMD","INDC1005X06L","Murata Electronics North America","LQP15MN3N0B02D"
"L11","6.8nH","1","FIXED IND 6.8NH 600MA 240 MOHM","INDC1005X06L","Murata Electronics North America","LQG15HS6N8J02D"
"L5","2.2nH","1","FIXED IND 2.2NH 1A 27 MOHM SMD","INDC1005X06L","Murata Electronics North America","LQW15AN2N2C10D"
"L8, L9","1.5nH","2","FIXED IND 1.5NH 280MA 200 MOHM","INDC1005X06L","Murata Electronics North America","LQP15MN1N5B02D"
"FB1, FB4","120 ohm","2","FERRITE BEAD 120 OHM 0603 1LN","INDC1608X08L","Murata Electronics North America","BLM18PG121SN1D"
"L6","18nH","1","COILCRAFT - 0603CS-18NXJLU - INDUCTOR, RF, 18NH, 5%, 3.1GHZ, SMD","INDC1811X10L 0603CS","",""
"U8","STM32F205VET6","1","IC MCU 32BIT 512KB FLASH 100LQFP","LQFP-100","STMicroelectronics","STM32F205VET6"
"U1","OPA2354AIDGKR","1","IC OPAMP VFB 100MHZ RRO 8VSSOP","MSOP-8","Texas Instruments","OPA2354AIDGKR"
"RST1","PushButton","1","","PushButton","",""
"U3","SKY65006-348LF","1","PA: Linear, high-gain two-stage power  amplifier with integrated output power detector and second  harmonic (F2) filter","QFN50P300X300X100_HS-17N","Broadcom Limited","MGA-13216-BLKG"
"U6","QPL9065","1","","QFN50P350X350X86_HS-17N-qorvo","COILCRAFT","772-QPL9065TR13"
"U12","USB3320C-EZK-TR","1","IC TXRX USB 2.0 FLEXPWR 32QFN","QFN127P600-8N","Microchip Technology","USB3320C-EZK-TR"
"C14","4.7pF 0402","1","CAP CER 4.7PF 50V C0G/NP0 0402","RESC1005X04L","Murata Electronics North America","GRM1555C1H4R7CA01D"
"C5, C6","10000pF 0402","2","CAP CER 10000PF 25V X7R 0402","RESC1005X04L","Murata Electronics North America","GRM155R71E103KA01J"
"C7, C16","5.6pF","2","AVX - 04025A5R6CAT2A - COND, MLCC, C0G/NP0, 5.6PF, 50V, 0402","RESC1005X04L","AVX","04025A5R6CAT2A"
"L1, L2","22nH","2","FIXED IND 22NH 200MA 700 MOHM","RESC1005X04L","",""
"L3, L4","2.2nH","2","FIXED IND 2.2NH 500MA 180 MOHM","RESC1005X04L","TDK Corporation","MLK1005S2N2ST000"
"R21","5.1","1","RES SMD 5.1 OHM 1% 1/16W 0402","RESC1005X04L","Samsung Electro-Mechanics America, Inc.","RC1005F5R1CS"
"R22","39K","1","RES SMD 39K OHM 1% 1/16W 0402","RESC1005X04L","Yageo","RC0402FR-0739KL"
"R26, R28, R31","100","3","RES 100 OHM 1/16W 1% 0402 SMD","RESC1005X04L","Rohm Semiconductor","MCR01MRTF1000"
"R27","220","1","RES SMD 220 OHM 1% 1/16W 0402","RESC1005X04L","Yageo","RC0402FR-07220RL"
"R3","240","1","RES SMD 240 OHM 5% 1/10W 0402","RESC1005X04L","Panasonic Electronic Components","ERJ-2GEJ241X"
"R4","49.9","1","RES 49.9 OHM 1/16W 1% 0402 SMD","RESC1005X04L","Rohm Semiconductor","MCR01MRTF49R9"
"R5","180","1","RES SMD 180 OHM 5% 1/10W 0402","RESC1005X04L","",""
"R6","51K","1","RES SMD 51K OHM 5% 1/10W 0402","RESC1005X04L","Panasonic Electronic Components","ERJ-2GEJ513X"
"R7, R8, R9, R10, R17, R18, R19, R25, R32, R33","0","10","RES 0.0 OHM 1/16W JUMP 0402","RESC1005X04L","Samsung Electro-Mechanics America, Inc","RC1005J000CS"
"D3","BAT60JFILM","1","DIODE SCHOTTKY 10V 3A SOD323","SODFL250X117-2N","STMicroelectronics","BAT60JFILM"
"U14","MIC5353-3.0YMT-TR","1","IC REG LINEAR 3V 500MA 6TMLF","SON50P160X55_HS-7N","Microchip Technology","MIC5353-3.0YMT-TR"
"U7","ADL5350ACPZ-R7","1","IC MIXER 750MHZ-4GHZ 8LFCSP","SON50P200X80_HS-9N","Analog Devices Inc.","ADL5350ACPZ-R7"
"U10","ADM7171ACPZ-3.3-R7","1","IC REG LDO 3.3V 1A 8-LFCSP","SON50P300X80_HS-9N LFCSP_WD Analog","Analog Devices Inc.","ADM7171ACPZ-3.3-R7"
"U11","TLV73318PDBVT","1","IC REG LINEAR 1.8V 300MA SOT23-5","SOT95P280X145-5N","Texas Instruments","TLV73318PDBVT"
"U13","LD6836TD/16H","1","NEXPERIA - LD6836TD/16H - LDO, 5,5V, 0.09VDO, 0,3A, 1,6V, 5SOT753","SOT-753","NEXPERIA","LD6836TD/16H"
"TP1, TP2","1625854-4","2","1206 PROBE PAD","TESTPOINT 1206","TE Connectivity AMP Connectors","1625854-4"
"USB_DATA, USB_POWER","USB micro B","2","","USB-MicroB","",""
"U5","MAX2750EUA+","1","IC OSC VOLT CNTRL 8-UMAX","uSOP-8 uMAX","Maxim Integrated","MAX2750EUA+"
"U2","MAX5388LAUB+","1","IC DGTL POT 256POS 10K 10UMAX","uSOP-10 uMAX","Maxim Integrated","MAX5388LAUB+"
