Trace
Swept SA
A.16.09,N9010A
544 B25 B40 EXM FS1 MPB P44 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.001666666667
Start Frequency,1000000000
Stop Frequency,3500000000
Average Count,100
Average Type,LogPower(Video)
RBW,8000000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,50000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,DC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,40
Ref Level Offset,0
External Gain,0
Trace Type,Maxhold
Detector,Peak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
1000000000,-34.2112197875977
1002500000,-33.9545211791992
1005000000,-33.9932670593262
1007500000,-34.1503372192383
1010000000,-33.3071594238281
1012500000,-34.2021064758301
1015000000,-34.5787963867188
1017500000,-34.6624984741211
1020000000,-33.414981842041
1022500000,-34.3481483459473
1025000000,-34.4017143249512
1027500000,-34.0709533691406
1030000000,-34.0953369140625
1032500000,-34.0881156921387
1035000000,-34.3682556152344
1037500000,-33.782527923584
1040000000,-31.357479095459
1042500000,-34.6560020446777
1045000000,-34.371711730957
1047500000,-33.3126907348633
1050000000,-34.4439964294434
1052500000,-33.8245735168457
1055000000,-34.6452102661133
1057500000,-34.6874198913574
1060000000,-34.2124366760254
1062500000,-33.9570960998535
1065000000,-34.4571800231934
1067500000,-34.2460327148438
1070000000,-34.6536064147949
1072500000,-34.3328552246094
1075000000,-34.5654258728027
1077500000,-33.611988067627
1080000000,-34.3689804077148
1082500000,-33.956298828125
1085000000,-34.2159996032715
1087500000,-33.6290512084961
1090000000,-33.5690536499023
1092500000,-33.3679466247559
1095000000,-34.2809295654297
1097500000,-34.1687507629395
1100000000,-32.8042449951172
1102500000,-34.5875396728516
1105000000,-34.6384468078613
1107500000,-33.2392883300781
1110000000,-33.9282646179199
1112500000,-34.2828483581543
1115000000,-34.1685409545898
1117500000,-34.2063674926758
1120000000,-34.1324195861816
1122500000,-34.5083160400391
1125000000,-33.8534698486328
1127500000,-34.4715843200684
1130000000,-34.1666717529297
1132500000,-33.8381309509277
1135000000,-33.6052398681641
1137500000,-34.2248229980469
1140000000,-34.2990303039551
1142500000,-34.2733879089355
1145000000,-34.4240798950195
1147500000,-34.3483657836914
1150000000,-34.4784812927246
1152500000,-33.720100402832
1155000000,-34.1684417724609
1157500000,-34.1383399963379
1160000000,-34.4877967834473
1162500000,-34.4311027526855
1165000000,-34.4706878662109
1167500000,-33.7120971679688
1170000000,-34.0610885620117
1172500000,-34.1190757751465
1175000000,-34.3298721313477
1177500000,-32.8657760620117
1180000000,-34.043041229248
1182500000,-32.2496948242188
1185000000,-33.4423942565918
1187500000,-33.7362670898438
1190000000,-33.8809700012207
1192500000,-33.8125152587891
1195000000,-34.0203819274902
1197500000,-34.2958831787109
1200000000,-33.1088714599609
1202500000,-32.9389991760254
1205000000,-33.5911064147949
1207500000,-34.1318511962891
1210000000,-33.5760765075684
1212500000,-33.3025054931641
1215000000,-33.5757255554199
1217500000,-34.2781562805176
1220000000,-32.2657279968262
1222500000,-33.7971649169922
1225000000,-33.4633331298828
1227500000,-33.6718826293945
1230000000,-33.3894996643066
1232500000,-34.123291015625
1235000000,-33.5345497131348
1237500000,-33.4455642700195
1240000000,-32.3247375488281
