Trace
Swept SA
A.16.09,N9010A
544 B25 B40 EXM FS1 MPB P44 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.001666666667
Start Frequency,1000000000
Stop Frequency,3500000000
Average Count,100
Average Type,LogPower(Video)
RBW,8000000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,50000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,DC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,40
Ref Level Offset,0
External Gain,0
Trace Type,Maxhold
Detector,Peak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
1000000000,-33.8018836975098
1002500000,-33.777416229248
1005000000,-33.9418258666992
1007500000,-34.2929153442383
1010000000,-33.9083290100098
1012500000,-34.0881729125977
1015000000,-34.0181427001953
1017500000,-34.4478645324707
1020000000,-33.1938514709473
1022500000,-33.4640922546387
1025000000,-34.1348762512207
1027500000,-33.671085357666
1030000000,-34.6148681640625
1032500000,-34.3401222229004
1035000000,-33.3943786621094
1037500000,-33.3276214599609
1040000000,-34.3294639587402
1042500000,-33.8423233032227
1045000000,-34.0210342407227
1047500000,-34.5760307312012
1050000000,-34.8297080993652
1052500000,-34.9128761291504
1055000000,-34.9853401184082
1057500000,-34.100154876709
1060000000,-33.6382904052734
1062500000,-34.7815284729004
1065000000,-34.2491111755371
1067500000,-33.9842109680176
1070000000,-33.6031913757324
1072500000,-34.3304557800293
1075000000,-34.4675636291504
1077500000,-34.4238777160645
1080000000,-34.487907409668
1082500000,-34.6417655944824
1085000000,-34.1283073425293
1087500000,-33.7236137390137
1090000000,-34.387523651123
1092500000,-34.2510833740234
1095000000,-33.7883338928223
1097500000,-35.2040786743164
1100000000,-34.1666107177734
1102500000,-34.7143974304199
1105000000,-34.2861862182617
1107500000,-34.7830848693848
1110000000,-34.3277587890625
1112500000,-34.3957099914551
1115000000,-33.9469985961914
1117500000,-33.801082611084
1120000000,-34.2298851013184
1122500000,-34.2794609069824
1125000000,-33.882568359375
1127500000,-34.0854339599609
1130000000,-34.9137306213379
1132500000,-34.2890586853027
1135000000,-34.6220054626465
1137500000,-33.6813087463379
1140000000,-33.7320442199707
1142500000,-33.4182472229004
1145000000,-33.7952919006348
1147500000,-32.664981842041
1150000000,-33.141242980957
1152500000,-33.0934944152832
1155000000,-34.039379119873
1157500000,-33.3970680236816
1160000000,-34.713695526123
1162500000,-34.3666954040527
1165000000,-34.4628601074219
1167500000,-33.7300186157227
1170000000,-34.2847862243652
1172500000,-33.6313133239746
1175000000,-33.1748085021973
1177500000,-34.2469711303711
1180000000,-34.3137397766113
1182500000,-33.9454231262207
1185000000,-34.2650108337402
1187500000,-34.228889465332
1190000000,-34.1383819580078
1192500000,-34.1478233337402
1195000000,-33.9617729187012
1197500000,-33.5728797912598
1200000000,-32.2734031677246
1202500000,-33.4095039367676
1205000000,-33.9763641357422
1207500000,-34.1819648742676
1210000000,-34.3971214294434
1212500000,-34.2609786987305
1215000000,-33.3472747802734
1217500000,-34.2393074035645
1220000000,-33.0779266357422
1222500000,-33.9751052856445
1225000000,-34.7128028869629
1227500000,-34.2216873168945
1230000000,-34.112735748291
1232500000,-33.0055084228516
1235000000,-33.5544395446777
1237500000,-34.2599143981934
1240000000,-34.3046798706055
1242500000,-33.9349403381348
