Trace
Swept SA
A.16.09,N9010A
544 B25 B40 EXM FS1 MPB P44 RTL ,01
Segment,0
Number of Points,10000
Sweep Time,0.0093324
Start Frequency,0
Stop Frequency,100000
Average Count,50
Average Type,LogPower(Video)
RBW,470
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,4700
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,DC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,20
Ref Level Offset,0
External Gain,0
Trace Type,Maxhold
Detector,Peak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
0,-2.00865125656128
10.00100010001,-2.05778622627258
20.00200020002,-2.11372828483582
30.00300030003,-2.17783904075623
40.00400040004,-2.24875688552856
50.00500050005,-2.32648205757141
60.00600060006,-2.41373705863953
70.00700070007,-2.50643801689148
80.00800080008,-2.60730743408203
90.00900090009,-2.71634531021118
100.0100010001,-2.83219051361084
110.01100110011,-2.85818123817444
120.01200120012,-2.79840135574341
130.01300130013,-2.7481517791748
140.01400140014,-2.71015501022339
150.01500150015,-2.68304967880249
160.01600160016,-2.66139006614685
170.01700170017,-2.64653754234314
180.01800180018,-2.63713097572327
190.01900190019,-2.63453149795532
200.0200020002,-2.63465476036072
210.02100210021,-2.63750100135803
220.02200220022,-2.64715433120728
230.02300230023,-2.66225337982178
240.02400240024,-2.68415975570679
250.02500250025,-2.71151185035706
260.02600260026,-2.744309425354
270.02700270027,-2.78391432762146
280.02800280028,-2.83032655715942
290.02900290029,-2.88218426704407
300.0300030003,-2.93948793411255
310.03100310031,-3.00359869003296
320.03200320032,-3.07315516471863
330.03300330033,-3.14951872825623
340.03400340034,-3.23132801055908
350.03500350035,-3.31858325004578
360.03600360036,-3.41264533996582
370.03700370037,-3.51079201698303
380.03800380038,-3.61574578285217
390.03900390039,-3.7247838973999
400.0400040004,-3.84062910079956
410.04100410041,-3.96192002296448
420.04200420042,-4.0872950553894
430.04300430043,-4.21947765350342
440.04400440044,-4.35574436187744
450.04500450045,-4.49881839752197
460.04600460046,-4.64733791351318
470.04700470047,-4.7999415397644
480.04800480048,-4.95935297012329
490.04900490049,-5.1242094039917
500.0500050005,-5.29315090179443
510.05100510051,-5.46889877319336
520.05200520052,-5.52756404876709
530.05300530053,-5.52088022232056
540.05400540054,-5.51419639587402
550.05500550055,-5.50751256942749
560.05600560056,-5.50219011306763
570.05700570057,-5.49686765670776
580.05800580058,-5.4915452003479
590.05900590059,-5.48758459091187
600.0600060006,-5.48362350463867
610.06100610061,-5.48238515853882
620.06200620062,-5.48387002944946
630.06300630063,-5.49352359771729
640.06400640064,-5.50998401641846
650.06500650065,-5.53597450256348
660.06600660066,-5.57013368606567
670.06700670067,-5.61382293701172
680.06800680068,-5.66568088531494
690.06900690069,-5.72570753097534
700.0700070007,-5.79390239715576
710.07100710071,-5.87162733078003
720.07200720072,-5.95752096176147
730.07300730073,-5.97534322738647
740.07400740074,-5.95912933349609
750.07500750075,-5.9551682472229
760.07600760076,-5.93350887298584
770.07700770077,-5.82063293457031
780.07800780078,-5.72273302078247
790.07900790079,-5.63572454452515
800.0800080008,-5.56096935272217
810.08100810081,-5.49710512161255
820.08200820082,-5.44549417495728
830.08300830083,-5.40477418899536
840.08400840084,-5.37494611740112
850.08500850085,-5.35737085342407
