Trace
Swept SA
A.16.09,N9010A
544 B25 B40 EXM FS1 MPB P44 RTL ,01
Segment,0
Number of Points,10000
Sweep Time,0.0026664
Start Frequency,0
Stop Frequency,1000000
Average Count,100
Average Type,LogPower(Video)
RBW,3000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,30000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,DC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,30
Ref Level Offset,0
External Gain,0
Trace Type,Maxhold
Detector,Peak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
0,6.54370784759521
100.0100010001,6.54332780838013
200.0200020002,6.52929544448853
300.0300030003,6.4922251701355
400.0400040004,6.43297004699707
500.0500050005,6.35067653656006
600.0600060006,6.24278593063354
700.0700070007,6.11185693740845
800.0800080008,5.95618343353271
900.0900090009,5.77661895751953
1000.100010001,5.64910268783569
1100.1100110011,5.53438568115234
1200.1200120012,5.39577770233154
1300.1300130013,5.23498439788818
1400.1400140014,5.055419921875
1500.1500150015,4.85793685913086
1600.1600160016,4.64424180984497
1700.1700170017,4.41348123550415
1800.1800180018,4.16565561294556
1900.1900190019,3.90161848068237
2000.200020002,3.62051582336426
2100.2100210021,3.32234787940979
2200.2200220022,3.01394104957581
2300.2300230023,2.70382761955261
2400.2400240024,2.38603472709656
2500.2500250025,2.06226921081543
2600.2600260026,1.73167753219604
2700.2700270027,1.3951131105423
2800.2800280028,1.05172252655029
2900.2900290029,0.701505899429321
3000.300030003,0.345316410064697
3100.3100310031,-0.0176991242915392
3200.3200320032,-0.386687487363815
3300.3300330033,-0.762501895427704
3400.3400340034,-1.142582654953
3500.3500350035,-1.52607643604279
3600.3600360036,-1.91127669811249
3700.3700370037,-2.29989004135132
3800.3800380038,-2.69106316566467
3900.3900390039,-3.08479595184326
4000.400040004,-3.48108863830566
4100.4100410041,-3.87994122505188
4200.4200420042,-4.28220653533936
4300.4300430043,-4.53771162033081
4400.4400440044,-4.53297185897827
4500.4500450045,-4.53420543670654
4600.4600460046,-4.54055833816528
4700.4700470047,-4.55629730224609
4800.4800480048,-4.47476482391357
4900.4900490049,-4.27121591567993
5000.500050005,-4.10179758071899
5100.5100510051,-3.96736264228821
5200.5200520052,-3.86620473861694
5300.5300530053,-3.80088400840759
5400.5400540054,-3.76884031295776
5500.5500550055,-3.76324772834778
5600.5600560056,-3.76533436775208
5700.5700570057,-3.77766036987305
5800.5800580058,-3.80534482002258
5900.5900590059,-3.84838795661926
6000.600060006,-3.90678977966309
6100.6100610061,-3.98055028915405
6200.6200620062,-4.06966972351074
6300.6300630063,-4.174147605896
6400.6400640064,-4.29398393630981
6500.6500650065,-4.42832612991333
6600.6600660066,-4.57802677154541
6700.6700670067,-4.55451536178589
6800.6800680068,-4.45677089691162
6900.6900690069,-4.37865114212036
7000.700070007,-4.32186317443848
7100.7100710071,-4.28384637832642
7200.7200720072,-4.26716136932373
7300.7300730073,-4.26583528518677
7400.7400740074,-4.27304124832153
7500.7500750075,-4.29731273651123
7600.7600760076,-4.19956827163696
7700.7700770077,-4.11035633087158
7800.7800780078,-4.03479623794556
7900.7900790079,-3.97288846969604
8000.800080008,-3.92377972602844
8100.8100810081,-3.88746976852417
8200.8200820082,-3.86310529708862
