freq	db(AC.Vout1/(AC.VinPos-AC.VinNeg))
1.00000000000000000E-1	1.38145478724194870E-3
1.02329299228081516E-1	1.38145478724580562E-3
1.04712854805102440E-1	1.38145477186337162E-3
1.07151930523779826E-1	1.38145478725159032E-3
1.09647819614344666E-1	1.38145477187108501E-3
1.12201845430229796E-1	1.38145475649057969E-3
1.14815362149729361E-1	1.38145477188072685E-3
1.17489755494002002E-1	1.38145478726894555E-3
1.20226443461798649E-1	1.38145475650407801E-3
1.23026877081304198E-1	1.38145478727858695E-3
1.25892541179491801E-1	1.38145475651564809E-3
1.28824955169397892E-1	1.38145478728822879E-3
1.31825673855735048E-1	1.38145480267644771E-3
1.34896288259269936E-1	1.38145480268223286E-3
1.38038426460403740E-1	1.38145480268801779E-3
1.41253754462401782E-1	1.38145480269573095E-3
1.44543977074730678E-1	1.38145481808587833E-3
1.47910838816970713E-1	1.38145475655807193E-3
1.51356124843783313E-1	1.38145478733450955E-3
1.54881661891423628E-1	1.38145477195786048E-3
1.58489319246300386E-1	1.38145480273236965E-3
1.62181009736096104E-1	1.38145475658892569E-3
1.65958690743973825E-1	1.38145478736729155E-3
1.69824365246407405E-1	1.38145475660628048E-3
1.73780082875186315E-1	1.38145475661592254E-3
1.77827941004157442E-1	1.38145477200992639E-3
1.81970085861280517E-1	1.38145478740585825E-3
1.86208713666586601E-1	1.38145475664677586E-3
1.90546071796642913E-1	1.38145480280950350E-3
1.94984459976141755E-1	1.38145478744056849E-3
1.99526231497244932E-1	1.38145481821893434E-3
2.04173794467330438E-1	1.38145478746563710E-3
2.08929613085802668E-1	1.38145478748106365E-3
2.13796208950643996E-1	1.38145477211020018E-3
2.18776162395398899E-1	1.38145477212562717E-3
2.23872113857301303E-1	1.38145475675861995E-3
2.29086765277269189E-1	1.38145477215840917E-3
2.34422881532509519E-1	1.38145477217769241E-3
2.39883291902492735E-1	1.38145477219504742E-3
2.45470891569074023E-1	1.38145480298112688E-3
2.51188643151557267E-1	1.38145477223554303E-3
2.57039578277514913E-1	1.38145480302355050E-3
2.63026799190197025E-1	1.38145478766232843E-3
2.69153480393381761E-1	1.38145478768546859E-3
2.75422870334539338E-1	1.38145478771053742E-3
2.81838293127201700E-1	1.38145480311803959E-3
2.88403150313451739E-1	1.38145478776260267E-3
2.95120922667465768E-1	1.38145477240523729E-3
3.01995172041066073E-1	1.38145474166543858E-3
3.09029543252262062E-1	1.38145478784937836E-3
3.16227766017780842E-1	1.38145480326459369E-3
3.23593656930612417E-1	1.38145478791494214E-3
3.31131121483617941E-1	1.38145477256529037E-3
3.38844156140273522E-1	1.38145475721756705E-3
3.46736850453648238E-1	1.38145474186984352E-3
3.54813389234739196E-1	1.38145480344585847E-3
3.63078054771313852E-1	1.38145478810584832E-3
3.71535229098435460E-1	1.38145474199711460E-3
3.80189396321876227E-1	1.38145480357698647E-3
3.89045144995649483E-1	1.38145478824276147E-3
3.98107170554921730E-1	1.38145477291046448E-3
4.07380277805594648E-1	1.38145478834689217E-3
4.16869383471876720E-1	1.38145478840281410E-3
4.26579518803195246E-1	1.38145471154271116E-3
4.36515832241831969E-1	1.38145477313993803E-3
4.46683592152694509E-1	1.38145477320164556E-3
4.57088189616673990E-1	1.38145475788477556E-3
4.67735141289066991E-1	1.38145474256983425E-3
4.78630092324579248E-1	1.38145478879812567E-3
4.89778819370461527E-1	1.38145478887525952E-3
5.01187233629364481E-1	1.38145480433868384E-3
5.12861383993536357E-1	1.38145477365287883E-3
5.24807460252025937E-1	1.38145478912594477E-3
5.37031796372590620E-1	1.38145478922043363E-3
5.49540873860049572E-1	1.38145482008364717E-3
5.62341325192864172E-1	1.38145478941519717E-3
5.75439937339764995E-1	1.38145477413689433E-3
5.88843655358292839E-1	1.38145480501553397E-3
6.02559586077160514E-1	1.38145480513316321E-3
6.16595001864387005E-1	1.38145482063708291E-3
6.30957344483203375E-1	1.38145477461512467E-3
6.45654229037774208E-1	1.38145477474818068E-3
6.60693448010826767E-1	1.38145477488702140E-3
6.76082975395328134E-1	1.38145479041793795E-3
6.91830970922402066E-1	1.38145480595463965E-3
7.07945784387726462E-1	1.38145482149712606E-3
7.24435960078705499E-1	1.38145479089809675E-3
7.41310241304763640E-1	1.38145479107164815E-3
7.58577575033164742E-1	1.38145477587240717E-3
7.76247116632811629E-1	1.38145482221640004E-3
7.94328234728544746E-1	1.38145479165208118E-3
8.12830516168510364E-1	1.38145480724663328E-3
8.31763771107234362E-1	1.38145482285082677E-3
8.51138038207096947E-1	1.38145479231543278E-3
8.70963589960962992E-1	1.38145479256033288E-3
8.91250938138794702E-1	1.38145483896603238E-3
9.12010839361130898E-1	1.38145479307905883E-3
9.33254300802389380E-1	1.38145480874688786E-3
9.54992586027017154E-1	1.38145479365177848E-3
9.77237220961580100E-1	1.38145482472132453E-3
1.00000000000596345E0	1.38145480965899647E-3
1.02329299228691761E0	1.38145479461209564E-3
1.04712854805726896E0	1.38145479496112644E-3
1.07151930524418804E0	1.38145481071380294E-3
1.09647819614998543E0	1.38145481109947266E-3
1.12201845430898928E0	1.38145478073570205E-3
1.14815362150414080E0	1.38145479653851488E-3
1.17489755494702663E0	1.38145482774690298E-3
1.20226443462515631E0	1.38145481282727300E-3
1.23026877082037878E0	1.38145479792499781E-3
1.25892541180242579E0	1.38145481381651525E-3
1.28824955170166167E0	1.38145482973117328E-3
1.31825673856521197E0	1.38145478413345124E-3
1.34896288260074404E0	1.38145476933530720E-3
1.38038426461226926E0	1.38145475455837508E-3
1.41253754463244152E0	1.38145477058294852E-3
1.44543977075592656E0	1.38145483278374859E-3
1.47910838817852763E0	1.38145478733450955E-3
1.51356124844685902E0	1.38145478806535316E-3
1.54881661892347267E0	1.38145478883283612E-3
1.58489319247245541E0	1.38145482040375267E-3
1.62181009737063286E0	1.38145477509335479E-3
1.65958690744963500E0	1.38145477597653832E-3
1.69824365247420128E0	1.38145477689828877E-3
1.73780082876222619E0	1.38145479324875353E-3
1.77827941005217882E0	1.38145479425920747E-3
1.81970085862365671E0	1.38145479531979953E-3
1.86208713667697023E0	1.38145479642667102E-3
1.90546071797779204E0	1.38145478220510309E-3
1.94984459977304536E0	1.38145479880239619E-3
1.99526231498434803E0	1.38145483084383014E-3
2.04173794468547998E0	1.38145480140952293E-3
2.08929613087048649E0	1.38145477204077971E-3
2.13796208951918976E0	1.38145478888490159E-3
2.18776162396703588E0	1.38145483656716750E-3
2.23872113858636368E0	1.38145479201846721E-3
2.29086765278635340E0	1.38145479369805835E-3
2.34422881533907512E0	1.38145481083721755E-3
2.39883291903923279E0	1.38145482806315201E-3
2.45470891570537875E0	1.38145479922663261E-3
2.51188643153055224E0	1.38145480123982844E-3
2.57039578279047776E0	1.38145481873958831E-3
2.63026799191765637E0	1.38145479018267947E-3
2.69153480394986966E0	1.38145479249862602E-3
2.75422870336181935E0	1.38145477954205420E-3
2.81838293128882578E0	1.38145476670118339E-3
2.88403150315171741E0	1.38145481551346205E-3
2.95120922669225827E0	1.38145478753120043E-3
3.01995172042867166E0	1.38145477506057301E-3
3.09029543254105121E0	1.38145477811700501E-3
3.16227766019666845E0	1.38145482746729220E-3
3.23593656932542384E0	1.38145483081683307E-3
3.31131121485592850E0	1.38145480355577455E-3
3.38844156142294439E0	1.38145477646055381E-3
3.46736850455716228E0	1.38145484184312806E-3
3.54813389236855370E0	1.38145483048322881E-3
3.63078054773479320E0	1.38145478854744019E-3
3.71535229100651376E0	1.38145482373208184E-3
3.80189396324143747E0	1.38145482835433242E-3
3.89045144997969805E0	1.38145481781205315E-3
3.98107170557296142E0	1.38145479211102784E-3
