freq	db(AC.Vout1/(AC.VinPos-AC.VinNeg))
1.00000000000000000E-1	1.38184813396346540E-3
1.02329299228081516E-1	1.38184808777374268E-3
1.04712854805102440E-1	1.38184810317738749E-3
1.07151930523779826E-1	1.38184810318317219E-3
1.09647819614344666E-1	1.38184808779109747E-3
1.12201845430229796E-1	1.38184810319667117E-3
1.14815362149729361E-1	1.38184808780459623E-3
1.17489755494002002E-1	1.38184807241444996E-3
1.20226443461798649E-1	1.38184810321788243E-3
1.23026877081304198E-1	1.38184810322559626E-3
1.25892541179491801E-1	1.38184811863502599E-3
1.28824955169397892E-1	1.38184808784509139E-3
1.31825673855735048E-1	1.38184808785473345E-3
1.34896288259269936E-1	1.38184811866202306E-3
1.38038426460403740E-1	1.38184811867359314E-3
1.41253754462401782E-1	1.38184808788558677E-3
1.44543977074730678E-1	1.38184810329501628E-3
1.47910838816970713E-1	1.38184808790872693E-3
1.51356124843783313E-1	1.38184807252243713E-3
1.54881661891423628E-1	1.38184811873144331E-3
1.58489319246300386E-1	1.38184811874494207E-3
1.62181009736096104E-1	1.38184813415437135E-3
1.65958690743973825E-1	1.38184814956765822E-3
1.69824365246407405E-1	1.38184811878736524E-3
1.73780082875186315E-1	1.38184811880472069E-3
1.77827941004157442E-1	1.38184813421800712E-3
1.81970085861280517E-1	1.38184811883943093E-3
1.86208713666586601E-1	1.38184807266127807E-3
1.90546071796642913E-1	1.38184810347628151E-3
1.94984459976141755E-1	1.38184807270177346E-3
1.99526231497244932E-1	1.38184808812084525E-3
2.04173794467330438E-1	1.38184808814398541E-3
2.08929613085802668E-1	1.38184813436263321E-3
2.13796208950643996E-1	1.38184810358812560E-3
2.18776162395398899E-1	1.38184811901491056E-3
2.23872113857301303E-1	1.38184807284639977E-3
2.29086765277269189E-1	1.38184807287339684E-3
2.34422881532509519E-1	1.38184811909975780E-3
2.39883291902492735E-1	1.38184813452847144E-3
2.45470891569074023E-1	1.38184811916146510E-3
2.51188643151557267E-1	1.38184814999189509E-3
2.57039578277514913E-1	1.38184810383109724E-3
2.63026799190197025E-1	1.38184808847180451E-3
2.69153480393381761E-1	1.38184810390823110E-3
2.75422870334539338E-1	1.38184813474444601E-3
2.81838293127201700E-1	1.38184815018472995E-3
2.88403150313451739E-1	1.38184807323785463E-3
2.95120922667465768E-1	1.38184805788434639E-3
3.01995172041066073E-1	1.38184811952977959E-3
3.09029543252262062E-1	1.38184808878226884E-3
3.16227766017780842E-1	1.38184808883626253E-3
3.23593656930612417E-1	1.38184811968983223E-3
3.31131121483617941E-1	1.38184815054340215E-3
3.38844156140273522E-1	1.38184808901174216E-3
3.46736850453648238E-1	1.38184808907537726E-3
3.54813389234739196E-1	1.38184808914286972E-3
3.63078054771313852E-1	1.38184808921229019E-3
3.71535229098435460E-1	1.38184808928749581E-3
3.80189396321876227E-1	1.38184812016227765E-3
3.89045144995649483E-1	1.38184810484348031E-3
3.98107170554921730E-1	1.38184810492832755E-3
4.07380277805594648E-1	1.38184812041681959E-3
4.16869383471876720E-1	1.38184810511152056E-3
4.26579518803195246E-1	1.38184808980814977E-3
4.36515832241831969E-1	1.38184810530821212E-3
4.46683592152694509E-1	1.38184809001833964E-3
4.57088189616673990E-1	1.38184810552804338E-3
4.67735141289066991E-1	1.38184807484995309E-3
4.78630092324579248E-1	1.38184810576715877E-3
4.89778819370461527E-1	1.38184812129421819E-3
5.01187233629364481E-1	1.38184807523176634E-3
5.12861383993536357E-1	1.38184809077039539E-3
5.24807460252025937E-1	1.38184812171459814E-3
5.37031796372590620E-1	1.38184812186886585E-3
5.49540873860049572E-1	1.38184806043555097E-3
5.62341325192864172E-1	1.38184809140289344E-3
5.75439937339764995E-1	1.38184809157837352E-3
5.88843655358292839E-1	1.38184810716328288E-3
6.02559586077160514E-1	1.38184810735804597E-3
6.16595001864387005E-1	1.38184810755859444E-3
6.30957344483203375E-1	1.38184810777264078E-3
6.45654229037774208E-1	1.38184809259654129E-3
6.60693448010826767E-1	1.38184810822965942E-3
6.76082975395328134E-1	1.38184809307477141E-3
6.91830970922402066E-1	1.38184807793338194E-3
7.07945784387726462E-1	1.38184809359735405E-3
7.24435960078705499E-1	1.38184809388082108E-3
7.41310241304763640E-1	1.38184809417392973E-3
7.58577575033164742E-1	1.38184810988225371E-3
7.76247116632811629E-1	1.38184809480449977E-3
7.94328234728544746E-1	1.38184811053982060E-3
8.12830516168510364E-1	1.38184808009506033E-3
8.31763771107234362E-1	1.38184811126295104E-3
8.51138038207096947E-1	1.38184811165247723E-3
8.70963589960962992E-1	1.38184808125785441E-3
8.91250938138794702E-1	1.38184808168209083E-3
9.12010839361130898E-1	1.38184808212946764E-3
9.33254300802389380E-1	1.38184809799205954E-3
9.54992586027017154E-1	1.38184809847993151E-3
9.77237220961580100E-1	1.38184808359115530E-3
1.00000000000596345E0	1.38184813031888742E-3
1.02329299228691761E0	1.38184806928474080E-3
1.04712854805726896E0	1.38184811606646640E-3
1.07151930524418804E0	1.38184807048417313E-3
1.09647819614998543E0	1.38184810192396101E-3
1.12201845430898928E0	1.38184808719716612E-3
1.14815362150414080E0	1.38184811870058999E-3
1.17489755494702663E0	1.38184810403743086E-3
1.20226443462515631E0	1.38184810480876985E-3
1.23026877082037878E0	1.38184812101653587E-3
1.25892541180242579E0	1.38184809107121787E-3
1.28824955170166167E0	1.38184812275204938E-3
1.31825673856521197E0	1.38184810828365334E-3
1.34896288260074404E0	1.38184809385768093E-3
1.38038426461226926E0	1.38184814107135656E-3
1.41253754463244152E0	1.38184811133815710E-3
1.44543977075592656E0	1.38184808166280737E-3
1.47910838817852763E0	1.38184811362517745E-3
1.51356124844685902E0	1.38184811485160708E-3
1.54881661892347267E0	1.38184810073224185E-3
1.58489319247245541E0	1.38184810207437225E-3
1.62181009737063286E0	1.38184810348206644E-3
1.65958690744963500E0	1.38184807415767641E-3
1.69824365247420128E0	1.38184810649800283E-3
1.73780082876222619E0	1.38184806191459453E-3
1.77827941005217882E0	1.38184810980126294E-3
