Trace
Swept SA
A.16.09,N9010A
544 B25 B40 EXM FS1 MPB P44 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.006866666667
Start Frequency,9999995.99999952
Stop Frequency,4100000000
Average Count,100
Average Type,LogPower(Video)
RBW,8000000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,50000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,DC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,30
Ref Level Offset,0
External Gain,0
Trace Type,Maxhold
Detector,Peak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
9999995.99999952,-10.2424907684326
14089996.0039995,-44.3127403259277
18179996.0079995,-40.6983871459961
22269996.0119995,-33.8444328308105
26359996.0159995,-29.4301071166992
30449996.0199995,-27.3904571533203
34539996.0239995,-26.155237197876
38629996.0279995,-25.2561435699463
42719996.0319995,-24.7274684906006
46809996.0359995,-24.7866897583008
50899996.0399995,-24.5278854370117
54989996.0439995,-24.3296546936035
59079996.0479995,-24.5584201812744
63169996.0519995,-24.1257438659668
67259996.0559995,-23.9164886474609
71349996.0599995,-23.8595275878906
75439996.0639995,-23.7212371826172
79529996.0679995,-23.3154296875
83619996.0719995,-23.3682231903076
87709996.0759995,-23.1564388275146
91799996.0799995,-22.9711132049561
95889996.0839995,-23.0677604675293
99979996.0879995,-22.8688526153564
104069996.092,-22.5523529052734
108159996.096,-22.8002834320068
112249996.1,-22.5396404266357
116339996.104,-22.6288261413574
120429996.108,-22.4269752502441
124519996.112,-22.6797046661377
128609996.116,-22.4369449615479
132699996.12,-22.6182441711426
136789996.124,-22.4614734649658
140879996.128,-22.5986766815186
144969996.132,-22.3970737457275
149059996.136,-22.6717109680176
153149996.14,-22.566385269165
157239996.144,-22.4169635772705
161329996.148,-22.6144313812256
165419996.152,-22.5207405090332
169509996.156,-22.4247951507568
173599996.16,-22.6786804199219
177689996.164,-22.3945922851563
181779996.168,-22.3486213684082
185869996.172,-22.7024574279785
189959996.176,-22.2596225738525
194049996.18,-22.2136535644531
198139996.184,-22.349214553833
202229996.188,-22.1775703430176
206319996.192,-22.1698169708252
210409996.196,-22.3479385375977
214499996.2,-22.2943649291992
218589996.204,-22.0761642456055
222679996.208,-22.1196002960205
226769996.212,-22.0483875274658
230859996.216,-22.0330276489258
234949996.22,-22.1969947814941
239039996.224,-21.9758548736572
243129996.228,-22.0898456573486
247219996.232,-22.1818237304688
251309996.236,-21.9583873748779
255399996.24,-22.1090316772461
259489996.244,-22.2361602783203
263579996.248,-22.0751914978027
267669996.252,-22.020055770874
271759996.256,-22.0266532897949
275849996.26,-22.1552448272705
279939996.264,-22.122278213501
284029996.268,-22.0393371582031
288119996.272,-22.0681037902832
292209996.276,-22.1432132720947
296299996.28,-22.0807266235352
300389996.284,-22.176872253418
304479996.288,-21.9887084960938
308569996.292,-22.0269050598145
312659996.296,-22.1238956451416
316749996.3,-21.9945259094238
320839996.304,-21.921012878418
324929996.308,-22.1355934143066
329019996.312,-21.8477954864502
333109996.316,-21.856632232666
337199996.32,-21.9825763702393
341289996.324,-21.7249851226807
345379996.328,-21.7187442779541
349469996.332,-21.6485633850098
353559996.336,-21.6165981292725
357649996.34,-21.5464172363281
361739996.344,-21.5732479095459
365829996.348,-21.4971885681152
