Trace
Swept SA
A.16.09,N9010A
544 B25 B40 EXM FS1 MPB P44 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.005
Start Frequency,1000000000
Stop Frequency,4000000000
Average Count,100
Average Type,LogPower(Video)
RBW,6000000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,50000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,DC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Maxhold
Detector,Peak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
1000000000,-20.4631271362305
1003000000,-20.4449081420898
1006000000,-20.4825439453125
1009000000,-20.4584445953369
1012000000,-20.4725608825684
1015000000,-20.4896183013916
1018000000,-20.4772796630859
1021000000,-20.4737586975098
1024000000,-20.4790573120117
1027000000,-20.4912166595459
1030000000,-20.5063247680664
1033000000,-20.5919876098633
1036000000,-20.5012645721436
1039000000,-20.5082874298096
1042000000,-20.5366249084473
1045000000,-20.5230693817139
1048000000,-20.5014305114746
1051000000,-20.513599395752
1054000000,-20.5315570831299
1057000000,-20.5089435577393
1060000000,-20.4944133758545
1063000000,-20.5849800109863
1066000000,-20.5006313323975
1069000000,-20.4816913604736
1072000000,-20.4950904846191
1075000000,-20.4952583312988
1078000000,-20.4836692810059
1081000000,-20.4916839599609
1084000000,-20.5251846313477
1087000000,-20.4998893737793
1090000000,-20.4922313690186
1093000000,-20.5676231384277
1096000000,-20.4783878326416
1099000000,-20.4692611694336
1102000000,-20.4939422607422
1105000000,-20.4804058074951
1108000000,-20.4783172607422
1111000000,-20.4706058502197
1114000000,-20.4849395751953
1117000000,-20.463264465332
1120000000,-20.4798049926758
1123000000,-20.6043796539307
1126000000,-20.4685955047607
1129000000,-20.4488964080811
1132000000,-20.5012187957764
1135000000,-20.4418334960938
1138000000,-20.4676990509033
1141000000,-20.4788665771484
1144000000,-20.4973831176758
1147000000,-20.4835605621338
1150000000,-20.5013427734375
1153000000,-20.644063949585
1156000000,-20.4950141906738
1159000000,-20.5135307312012
1162000000,-20.5834274291992
1165000000,-20.5065364837646
1168000000,-20.5354747772217
1171000000,-20.5320777893066
1174000000,-20.5286808013916
1177000000,-20.5282230377197
1180000000,-20.5512828826904
1183000000,-20.6213779449463
1186000000,-20.5239086151123
1189000000,-20.5322704315186
1192000000,-20.6008968353271
1195000000,-20.5225353240967
1198000000,-20.5161991119385
1201000000,-20.5216197967529
1204000000,-20.5012378692627
1207000000,-20.5174560546875
1210000000,-20.5130939483643
1213000000,-20.59104347229
1216000000,-20.5131893157959
1219000000,-20.514705657959
1222000000,-20.5838375091553
1225000000,-20.5118618011475
1228000000,-20.510440826416
1231000000,-20.5088634490967
1234000000,-20.5021381378174
1237000000,-20.5034980773926
1240000000,-20.5077991485596
1243000000,-20.5297374725342
1246000000,-20.4752426147461
1249000000,-20.4949760437012
1252000000,-20.5646858215332
1255000000,-20.4705047607422
1258000000,-20.4659843444824
1261000000,-20.5055618286133
1264000000,-20.4775238037109
1267000000,-20.4810886383057
1270000000,-20.4853897094727
1273000000,-20.5021839141846
1276000000,-20.4741458892822
1279000000,-20.5019645690918
1282000000,-20.5297813415527
1285000000,-20.4938297271729
1288000000,-20.5083866119385
