Trace
Swept SA
A.16.09,N9010A
544 B25 B40 EXM FS1 MPB P44 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.005
Start Frequency,1000000000
Stop Frequency,4000000000
Average Count,100
Average Type,LogPower(Video)
RBW,6000000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,50000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,DC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Maxhold
Detector,Peak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
1000000000,-20.4236145019531
1003000000,-20.402458190918
1006000000,-20.4283390045166
1009000000,-20.4277610778809
1012000000,-20.4389419555664
1015000000,-20.4405689239502
1018000000,-20.4444026947021
1021000000,-20.4577884674072
1024000000,-20.4601497650146
1027000000,-20.4546756744385
1030000000,-20.4632396697998
1033000000,-20.4672603607178
1036000000,-20.4507694244385
1039000000,-20.4386882781982
1042000000,-20.4479217529297
1045000000,-20.4306945800781
1048000000,-20.4281692504883
1051000000,-20.428581237793
1054000000,-20.4281692504883
1057000000,-20.4107036590576
1060000000,-20.4278469085693
1063000000,-20.4286880493164
1066000000,-20.4288597106934
1069000000,-20.4305019378662
1072000000,-20.4497833251953
1075000000,-20.4477519989014
1078000000,-20.4501285552979
1081000000,-20.4699077606201
1084000000,-20.4659290313721
1087000000,-20.4692993164063
1090000000,-20.4645862579346
1093000000,-20.4569320678711
1096000000,-20.4698581695557
1099000000,-20.4688186645508
1102000000,-20.4721908569336
1105000000,-20.4785003662109
1108000000,-20.4742107391357
1111000000,-20.4613571166992
1114000000,-20.4867210388184
1117000000,-20.4738674163818
1120000000,-20.499231338501
1123000000,-20.4922561645508
1126000000,-20.5049343109131
1129000000,-20.5087547302246
1132000000,-20.4956722259521
1135000000,-20.4994945526123
1138000000,-20.5003757476807
1141000000,-20.5108776092529
1144000000,-20.4933204650879
1147000000,-20.5000801086426
1150000000,-20.523811340332
1153000000,-20.5194816589355
1156000000,-20.5409412384033
1159000000,-20.5447635650635
1162000000,-20.5669574737549
1165000000,-20.5377750396729
1168000000,-20.5755386352539
1171000000,-20.5897827148438
1174000000,-20.5716896057129
1177000000,-20.5682964324951
1180000000,-20.5796012878418
1183000000,-20.5585689544678
1186000000,-20.5463542938232
1189000000,-20.53928565979
1192000000,-20.5336875915527
1195000000,-20.5067749023438
1198000000,-20.497501373291
1201000000,-20.4970474243164
1204000000,-20.4825496673584
1207000000,-20.4870109558105
1210000000,-20.5084419250488
1213000000,-20.4959335327148
1216000000,-20.5077438354492
1219000000,-20.5136737823486
1222000000,-20.5328330993652
1225000000,-20.5402355194092
1228000000,-20.5358772277832
1231000000,-20.5578880310059
1234000000,-20.5510997772217
1237000000,-20.549524307251
1240000000,-20.5538272857666
1243000000,-20.5434322357178
1246000000,-20.547737121582
1249000000,-20.5314617156982
1252000000,-20.5298862457275
1255000000,-20.5136108398438
1258000000,-20.5149745941162
1261000000,-20.5104598999023
1264000000,-20.4971237182617
1267000000,-20.5066394805908
1270000000,-20.4910335540771
1273000000,-20.5012149810791
1276000000,-20.4996395111084
1279000000,-20.509822845459
1282000000,-20.4942836761475
1285000000,-20.5016956329346
1288000000,-20.4897994995117
1291000000,-20.4984798431396
