Trace
Swept SA
A.16.09,N9010A
544 B25 B40 EXM FS1 MPB P44 RTL ,01
Segment,0
Number of Points,10000
Sweep Time,0.0026664
Start Frequency,0
Stop Frequency,10000000
Average Count,100
Average Type,LogPower(Video)
RBW,10000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,100000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,DC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,30
Ref Level Offset,0
External Gain,0
Trace Type,Maxhold
Detector,Peak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
0,6.58564949035645
1000.100010001,6.3083553314209
2000.200020002,5.79949951171875
3000.300030003,5.05462884902954
4000.400040004,4.06595039367676
5000.500050005,2.9870970249176
6000.600060006,1.75127136707306
7000.700070007,0.380739390850067
8000.800080008,-0.871785342693329
9000.900090009,-2.19332671165466
10001.00010001,-3.50221824645996
11001.100110011,-4.78439092636108
12001.200120012,-6.04207134246826
13001.300130013,-7.29084587097168
14001.400140014,-8.34813690185547
15001.500150015,-8.98794841766357
16001.600160016,-9.51977348327637
17001.700170017,-9.66751670837402
18001.800180018,-9.676100730896
19001.900190019,-9.75259494781494
20002.00020002,-9.81127738952637
21002.100210021,-9.82431411743164
22002.200220022,-9.81842613220215
23002.300230023,-9.81699085235596
24002.400240024,-9.90461730957031
25002.500250025,-9.88648319244385
26002.600260026,-9.91287994384766
27002.700270027,-9.87582015991211
28002.800280028,-9.88217735290527
29002.900290029,-9.92193412780762
30003.00030003,-9.91159248352051
31003.100310031,-9.87564563751221
32003.200320032,-9.87643718719482
33003.300330033,-9.88613414764404
34003.400340034,-9.9370231628418
35003.500350035,-9.94449424743652
36003.600360036,-9.93971920013428
37003.700370037,-9.96054935455322
38003.800380038,-9.94018840789795
39003.900390039,-9.96435832977295
40004.00040004,-9.93620491027832
41004.100410041,-9.94590187072754
42004.200420042,-9.95226001739502
43004.300430043,-9.95527744293213
44004.400440044,-9.98501396179199
45004.500450045,-9.98691940307617
46004.600460046,-9.98659706115723
47004.700470047,-10.0163335800171
48004.800480048,-9.99931240081787
49004.900490049,-10.0001039505005
50005.00050005,-10.0086603164673
51005.100510051,-10.0016202926636
52005.200520052,-10.0112800598145
53005.300530053,-10.0220527648926
54005.400540054,-10.0038805007935
55005.500550055,-10.010199546814
56005.600560056,-9.99870681762695
57005.700570057,-10.0039129257202
58005.800580058,-10.0235919952393
59005.900590059,-10.010986328125
60006.00060006,-10.0128526687622
61006.100610061,-10.0124931335449
62006.200620062,-10.0099058151245
63006.300630063,-10.0039796829224
64006.400640064,-10.0314512252808
65006.500650065,-9.9954662322998
66006.600660066,-10.021824836731
67006.700670067,-10.0047664642334
68006.800680068,-9.99883937835693
69006.900690069,-10.034104347229
70007.00070007,-10.0047988891602
71007.100710071,-9.99887275695801
72007.200720072,-10.0007390975952
73007.300730073,-10.0126256942749
74007.400740074,-10.0033588409424
75007.500750075,-9.99298000335693
76007.600760076,-9.9981861114502
77007.700770077,-9.9955997467041
78007.800780078,-9.99746608734131
79007.900790079,-9.99265289306641
80008.00080008,-10.0056524276733
81008.100810081,-10.0030651092529
82008.200820082,-10.0038185119629
83008.300830083,-9.99232578277588
84008.400840084,-10.0075521469116
85008.500850085,-10.0049648284912
