Trace
Swept SA
A.16.09,N9010A
544 B25 B40 EXM FS1 MPB P44 RTL ,01
Segment,0
Number of Points,10000
Sweep Time,0.4272906
Start Frequency,0
Stop Frequency,1000
Average Count,100
Average Type,LogPower(Video)
RBW,4.3
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,43
Sweep Type,Fft
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Wide
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,DC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,30
Ref Level Offset,0
External Gain,0
Trace Type,Maxhold
Detector,Peak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
0,5.37111139297485
0.1000100010001,5.36959110339263
0.2000200020002,5.35770724857484
0.3000300030003,5.33295231478227
0.4000400040004,5.2953263020149
0.5000500050005,5.24482921027274
0.6000600060006,5.18146103955579
0.7000700070007,5.10522178986405
0.8000800080008,5.01611146119752
0.9000900090009,4.9141300535562
1.000100010001,4.79927756694009
1.1001100110011,4.67155400134919
1.2001200120012,4.53095935678349
1.3001300130013,4.37749363324301
1.4001400140014,4.12132692337036
1.5001500150015,3.93375730514526
1.6001600160016,3.73379707336426
1.7001700170017,3.52108907699585
1.8001800180018,3.2952766418457
1.9001900190019,3.05600309371948
2.000200020002,2.80291223526001
2.1002100210021,2.53564643859863
2.2002200220022,2.25384998321533
2.3002300230023,1.95716571807861
2.4002400240024,1.64523673057556
2.5002500250025,1.31770658493042
2.6002600260026,0.974219083786011
2.7002700270027,0.615653276443481
2.8002800280028,0.244812488555908
2.9002900290029,-0.13888144493103
3.000300030003,-0.53620171546936
3.1003100310031,-0.947921514511108
3.2003200320032,-1.37481451034546
3.3003300330033,-1.8176531791687
3.4003400340034,-2.27721095085144
3.5003500350035,-2.75426173210144
3.6003600360036,-3.24957799911499
3.7003700370037,-3.76393270492554
3.8003800380038,-4.29810047149658
3.9003900390039,-4.8528528213501
4.000400040004,-5.42612743377686
4.1004100410041,-6.01183891296387
4.2004200420042,-6.61131715774536
4.3004300430043,-7.22627830505371
4.4004400440044,-7.85843658447266
4.5004500450045,-8.50950813293457
4.6004600460046,-9.18120861053467
4.7004700470047,-9.87525177001953
4.8004800480048,-10.593355178833
4.9004900490049,-11.337233543396
5.000500050005,-12.1086006164551
5.1005100510051,-12.9091730117798
5.2005200520052,-13.7369117736816
5.3005300530053,-14.5900955200195
5.4005400540054,-15.4579048156738
5.5005500550055,-16.334831237793
5.6005600560056,-17.2261714935303
5.7005700570057,-18.099817276001
5.8005800580058,-18.9894161224365
5.9005900590059,-19.9220333099365
6.000600060006,-20.919303894043
6.1006100610061,-22.0069446563721
6.2006200620062,-23.1777267456055
6.3006300630063,-24.3695812225342
6.4006400640064,-25.3046112060547
6.5006500650065,-26.200626373291
6.6006600660066,-27.0738964080811
6.7006700670067,-27.9712886810303
6.8006800680068,-28.8837451934814
6.9006900690069,-29.7998504638672
7.000700070007,-30.7081985473633
7.1007100710071,-31.5973701477051
7.2007200720072,-32.4559555053711
7.3007300730073,-33.2725410461426
7.4007400740074,-34.035717010498
7.5007500750075,-34.7340660095215
7.6007600760076,-35.3561820983887
7.7007700770077,-35.8906440734863
7.8007800780078,-36.3260498046875
7.9007900790079,-36.648307800293
8.000800080008,-36.8540458679199
8.1008100810081,-36.9578628540039
8.2008200820082,-36.9747886657715
