Trace
Swept SA
A.16.09,N9010A
544 B25 B40 EXM FS1 MPB P44 RTL ,01
Segment,0
Number of Points,10000
Sweep Time,0.0013332
Start Frequency,0
Stop Frequency,3000000
Average Count,100
Average Type,LogPower(Video)
RBW,9100
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,91000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,DC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,10
Ref Level Offset,0
External Gain,0
Trace Type,Maxhold
Detector,Peak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
0,-11.2289018630981
300.0300030003,-11.3200941085815
600.0600060006,-11.435284614563
900.0900090009,-11.5715923309326
1200.1200120012,-11.730938911438
1500.1500150015,-11.9133234024048
1800.1800180018,-12.1177854537964
2100.2100210021,-12.3452854156494
2400.2400240024,-12.4844732284546
2700.2700270027,-12.6399803161621
3000.300030003,-12.8166046142578
3300.3300330033,-13.0143480300903
3600.3600360036,-13.2341690063477
3900.3900390039,-13.4751081466675
4200.4200420042,-13.7371654510498
4500.4500450045,-14.0222606658936
4800.4800480048,-14.3294343948364
5100.5100510051,-14.6586856842041
5400.5400540054,-15.0100154876709
5700.5700570057,-15.3834228515625
6000.600060006,-15.7789087295532
6300.6300630063,-16.1974334716797
6600.6600660066,-16.6389942169189
6900.6900690069,-17.1055145263672
7200.7200720072,-17.362771987915
7500.7500750075,-17.5173187255859
7800.7800780078,-17.668025970459
8100.8100810081,-17.8168125152588
8400.8400840084,-17.9646396636963
8700.8700870087,-18.1134281158447
9000.900090009,-18.2622184753418
9300.9300930093,-18.4144992828369
9600.9600960096,-18.566780090332
9900.9900990099,-18.7200202941895
10201.0201020102,-18.8732604980469
10501.0501050105,-19.0341796875
10801.0801080108,-19.2037391662598
11101.1101110111,-19.3828964233398
11401.1401140114,-19.5706939697266
11701.1701170117,-19.7671298980713
12001.200120012,-19.973165512085
12301.2301230123,-20.1878414154053
12601.2601260126,-20.233570098877
12901.2901290129,-20.2514629364014
13201.3201320132,-20.2818336486816
13501.3501350135,-20.3246822357178
13801.3801380138,-20.3790512084961
14101.4101410141,-20.4487800598145
14401.4401440144,-20.5386657714844
14701.4701470147,-20.6007137298584
15001.500150015,-20.6483631134033
15301.5301530153,-20.718090057373
15601.5601560156,-20.7014255523682
15901.5901590159,-20.6780395507813
16201.6201620162,-20.6757736206055
16501.6501650165,-20.6831073760986
16801.6801680168,-20.7134780883789
17101.7101710171,-20.7304096221924
17401.7401740174,-20.7684593200684
17701.7701770177,-20.8141899108887
18001.800180018,-20.7888851165771
18301.8301830183,-20.7683811187744
18601.8601860186,-20.7680339813232
18901.8901890189,-20.7811260223389
19201.9201920192,-20.8028583526611
19501.9501950195,-20.7564353942871
19801.9801980198,-20.7359294891357
20102.0102010201,-20.7346248626709
20402.0402040204,-20.7486763000488
20702.0702070207,-20.788646697998
21002.100210021,-20.7892589569092
21302.1302130213,-20.7409172058105
21602.1602160216,-20.7194519042969
21902.1902190219,-20.7181453704834
22202.2202220222,-20.7312393188477
22502.2502250225,-20.7692890167236
22802.2802280228,-20.8294162750244
23102.3102310231,-20.7714748382568
23402.3402340234,-20.7375316619873
23702.3702370237,-20.7295055389404
24002.400240024,-20.7349185943604
24302.4302430243,-20.7441711425781
