Trace
Swept SA
A.16.09,N9010A
544 B25 B40 EXM FS1 MPB P44 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.0102
Start Frequency,10000000
Stop Frequency,6100000000
Average Count,100
Average Type,LogPower(Video)
RBW,8000000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,50000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,DC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,30
Ref Level Offset,0
External Gain,0
Trace Type,Maxhold
Detector,Peak
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Normalize,Off
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
10000000,-7.25633811950684
16090000,-20.0896606445313
22180000,-16.2128467559814
28270000,-13.110445022583
34360000,-10.3970966339111
40450000,-8.47346687316895
46540000,-6.33657455444336
52630000,-4.65677976608276
58720000,-3.27457690238953
64810000,-2.01615285873413
70900000,-1.11378848552704
76990000,-0.253222435712814
83080000,0.361758798360825
89170000,0.606022596359253
95260000,1.00672852993011
101350000,1.32851076126099
107440000,1.80358529090881
113530000,2.16903829574585
119620000,2.48788070678711
125710000,2.75125050544739
131800000,2.93949246406555
137890000,3.14065408706665
143980000,3.42548227310181
150070000,3.58653163909912
156160000,3.8251748085022
162250000,4.03209972381592
168340000,4.24095296859741
174430000,4.42602491378784
180520000,4.54936218261719
186610000,4.72824478149414
192700000,4.87908411026001
198790000,5.01418018341064
204880000,5.14235258102417
210970000,5.2618203163147
217060000,5.31723833084106
223150000,5.41087341308594
229240000,5.43689393997192
235330000,5.48202276229858
241420000,5.51245260238647
247510000,5.55565929412842
253600000,5.5795636177063
259690000,5.6005277633667
265780000,5.6358814239502
271870000,5.68949270248413
277960000,5.70665454864502
284050000,5.73820018768311
290140000,5.80225515365601
296230000,5.85234022140503
302320000,5.8849835395813
308410000,5.89247894287109
314500000,5.93200159072876
320590000,5.98978185653687
326680000,6.00243759155273
332770000,6.02450895309448
338860000,6.07116460800171
344950000,6.11890745162964
351040000,6.14313220977783
357130000,6.13177013397217
363220000,6.15630435943604
369310000,6.11585474014282
375400000,6.12785148620605
381490000,6.10891675949097
387580000,6.1340012550354
393670000,6.11379861831665
399760000,6.11386489868164
405850000,6.09598302841187
411940000,6.08166027069092
418030000,6.06261777877808
424120000,6.08367538452148
430210000,6.05731678009033
436300000,6.08356428146362
442390000,6.11791276931763
448480000,6.11729764938354
454570000,6.14901971817017
460660000,6.17950677871704
466750000,6.22203302383423
472840000,6.24955129623413
478930000,6.30618524551392
485020000,6.31230974197388
491110000,6.3681001663208
497200000,6.40687084197998
503290000,6.39504718780518
509380000,6.41880989074707
515470000,6.41135025024414
521560000,6.43788528442383
527650000,6.48298835754395
533740000,6.49575424194336
539830000,6.48500204086304
545920000,6.46543073654175
552010000,6.44585943222046
558100000,6.42628812789917
564190000,6.46226263046265
570280000,6.43418169021606
576370000,6.43072319030762
582460000,6.41918039321899
588550000,6.4149866104126
594640000,6.39682960510254
600730000,6.397780418396
606820000,6.384033203125
612910000,6.38057422637939
619000000,6.38299560546875
625090000,6.35601902008057
631180000,6.37901830673218
637270000,6.32627296447754
643360000,6.32859134674072
649450000,6.36692190170288
655540000,6.38026428222656
661630000,6.36788415908813
667720000,6.34962463378906
673810000,6.34900331497192
679900000,6.35132169723511
685990000,6.29190587997437
692080000,6.30510759353638
