Trace
Swept SA
A.16.09,N9010A
544 B25 B40 EXM FS1 MPB P44 RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.001333333333
Start Frequency,1500000000
Stop Frequency,3500000000
Average Count,0
Average Type,LogPower(Video)
RBW,3000000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,3000000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,DC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,40
Ref Level Offset,0
External Gain,0
Trace Type,Maxhold
Detector,Peak
Trace Math,Off
Trace Math Oper1,Trace6
Trace Math Oper2,Trace1
Trace Math Offset,0
Normalize,Off
Trace Name,Trace2
X Axis Units,Hz
Y Axis Units,dBm
DATA
1500000000,-38.1359176635742
1502000000,-38.3763809204102
1504000000,-38.2839126586914
1506000000,-37.7179565429688
1508000000,-38.1665992736816
1510000000,-38.2321434020996
1512000000,-37.6406593322754
1514000000,-37.6869049072266
1516000000,-38.1465682983398
1518000000,-38.2569465637207
1520000000,-38.4378776550293
1522000000,-38.5129776000977
1524000000,-38.2059097290039
1526000000,-38.2455444335938
1528000000,-37.1682624816895
1530000000,-38.3487091064453
1532000000,-38.7444343566895
1534000000,-38.1176681518555
1536000000,-37.8273162841797
1538000000,-36.7559127807617
1540000000,-37.8630561828613
1542000000,-38.3964881896973
1544000000,-38.4291572570801
1546000000,-38.3580093383789
1548000000,-37.4139518737793
1550000000,-38.1751327514648
1552000000,-37.8835067749023
1554000000,-38.3115692138672
1556000000,-37.4125328063965
1558000000,-37.6735763549805
1560000000,-30.1849060058594
1562000000,-7.97711896896362
1564000000,1.48191630840302
1566000000,2.15331554412842
1568000000,2.11550116539001
1570000000,1.9270247220993
1572000000,1.80395758152008
1574000000,1.71616744995117
1576000000,1.66732895374298
1578000000,1.57586419582367
1580000000,1.5586279630661
1582000000,1.53257250785828
1584000000,1.55061328411102
1586000000,1.52529275417328
1588000000,1.57787549495697
1590000000,1.60914504528046
1592000000,1.666872382164
1594000000,1.74958753585815
1596000000,1.79378795623779
1598000000,1.84424519538879
1600000000,1.93879866600037
1602000000,1.98043668270111
1604000000,2.09850811958313
1606000000,2.19379639625549
1608000000,2.2905547618866
1610000000,2.29985547065735
1612000000,2.25918054580688
1614000000,2.23614430427551
1616000000,2.27778220176697
1618000000,2.26356506347656
1620000000,2.27874541282654
1622000000,2.31450390815735
1624000000,2.32527470588684
1626000000,2.31546711921692
1628000000,2.35710501670837
1630000000,2.35634708404541
1632000000,2.35646486282349
1634000000,2.36981153488159
1636000000,2.38683295249939
1638000000,2.37666177749634
1640000000,2.38780355453491
1642000000,2.41143941879272
1644000000,2.39979839324951
1646000000,2.40579581260681
1648000000,2.42134714126587
1650000000,2.4295494556427
1652000000,2.43481183052063
1654000000,2.42243576049805
1656000000,2.43872213363647
1658000000,2.45941829681396
1660000000,2.44116282463074
1662000000,2.45230460166931
1664000000,2.47888016700745
1666000000,2.46282958984375
1668000000,2.471031665802
1670000000,2.46453523635864
1672000000,2.46685791015625
1674000000,2.45154190063477
1676000000,2.45386457443237
1678000000,2.44295859336853
1680000000,2.4467511177063
1682000000,2.45495319366455
1684000000,2.46242046356201
1686000000,2.47429728507996
1688000000,2.45898151397705
1690000000,2.4598343372345
1692000000,2.4138388633728
1694000000,2.44562125205994
1696000000,2.48034358024597
1698000000,2.45039129257202
1700000000,2.44983673095703
1702000000,2.43164348602295
