Default Dataset,
X,Y
996.7746238187704,-62.656673981718875
1025.7226607393845,-63.38134109774612
1046.110646622073,-63.43448951505679
1066.3586015824474,-63.6269462063122
1088.1104112333119,-63.86660925580008
1109.7384599760778,-63.86660925580008
1131.7964030453663,-63.86660925580008
1154.2927853235294,-63.86892005655271
1177.2363215370144,-64.23094550779932
1204.9400700321573,-64.75626754556566
1228.8903073405484,-64.75626754556566
1258.3723819179156,-65.2773531152855
1285.9706111809924,-65.33454543391329
1310.6517674831143,-65.54425060221519
1340.5953651782418,-66.2083169685045
1368.1596667488784,-66.4847465085388
1402.864218886648,-66.91917705003473
1430.748535948896,-66.9168662492821
1456.5785862472728,-66.9196905613131
1493.525960678574,-67.34898599002538
1525.5501893535516,-67.67579923932702
1563.0147567093518,-68.18568842920968
1580.8274374810494,-68.06706732390761
1607.927805088927,-68.55637938327868
1630.3797352259458,-68.21322547151195
1653.8848053251618,-68.91647916723142
1684.1736828207238,-69.41154071895131
1720.285785701432,-69.10288376127754
1751.3430031339685,-69.09723513721553
1790.15324380542,-69.6493881392764
1828.1872568882968,-69.96712324276412
1864.5255941513942,-69.96712324276412
1897.7623544504058,-70.02113821035702
1939.383484489143,-70.39693218275477
1980.5880780495083,-70.72333278906486
2011.8400290207844,-70.83771742632044
2057.3430242102722,-71.26348246499397
2098.2362228680972,-71.26348246499397
2137.8815263619376,-71.48834115361603
2190.3012246741805,-72.12772194648053
2233.837194148914,-72.12772194648053
2274.1658232779873,-72.12772194648053
2327.683470373762,-72.58526049550284
2375.543526289917,-72.84898063139764
2438.526673804622,-73.44949997698942
2486.996547097906,-73.44949997698942
2536.4298417235495,-73.44949997698942
2583.3766516689175,-73.56388461424498
2638.2636741668916,-74.10085693913922
2690.7036607271484,-74.31373945847598
2736.830806929623,-74.31373945847598
2796.8541236753194,-74.92061350613751
2854.360909478518,-75.17797893996256
2911.096196855903,-75.17797893996256
2961.380016761096,-75.24334158982288
3027.9723183478504,-75.84204530625188
3096.062075379536,-76.4343943206111
3149.5408398332206,-76.49975697047142
3212.1433313616676,-76.49975697047142
