MeasResult
PNOISE:LPL
A.16.09,N9010A
544 B25 B40 EXM FS1 MPB P44 RTL ,01
AllowZeroAtten,False
AM Rejection,True
Automatic Trigger Time,0.1
Automatic Trigger Time State,False
Average Mode,Repeat
Average Number,10
Average State,False
Cancellation,False
Carrier Frequency,1623963091.50223
Electrical Atten,0
Electrical Atten State,False
External Array Trigger Delay,1E-06,1E-06,0,0
External Array Trigger Delay State,False,False,False,False
External Array Trigger Level,1.2,1.2,0,0
External Array Trigger Slope,Positive,Positive,Positive,Positive
ExternalGainValueSelection,Preamp
ExtGainPreampDb,0
Input Port,RF
Internal Preamp,False
Internal Preamp Band,Low
Line Trigger Delay,1E-06
Line Trigger Delay State,False
Line Trigger Slope,Positive
Meas Type,PhaseNoise
Mechanical Atten,20
MechanicalAttenStepEnum,S2dB
Overdrive(Mech Atten),False
Periodic Timer Period,0.02
Periodic Timer Sync Source,None
Periodic Timer Trigger Delay,1E-06
Periodic Timer Trigger Delay State,False
Preselector Adjust,0
Reference Trace,3
RFBurst Trigger Delay,1E-06
RFBurst Trigger Delay State,False
RFBurst Trigger Level Abs,-20
RFBurst Trigger Level Rel,-6
RFBurst Trigger Level Type,Absolute
RFBurst Trigger Slope,Positive
Smoothing,4
Start Offset,100
Stop Offset,1000000
Threshold,0.01
Trace Type,Raw,Smoothed,Blank,Raw,Raw,Raw
Trigger Holdoff,0.1
Trigger Holdoff State,False
Trigger Source,Free
MeasResult1,MeasResult2,MeasResult3,MeasResult4,MeasResult5,MeasResult6
2.64,601,100,100,9.91E+37,100
1623963091.50223,601,-29.74,-29.85,,-29.74
51.6546236536391,0,101.5469,101.5469,,-29.85
0.901543256634545,,-29.32,-29.64,,9.91E+37
13417.8408484225,,103.1177,103.1177,,1000
-29.85,,-29.27,-29.29,,-39.08
-122.33,,104.7129,104.7129,,-41.56
,,-32.46,-29.37,,9.91E+37
,,106.3327,106.3327,,10000
,,-29.1,-29.5,,-48.31
,,107.9775,107.9775,,-50.21
,,-26.88,-29.72,,9.91E+37
,,109.6478,109.6478,,100000
,,-31.02,-30.06,,-79.48
,,111.344,111.344,,-77.65
,,-26.87,-30.43,,9.91E+37
,,113.0663,113.0663,,1000000
,,-30.63,-30.84,,-121.61
,,114.8154,114.8154,,-122.33
,,-30.19,-31.35,,9.91E+37
,,116.5914,116.5914,,
,,-29.37,-31.48,,
,,118.395,118.395,,
,,-28.07,-31.51,,
,,120.2264,120.2264,,
,,-30.34,-31.49,,
,,122.0862,122.0862,,
,,-34.89,-31.45,,
,,123.9748,123.9748,,
,,-32.25,-31.44,,
,,125.8925,125.8925,,
,,-33.8,-31.43,,
,,127.84,127.84,,
,,-36.2,-31.41,,
,,129.8175,129.8175,,
,,-37.56,-31.69,,
,,131.8257,131.8257,,
,,-34.04,-31.66,,
,,133.8649,133.8649,,
,,-36.39,-31.85,,
,,135.9356,135.9356,,
,,-39.16,-31.77,,
,,138.0384,138.0384,,
,,-28.67,-31.68,,
,,140.1737,140.1737,,
,,-28.45,-31.78,,
