MeasResult
PNOISE:LPL
A.16.09,N9010A
544 B25 B40 EXM FS1 MPB P44 RTL ,01
AllowZeroAtten,False
AM Rejection,True
Automatic Trigger Time,0.1
Automatic Trigger Time State,False
Average Mode,Repeat
Average Number,10
Average State,False
Cancellation,False
Carrier Frequency,1625334465.85085
Electrical Atten,0
Electrical Atten State,False
External Array Trigger Delay,1E-06,1E-06,1E-06,1E-06
External Array Trigger Delay State,False,False,False,False
External Array Trigger Level,1.2,1.2,1.2,1.2
External Array Trigger Slope,Positive,Positive,Positive,Positive
ExternalGainValueSelection,Preamp
ExtGainPreampDb,0
Input Port,RF
Internal Preamp,False
Internal Preamp Band,Low
Line Trigger Delay,1E-06
Line Trigger Delay State,False
Line Trigger Slope,Positive
Meas Type,PhaseNoise
Mechanical Atten,20
MechanicalAttenStepEnum,S2dB
Overdrive(Mech Atten),False
Periodic Timer Period,0.02
Periodic Timer Sync Source,None
Periodic Timer Trigger Delay,1E-06
Periodic Timer Trigger Delay State,False
Preselector Adjust,0
Reference Trace,3
RFBurst Trigger Delay,1E-06
RFBurst Trigger Delay State,False
RFBurst Trigger Level Abs,-20
RFBurst Trigger Level Rel,-6
RFBurst Trigger Level Type,Absolute
RFBurst Trigger Slope,Positive
Smoothing,4
Start Offset,100
Stop Offset,1000000
Threshold,0.01
Trace Type,Raw,Smoothed,Blank,Raw,Raw,Raw
Trigger Holdoff,0.1
Trigger Holdoff State,False
Trigger Source,Free
MeasResult1,MeasResult2,MeasResult3,MeasResult4,MeasResult5,MeasResult6
3.21,601,100,100,9.91E+37,100
1625334465.85085,601,-28.75,-34.25,,-28.75
45.6165195568375,0,101.5469,101.5469,,-34.25
0.796158459567199,,-31.83,-34.2,,9.91E+37
4871.02697952924,,103.1177,103.1177,,1000
-34.25,,-35.95,-33.81,,-41.31
-133.84,,104.7129,104.7129,,-42.11
,,-38.73,-33.37,,9.91E+37
,,106.3327,106.3327,,10000
,,-37.74,-33.08,,-50.65
,,107.9775,107.9775,,-51.49
,,-35.29,-32.92,,9.91E+37
,,109.6478,109.6478,,100000
,,-31.4,-32.78,,-93.18
,,111.344,111.344,,-94.3
,,-27.22,-32.66,,9.91E+37
,,113.0663,113.0663,,1000000
,,-33.14,-32.7,,-134.12
,,114.8154,114.8154,,-133.84
,,-30.72,-32.63,,9.91E+37
,,116.5914,116.5914,,
,,-31.41,-32.62,,
,,118.395,118.395,,
,,-31.27,-32.52,,
,,120.2264,120.2264,,
,,-28.62,-32.8,,
,,122.0862,122.0862,,
,,-30.86,-33.18,,
,,123.9748,123.9748,,
,,-33.27,-33.09,,
,,125.8925,125.8925,,
,,-33.96,-32.93,,
,,127.84,127.84,,
,,-30.73,-33.03,,
,,129.8175,129.8175,,
,,-33.31,-33.04,,
,,131.8257,131.8257,,
,,-31.85,-33.09,,
,,133.8649,133.8649,,
,,-36.85,-33.39,,
,,135.9356,135.9356,,
,,-31.2,-33.47,,
,,138.0384,138.0384,,
,,-33.09,-33.59,,
,,140.1737,140.1737,,
,,-30.78,-33.71,,
,,142.3421,142.3421,,
,,-35.07,-33.82,,
,,144.544,144.544,,
,,-40.71,-34.09,,
,,146.7799,146.7799,,
,,-33.83,-34.15,,
,,149.0505,149.0505,,
,,-34.96,-34.16,,
,,151.3561,151.3561,,
,,-40.06,-34.14,,
,,153.6975,153.6975,,
,,-35.54,-34.23,,
,,156.075,156.075,,
,,-32.49,-34.24,,
,,158.4893,158.4893,,
,,-34.13,-34.31,,
,,160.941,160.941,,
,,-35.12,-34.25,,
,,163.4306,163.4306,,
,,-33.5,-34.4,,
,,165.9587,165.9587,,
,,-34.14,-34.34,,
,,168.5259,168.5259,,
,,-33.79,-34.33,,
,,171.1328,171.1328,,
,,-34.85,-34.32,,
,,173.7801,173.7801,,
,,-32.25,-33.95,,
,,176.4683,176.4683,,
,,-33.37,-33.89,,
,,179.1981,179.1981,,
,,-33.54,-33.75,,
,,181.9701,181.9701,,
,,-32.89,-33.59,,
,,184.785,184.785,,
,,-33.39,-33.71,,
,,187.6434,187.6434,,
,,-33.67,-33.76,,
,,190.5461,190.5461,,
,,-35.28,-33.77,,
,,193.4936,193.4936,,
,,-34.81,-33.64,,
,,196.4868,196.4868,,
,,-31.74,-33.59,,
,,199.5262,199.5262,,
,,-30.48,-33.44,,
,,202.6127,202.6127,,
,,-34.87,-33.46,,
,,205.7469,205.7469,,
,,-32.19,-33.58,,
,,208.9296,208.9296,,
,,-32.33,-33.8,,
,,212.1615,212.1615,,
,,-31.83,-33.84,,
,,215.4435,215.4435,,
,,-36.47,-33.81,,
,,218.7762,218.7762,,
,,-38.15,-33.91,,
,,222.1604,222.1604,,
,,-33.74,-33.86,,
,,225.597,225.597,,
,,-34.41,-33.9,,
,,229.0868,229.0868,,
,,-32.05,-33.94,,
,,232.6305,232.6305,,
,,-32.33,-33.89,,
,,236.2291,236.2291,,
,,-30.75,-33.96,,
,,239.8833,239.8833,,
,,-34.21,-34.23,,
,,243.594,243.594,,
,,-37.65,-34.23,,
,,247.3622,247.3622,,
,,-37.26,-34.4,,
,,251.1886,251.1886,,
,,-34.33,-34.54,,
,,255.0743,255.0743,,
,,-32.76,-34.72,,
,,259.02,259.02,,
,,-35.23,-34.6,,
,,263.0268,263.0268,,
,,-32.28,-34.82,,
,,267.0956,267.0956,,
,,-34.58,-35.24,,
,,271.2273,271.2273,,
,,-36.18,-35.41,,
,,275.4229,275.4229,,
,,-33.67,-35.9,,
,,279.6834,279.6834,,
,,-33.31,-36.69,,
,,284.0098,284.0098,,
,,-36.74,-37.11,,
,,288.4032,288.4032,,
,,-34.72,-37.18,,
,,292.8645,292.8645,,
,,-36.15,-37.44,,
,,297.3948,297.3948,,
,,-35.7,-37.52,,
,,301.9952,301.9952,,
,,-35.94,-37.73,,
,,306.6667,306.6667,,
,,-33.74,-38.29,,
,,311.4106,311.4106,,
,,-43.18,-38.76,,
,,316.2278,316.2278,,
,,-43.34,-39.03,,
,,321.1195,321.1195,,
,,-38.23,-39.22,,
,,326.0869,326.0869,,
,,-43.33,-39.38,,
,,331.1311,331.1311,,
,,-50.63,-39.99,,
,,336.2534,336.2534,,
,,-40.41,-40.5,,
,,341.4549,341.4549,,
,,-35.68,-40.61,,
,,346.7369,346.7369,,
,,-43.74,-41.05,,
,,352.1005,352.1005,,
,,-39.07,-41.24,,
,,357.5472,357.5472,,
,,-39.12,-41.42,,
,,363.0781,363.0781,,
,,-45.63,-41.76,,
,,368.6945,368.6945,,
,,-46.15,-42.36,,
,,374.3978,374.3978,,
,,-38.46,-42.52,,
,,380.1894,380.1894,,
,,-38.91,-42.35,,
,,386.0705,386.0705,,
,,-39.81,-42.55,,
,,392.0427,392.0427,,
,,-47.7,-42.5,,
,,398.1072,398.1072,,
,,-45.2,-42.12,,
,,404.2655,404.2655,,
,,-39.21,-42.05,,
,,410.5191,410.5191,,
,,-44.71,-42.27,,
,,416.8694,416.8694,,
,,-40.57,-42.06,,
,,423.3179,423.3179,,
,,-39.9,-42.16,,
,,429.8662,429.8662,,
,,-43.79,-42.37,,
,,436.5158,436.5158,,
,,-47.49,-42.03,,
,,443.2683,443.2683,,
,,-46.94,-41.84,,
,,450.1252,450.1252,,
,,-39.47,-41.97,,
,,457.0882,457.0882,,
,,-42.69,-42.23,,
,,464.1589,464.1589,,
,,-42.11,-42.36,,
,,471.339,471.339,,
,,-41.98,-42.21,,
,,478.6301,478.6301,,
,,-38.85,-41.97,,
,,486.034,486.034,,
,,-40.83,-41.97,,
,,493.5525,493.5525,,
,,-38.72,-41.82,,
,,501.1872,501.1872,,
,,-41.41,-41.75,,
,,508.9401,508.9401,,
,,-43.95,-41.66,,
,,516.8129,516.8129,,
,,-37.91,-41.41,,
,,524.8075,524.8075,,
,,-41.69,-41.07,,
,,532.9257,532.9257,,
,,-41.5,-40.84,,
,,541.1695,541.1695,,
,,-44.88,-40.95,,
,,549.5409,549.5409,,
,,-42.74,-40.94,,
,,558.0417,558.0417,,
,,-44.19,-40.85,,
,,566.6741,566.6741,,
,,-39.87,-40.85,,
,,575.4399,575.4399,,
,,-39.24,-41.04,,
,,584.3414,584.3414,,
,,-41.22,-41.01,,
,,593.3806,593.3806,,
,,-38.91,-41.11,,
,,602.5596,602.5596,,
,,-37.87,-41.08,,
,,611.8806,611.8806,,
,,-38.07,-40.95,,
,,621.3458,621.3458,,
,,-39.55,-41.07,,
,,630.9573,630.9573,,
,,-41.71,-41.03,,
,,640.7176,640.7176,,
,,-41.9,-41.08,,
,,650.6289,650.6289,,
,,-42.54,-40.97,,
,,660.6934,660.6934,,
,,-39.97,-40.98,,
,,670.9137,670.9137,,
,,-42.15,-40.82,,
,,681.2921,681.2921,,
,,-43.14,-40.85,,
,,691.831,691.831,,
,,-40.13,-40.83,,
,,702.5329,702.5329,,
,,-41,-40.95,,
,,713.4004,713.4004,,
,,-40.67,-41.11,,
,,724.436,724.436,,
,,-41.11,-41.2,,
,,735.6423,735.6423,,
,,-40.49,-41.59,,
,,747.0219,747.0219,,
,,-40.78,-41.69,,
,,758.5776,758.5776,,
,,-42.7,-41.78,,
,,770.312,770.312,,
,,-42.44,-41.76,,
,,782.228,782.228,,
,,-42.84,-41.71,,
,,794.3282,794.3282,,
,,-40.55,-41.78,,
,,806.6157,806.6157,,
,,-40.52,-41.84,,
,,819.0932,819.0932,,
,,-38.8,-41.84,,
,,831.7638,831.7638,,
,,-44.05,-41.93,,
,,844.6303,844.6303,,
,,-42.53,-41.94,,
,,857.6959,857.6959,,
,,-40,-41.92,,
,,870.9636,870.9636,,
,,-46.99,-41.93,,
,,884.4365,884.4365,,
,,-41.95,-41.84,,
,,898.1179,898.1179,,
,,-43.65,-41.89,,
,,912.0108,912.0108,,
,,-41.41,-41.92,,
,,926.1187,926.1187,,
,,-41.58,-41.77,,
,,940.4449,940.4449,,
,,-41.58,-41.81,,
,,954.9926,954.9926,,
,,-43.38,-41.97,,
,,969.7654,969.7654,,
,,-43.06,-42.06,,
,,984.7667,984.7667,,
,,-42.23,-42.3,,
,,1000,1000,,
,,-41.31,-42.11,,
,,1015.469,1015.469,,
,,-40.16,-42.06,,
,,1031.1773,1031.1773,,
,,-41.32,-42.18,,
,,1047.1285,1047.1285,,
,,-38.53,-41.99,,
,,1063.3266,1063.3266,,
,,-41.91,-42.09,,
,,1079.7752,1079.7752,,
,,-43.3,-42.07,,
,,1096.4782,1096.4782,,
,,-39.17,-42.23,,
,,1113.4396,1113.4396,,
,,-43.55,-42.35,,
,,1130.6634,1130.6634,,
,,-44.36,-42.38,,
,,1148.1536,1148.1536,,
,,-42.62,-42.29,,
,,1165.9144,1165.9144,,
,,-44.2,-42.17,,
,,1183.9499,1183.9499,,
,,-39.78,-42.12,,
,,1202.2644,1202.2644,,
,,-41.39,-42.09,,
,,1220.8623,1220.8623,,
,,-42.61,-42.24,,
,,1239.7478,1239.7478,,
,,-42.7,-42.25,,
,,1258.9254,1258.9254,,
,,-44.16,-42.51,,
,,1278.3997,1278.3997,,
,,-43.21,-42.78,,
,,1298.1753,1298.1753,,
,,-45.07,-42.81,,
,,1318.2567,1318.2567,,
,,-44.5,-42.9,,
,,1338.6488,1338.6488,,
,,-42.28,-42.77,,
,,1359.3564,1359.3564,,
,,-41.13,-42.71,,
,,1380.3843,1380.3843,,
,,-40.4,-42.76,,
,,1401.7374,1401.7374,,
,,-41,-42.8,,
,,1423.4209,1423.4209,,
,,-40.74,-42.95,,
,,1445.4398,1445.4398,,
,,-43.61,-42.99,,
,,1467.7993,1467.7993,,
,,-41.46,-42.92,,
,,1490.5046,1490.5046,,
,,-44.69,-42.92,,
,,1513.5612,1513.5612,,
,,-47.92,-42.76,,
,,1536.9745,1536.9745,,
,,-44.15,-42.79,,
,,1560.75,1560.75,,
,,-41.12,-42.71,,
,,1584.8932,1584.8932,,
