MeasResult
PNOISE:LPL
A.16.09,N9010A
544 B25 B40 EXM FS1 MPB P44 RTL ,01
AllowZeroAtten,False
AM Rejection,True
Automatic Trigger Time,0.1
Automatic Trigger Time State,False
Average Mode,Repeat
Average Number,10
Average State,False
Cancellation,False
Carrier Frequency,2428232021.91098
Electrical Atten,0
Electrical Atten State,False
External Array Trigger Delay,1E-06,1E-06,1E-06,1E-06
External Array Trigger Delay State,False,False,False,False
External Array Trigger Level,1.2,1.2,1.2,1.2
External Array Trigger Slope,Positive,Positive,Positive,Positive
ExternalGainValueSelection,Preamp
ExtGainPreampDb,0
Input Port,RF
Internal Preamp,False
Internal Preamp Band,Low
Line Trigger Delay,1E-06
Line Trigger Delay State,False
Line Trigger Slope,Positive
Meas Type,PhaseNoise
Mechanical Atten,20
MechanicalAttenStepEnum,S2dB
Overdrive(Mech Atten),False
Periodic Timer Period,0.02
Periodic Timer Sync Source,None
Periodic Timer Trigger Delay,1E-06
Periodic Timer Trigger Delay State,False
Preselector Adjust,0
Reference Trace,3
RFBurst Trigger Delay,1E-06
RFBurst Trigger Delay State,False
RFBurst Trigger Level Abs,-20
RFBurst Trigger Level Rel,-6
RFBurst Trigger Level Type,Absolute
RFBurst Trigger Slope,Positive
Smoothing,4
Start Offset,100
Stop Offset,1000000
Threshold,0.01
Trace Type,Raw,Smoothed,Blank,Raw,Raw,Raw
Trigger Holdoff,0.1
Trigger Holdoff State,False
Trigger Source,Free
MeasResult1,MeasResult2,MeasResult3,MeasResult4,MeasResult5,MeasResult6
3.08,601,100,100,9.91E+37,100
2428232021.91098,601,-35.38,-31.97,,-35.38
60.0286245740879,0,101.5469,101.5469,,-31.97
1.04769714426141,,-31.78,-32.1,,9.91E+37
47980.2547240922,,103.1177,103.1177,,1000
-31.97,,-31.28,-32.35,,-43.34
-104.56,,104.7129,104.7129,,-41.22
,,-31.84,-32.32,,9.91E+37
,,106.3327,106.3327,,10000
,,-30.53,-32.33,,-50.86
,,107.9775,107.9775,,-49.26
,,-31.96,-32.37,,9.91E+37
,,109.6478,109.6478,,100000
,,-29.38,-32.44,,-64.7
,,111.344,111.344,,-64.74
,,-35.48,-32.5,,9.91E+37
,,113.0663,113.0663,,1000000
,,-32.01,-32.59,,-105.39
,,114.8154,114.8154,,-104.56
,,-32.45,-32.61,,9.91E+37
,,116.5914,116.5914,,
,,-32.75,-32.55,,
,,118.395,118.395,,
,,-35.16,-32.55,,
,,120.2264,120.2264,,
,,-32.68,-32.49,,
,,122.0862,122.0862,,
,,-30.15,-32.44,,
,,123.9748,123.9748,,
,,-33.21,-32.52,,
,,125.8925,125.8925,,
,,-33.43,-32.62,,
,,127.84,127.84,,
,,-31.38,-32.8,,
,,129.8175,129.8175,,
,,-37.25,-32.86,,
,,131.8257,131.8257,,
,,-32.09,-32.93,,
,,133.8649,133.8649,,
,,-34.12,-32.9,,
,,135.9356,135.9356,,
,,-31.8,-32.78,,
,,138.0384,138.0384,,
,,-30.3,-32.71,,
,,140.1737,140.1737,,
,,-32.31,-32.57,,
,,142.3421,142.3421,,
