Trace
Log Plot
A.16.09,N9010A
544 B25 B40 EXM FS1 MPB P44 RTL ,01
AllowZeroAtten,False
AM Rejection,True
Automatic Trigger Time,0.1
Automatic Trigger Time State,False
Average Mode,Repeat
Average Number,10
Average State,False
Cancellation,False
Carrier Frequency,1343138523.77972
Electrical Atten,0
Electrical Atten State,False
External Array Trigger Delay,1E-06,1E-06,1E-06,1E-06
External Array Trigger Delay State,False,False,False,False
External Array Trigger Level,1.2,1.2,1.2,1.2
External Array Trigger Slope,Positive,Positive,Positive,Positive
ExternalGainValueSelection,Preamp
ExtGainPreampDb,0
Input Port,RF
Internal Preamp,False
Internal Preamp Band,Low
Line Trigger Delay,1E-06
Line Trigger Delay State,False
Line Trigger Slope,Positive
Meas Type,PhaseNoise
Mechanical Atten,20
MechanicalAttenStepEnum,S2dB
Noise Floor Extension,False
Overdrive(Mech Atten),False
Periodic Timer Period,0.02
Periodic Timer Sync Source,None
Periodic Timer Trigger Delay,1E-06
Periodic Timer Trigger Delay State,False
Preselector Adjust,0
Reference Trace,3
RFBurst Trigger Delay,1E-06
RFBurst Trigger Delay State,False
RFBurst Trigger Level Abs,-20
RFBurst Trigger Level Rel,-6
RFBurst Trigger Level Type,Absolute
RFBurst Trigger Slope,Positive
Smoothing,4
Start Offset,100
Stop Offset,1000000
Threshold,0.01
Trace Type,Raw,Smoothed,Blank,Raw,Raw,Raw
Trigger Holdoff,0.1
Trigger Holdoff State,False
Trigger Source,Free
Trace Name,Trace1
DATA,
100,-34.4100399159968
101.546899243308,-31.3551483696652
103.117727459306,-28.385838365574
104.71285480509,-30.5333909888407
106.332657163716,-32.5445988915254
107.977516232771,-31.9838681227745
109.647819614319,-30.6100957607179
111.343960906236,-36.288733353435
113.066339794964,-30.4750708309478
114.815362149688,-29.5479772875307
116.591440117983,-30.5726692109866
118.39499222293,-32.1948629386456
120.226443461741,-36.610822291065
122.086225405907,-39.2436845792074
123.974776302894,-32.0546396039234
125.892541179417,-30.3711018878021
127.839971946302,-26.1548420497071
129.817527504985,-29.664652981695
131.825673855641,-30.1110377862918
133.864884206999,-31.0209625640635
135.935639087853,-30.4658602804862
138.038426460288,-28.3057131276362
140.173741834677,-32.1369821127867
142.342088386434,-30.8598392849738
144.543977074593,-33.1102713118185
146.779926762207,-32.8584581514012
149.05046433862,-34.4730576243747
151.356124843621,-35.2011739863852
153.697451593527,-34.0163826100654
156.074996309211,-33.4962816823349
158.489319246111,-32.5879466017801
160.940989326253,-31.6010777224374
163.430584272314,-38.5309274767906
165.958690743756,-34.2306497675782
168.525904475075,-32.022623010247
171.132830416178,-32.2001789867368
173.780082874938,-32.9764930669777
176.46828566195,-30.7739488680982
179.198072237533,-30.1487921066143
181.970085860998,-33.9954819314421
184.784979742229,-33.1146703693027
187.643417195609,-31.2523862518543
190.546071796325,-32.7451701055733
193.493627539095,-31.5314029088918
196.486778999347,-32.2136348338983
199.526231496888,-34.2732697182323
202.612701262114,-33.5734926290481
205.746915604784,-30.3935997724366
208.929613085404,-32.7203563848509
212.161543689268,-32.2241335858343
215.443469003188,-32.5631751958965
218.776162394955,-31.7279679464607
222.160409195581,-33.865659899769
225.597006884358,-31.3464850221812
229.086765276777,-32.7933538025954
232.630506715363,-33.0512982836073
236.229066263446,-33.0618382965535
239.883291901949,-31.6102514790294
243.594044729203,-35.2726884744727
247.362199163862,-32.8006779347307
251.188643150958,-36.9079481062906
255.074278371136,-34.0190937577146
259.020020453132,-34.0853269964366
263.026799189538,-33.2985092188121
267.095558755898,-35.6410576152723
271.227257933203,-33.4922138765079
275.422870333817,-36.9247492063352
279.683384630908,-30.6753439170063
284.009804791421,-34.170269266806
288.403150312661,-34.8705067528824
292.864456462524,-35.0879107165509
297.394774523461,-32.9777425266423
301.995172040202,-33.9557361468567
306.666733071318,-35.0639950328483
311.410558444676,-34.49478436
316.227766016838,-36.7427520267072
321.119490936482,-42.4845968507555
326.086885911893,-36.4733599632765
331.131121482591,-34.7153248906245
336.253386295163,-33.8902314563505
341.45488738336,-41.2203994557797
346.736850452532,-42.9546667393517
352.100520168452,-38.1898667150901
357.547160450621,-36.0247421119599
363.078054770101,-40.4682320787996
368.694506451958,-43.3403470278787
374.397838982381,-41.2809786971465
380.189396320561,-38.3470509475797
386.070543215381,-42.6742888419886
392.042665527015,-38.7081619949526
398.107170553497,-40.8415991525738
404.265487362344,-44.1039337735968
410.519067127308,-40.6302951765148
416.869383470335,-41.2081937938239
423.317932808821,-42.3519401408007
429.866234708228,-40.7836400240947
436.515832240166,-45.7123738054113
443.268292346009,-42.9047310569783
450.125206206134,-44.2683285023749
457.088189614875,-47.4340575428985
464.158883361278,-46.9730830225635
471.33895361574,-44.2161943599522
478.630092322638,-46.5637869695954
486.034017599022,-46.7639551305832
493.552474139481,-48.6599360339482
501.187233627272,-49.3367576012556
508.940095151809,-46.1389581113259
516.812885632604,-50.3338123947331
524.807460249773,-48.6494275144851
532.9257028812,-46.5061617472189
541.169526546464,-48.7958525247118
549.540873857625,-49.4401418087313
558.041717476997,-50.609684802026
566.674060581991,-48.0431833534714
575.439937337157,-47.3739447078471
584.341413373518,-52.4329185341894
593.380586275328,-50.9620066067826
602.559586074358,-50.5228558477376
611.880575751822,-54.7899034426869
621.345751748076,-50.5461729020369
630.957344480193,-50.6527154027215
640.717618867554,-47.8843045832922
650.628874865557,-53.4930873247632
660.693448007596,-52.6201158619936
670.913709955411,-49.2546028381713
681.292069057961,-53.2173616163937
691.830970918936,-51.0722237422995
702.532898973052,-49.96031689694
713.400375071256,-53.8629337447047
724.43596007499,-50.7607898211658
735.642254459641,-53.923146290698
747.021898927332,-53.959543986179
758.577575029184,-55.5499127258717
770.312005797215,-54.6109692244782
782.227956386003,-56.1261994126182
794.328234724282,-54.6886376784293
806.615692176613,-52.921129582261
819.093224215297,-51.9920286167478
831.763771102671,-56.3656860411562
844.630318583969,-54.7750063888369
857.695898590894,-55.2636183494783
870.96358995608,-54.7783794123221
884.4365191386,-56.4243224450306
898.117860960695,-52.5080441164203
912.01083935591,-54.8639710144831
926.118728128793,-57.6145184768831
940.444851726352,-61.7657060227609
954.992586021436,-55.9351412453664
969.765359108249,-52.6819653289148
984.766652110158,-56.9012790730856
1000,-58.6614144869814
1015.46899243308,-58.0839558033882
1031.17727459306,-57.2191696693344
1047.1285480509,-57.1116329364815
1063.32657163716,-57.9677540075071
1079.77516232771,-59.4257312352299
1096.47819614319,-60.8924114004227
1113.43960906236,-62.2126889094537
1130.66339794964,-57.2299933957672
1148.15362149688,-59.5659974526888
1165.91440117983,-62.1228297966304
1183.9499222293,-57.6821950560861
1202.26443461741,-60.6053186767347
1220.86225405907,-58.7779326652776
1239.74776302894,-59.6722627458599
1258.92541179417,-60.0923613862209
1278.39971946302,-60.0373225692874
1298.17527504985,-61.0464049629767
1318.25673855641,-62.2655485183673
1338.64884206999,-61.7541616353767
1359.35639087853,-63.5140861767215
1380.38426460288,-61.5831070929949
1401.73741834677,-64.7665809989024
1423.42088386434,-62.2652225335294
1445.43977074593,-63.0826460065905
1467.79926762207,-64.2657086546288
1490.5046433862,-63.6518493987699
