MeasResult
PNOISE:LPL
A.16.09,N9010A
544 B25 B40 EXM FS1 MPB P44 RTL ,01
AllowZeroAtten,False
AM Rejection,True
Automatic Trigger Time,0.1
Automatic Trigger Time State,False
Average Mode,Repeat
Average Number,10
Average State,False
Cancellation,False
Carrier Frequency,1467676750.53849
Electrical Atten,0
Electrical Atten State,False
External Array Trigger Delay,1E-06,1E-06,0,0
External Array Trigger Delay State,False,False,False,False
External Array Trigger Level,1.2,1.2,0,0
External Array Trigger Slope,Positive,Positive,Positive,Positive
ExternalGainValueSelection,Preamp
ExtGainPreampDb,0
Input Port,RF
Internal Preamp,False
Internal Preamp Band,Low
Line Trigger Delay,1E-06
Line Trigger Delay State,False
Line Trigger Slope,Positive
Meas Type,PhaseNoise
Mechanical Atten,20
MechanicalAttenStepEnum,S2dB
Overdrive(Mech Atten),False
Periodic Timer Period,0.02
Periodic Timer Sync Source,None
Periodic Timer Trigger Delay,1E-06
Periodic Timer Trigger Delay State,False
Preselector Adjust,0
Reference Trace,3
RFBurst Trigger Delay,1E-06
RFBurst Trigger Delay State,False
RFBurst Trigger Level Abs,-20
RFBurst Trigger Level Rel,-6
RFBurst Trigger Level Type,Absolute
RFBurst Trigger Slope,Positive
Smoothing,4
Start Offset,100
Stop Offset,1000000
Threshold,0.01
Trace Type,Raw,Smoothed,Blank,Raw,Raw,Raw
Trigger Holdoff,0.1
Trigger Holdoff State,False
Trigger Source,Free
MeasResult1,MeasResult2,MeasResult3,MeasResult4,MeasResult5,MeasResult6
-2.25,601,100,100,9.91E+37,100
1467676750.53849,601,-32.05,-32.36,,-32.05
54.6776481780469,0,101.5469,101.5469,,-32.36
0.954304987953996,,-33.23,-32.13,,9.91E+37
16324.2319445554,,103.1177,103.1177,,1000
-32.36,,-30.58,-31.77,,-41.58
-117.78,,104.7129,104.7129,,-40.06
,,-29.8,-31.6,,9.91E+37
,,106.3327,106.3327,,10000
,,-33.7,-31.51,,-50.92
,,107.9775,107.9775,,-50.28
,,-31.28,-31.56,,9.91E+37
,,109.6478,109.6478,,100000
,,-30.95,-31.81,,-76.49
,,111.344,111.344,,-75.79
,,-33.15,-32.1,,9.91E+37
,,113.0663,113.0663,,1000000
,,-31.15,-32.39,,-119.99
,,114.8154,114.8154,,-117.78
,,-31.22,-32.58,,9.91E+37
,,116.5914,116.5914,,
,,-27.73,-32.74,,
,,118.395,118.395,,
,,-30.65,-32.92,,
,,120.2264,120.2264,,
,,-30.45,-32.96,,
,,122.0862,122.0862,,
,,-33.13,-32.87,,
,,123.9748,123.9748,,
,,-32.85,-33.01,,
,,125.8925,125.8925,,
,,-35.46,-33.03,,
,,127.84,127.84,,
,,-38.08,-32.9,,
,,129.8175,129.8175,,
,,-40.14,-33.04,,
,,131.8257,131.8257,,
,,-35.1,-33.1,,
,,133.8649,133.8649,,
,,-35.64,-33.11,,
,,135.9356,135.9356,,
,,-33.02,-33.18,,
,,138.0384,138.0384,,
,,-33.27,-33.18,,
,,140.1737,140.1737,,
,,-34.45,-33.54,,
,,142.3421,142.3421,,
,,-33.1,-33.58,,
,,144.544,144.544,,
,,-31.11,-33.75,,
,,146.7799,146.7799,,
,,-33.84,-33.72,,
,,149.0505,149.0505,,
,,-30.26,-33.83,,
,,151.3561,151.3561,,
,,-30.66,-33.77,,
,,153.6975,153.6975,,
,,-34.47,-33.47,,
,,156.075,156.075,,
,,-32.36,-33.03,,
,,158.4893,158.4893,,
,,-33.4,-32.97,,
,,160.941,160.941,,
,,-32.62,-32.84,,
,,163.4306,163.4306,,
,,-31.27,-32.84,,
,,165.9587,165.9587,,
,,-36.15,-32.92,,
,,168.5259,168.5259,,
,,-31.46,-32.89,,
,,171.1328,171.1328,,
,,-34.37,-32.89,,
,,173.7801,173.7801,,
,,-32.43,-32.89,,
,,176.4683,176.4683,,
,,-35.39,-32.67,,
,,179.1981,179.1981,,
,,-34.22,-32.68,,
,,181.9701,181.9701,,
,,-31,-32.65,,
,,184.785,184.785,,
,,-30.06,-32.56,,
,,187.6434,187.6434,,
,,-33.73,-32.64,,
,,190.5461,190.5461,,
,,-32.71,-32.7,,
,,193.4936,193.4936,,
,,-32.94,-32.83,,
,,196.4868,196.4868,,
,,-35.17,-32.91,,
,,199.5262,199.5262,,
,,-33.82,-32.8,,
,,202.6127,202.6127,,
,,-32.94,-32.9,,
