MeasResult
PNOISE:LPL
A.16.09,N9010A
544 B25 B40 EXM FS1 MPB P44 RTL ,01
AllowZeroAtten,False
AM Rejection,True
Automatic Trigger Time,0.1
Automatic Trigger Time State,False
Average Mode,Repeat
Average Number,10
Average State,False
Cancellation,False
Carrier Frequency,2219781251.65701
Electrical Atten,0
Electrical Atten State,False
External Array Trigger Delay,1E-06,1E-06,0,0
External Array Trigger Delay State,False,False,False,False
External Array Trigger Level,1.2,1.2,0,0
External Array Trigger Slope,Positive,Positive,Positive,Positive
ExternalGainValueSelection,Preamp
ExtGainPreampDb,0
Input Port,RF
Internal Preamp,False
Internal Preamp Band,Low
Line Trigger Delay,1E-06
Line Trigger Delay State,False
Line Trigger Slope,Positive
Meas Type,PhaseNoise
Mechanical Atten,20
MechanicalAttenStepEnum,S2dB
Overdrive(Mech Atten),False
Periodic Timer Period,0.02
Periodic Timer Sync Source,None
Periodic Timer Trigger Delay,1E-06
Periodic Timer Trigger Delay State,False
Preselector Adjust,0
Reference Trace,3
RFBurst Trigger Delay,1E-06
RFBurst Trigger Delay State,False
RFBurst Trigger Level Abs,-20
RFBurst Trigger Level Rel,-6
RFBurst Trigger Level Type,Absolute
RFBurst Trigger Slope,Positive
Smoothing,4
Start Offset,100
Stop Offset,1000000
Threshold,0.01
Trace Type,Raw,Smoothed,Blank,Raw,Raw,Raw
Trigger Holdoff,0.1
Trigger Holdoff State,False
Trigger Source,Free
MeasResult1,MeasResult2,MeasResult3,MeasResult4,MeasResult5,MeasResult6
4.65,601,100,100,9.91E+37,100
2219781251.65701,601,-33,-31.74,,-33
35.6031876978139,0,101.5469,101.5469,,-31.74
0.621392849532393,,-31.6,-30.87,,9.91E+37
1470.79962380929,,103.1177,103.1177,,1000
-31.74,,-32.9,-30.86,,-43.13
-122.01,,104.7129,104.7129,,-44.19
,,-32.39,-31.06,,9.91E+37
,,106.3327,106.3327,,10000
,,-28.19,-31.13,,-79.78
,,107.9775,107.9775,,-81
,,-27.76,-31.27,,9.91E+37
,,109.6478,109.6478,,100000
,,-31.99,-31.37,,-107.91
,,111.344,111.344,,-106.48
,,-30.4,-31.52,,9.91E+37
,,113.0663,113.0663,,1000000
,,-27.28,-31.66,,-120.78
,,114.8154,114.8154,,-122.01
,,-32.22,-31.64,,9.91E+37
,,116.5914,116.5914,,
,,-31.14,-31.72,,
,,118.395,118.395,,
,,-30.69,-31.87,,
,,120.2264,120.2264,,
,,-37.61,-31.98,,
,,122.0862,122.0862,,
,,-33.71,-32.16,,
,,123.9748,123.9748,,
,,-30.92,-32.15,,
,,125.8925,125.8925,,
,,-34.22,-32.21,,
,,127.84,127.84,,
,,-29.23,-32.34,,
,,129.8175,129.8175,,
,,-34.22,-32.59,,
,,131.8257,131.8257,,
,,-34.76,-32.55,,
,,133.8649,133.8649,,
,,-33.05,-32.57,,
,,135.9356,135.9356,,
,,-28.73,-32.75,,
,,138.0384,138.0384,,
,,-32.65,-32.79,,
,,140.1737,140.1737,,
,,-34.29,-32.81,,
,,142.3421,142.3421,,
,,-35.49,-33.07,,
,,144.544,144.544,,
,,-35.72,-32.89,,
,,146.7799,146.7799,,
,,-32.87,-33.06,,
,,149.0505,149.0505,,
,,-33.66,-33.2,,
,,151.3561,151.3561,,
,,-31.12,-33.43,,
,,153.6975,153.6975,,
,,-33.59,-33.7,,
,,156.075,156.075,,
,,-31.11,-33.65,,
,,158.4893,158.4893,,
,,-30.89,-33.75,,
,,160.941,160.941,,
,,-31.3,-33.63,,
,,163.4306,163.4306,,
,,-33.19,-33.81,,
,,165.9587,165.9587,,
,,-31.6,-33.9,,
,,168.5259,168.5259,,
,,-36.67,-33.81,,
,,171.1328,171.1328,,
,,-33.48,-33.79,,
,,173.7801,173.7801,,
,,-37.65,-33.72,,
,,176.4683,176.4683,,
,,-34.1,-33.66,,
,,179.1981,179.1981,,
,,-39.51,-33.59,,
,,181.9701,181.9701,,
,,-35.55,-33.72,,
,,184.785,184.785,,
,,-33.06,-33.75,,
,,187.6434,187.6434,,
,,-36.9,-33.98,,
,,190.5461,190.5461,,
,,-30.46,-34.23,,
,,193.4936,193.4936,,
,,-32.81,-34.42,,
,,196.4868,196.4868,,
,,-34.66,-34.36,,
,,199.5262,199.5262,,
,,-32.19,-34.58,,
,,202.6127,202.6127,,
,,-35.08,-34.49,,
,,205.7469,205.7469,,
,,-34.15,-34.47,,
,,208.9296,208.9296,,
,,-31.47,-34.2,,
,,212.1615,212.1615,,
,,-32.02,-34.22,,
,,215.4435,215.4435,,
,,-34.2,-33.95,,
,,218.7762,218.7762,,
,,-34.15,-33.85,,
,,222.1604,222.1604,,
,,-36.4,-33.84,,
,,225.597,225.597,,
,,-36.81,-33.83,,
,,229.0868,229.0868,,
,,-35.54,-33.97,,
,,232.6305,232.6305,,
,,-31.94,-34.01,,
,,236.2291,236.2291,,
,,-36.65,-34.08,,
,,239.8833,239.8833,,
,,-34.49,-34.32,,
,,243.594,243.594,,
,,-33.16,-34.18,,
,,247.3622,247.3622,,
,,-31.39,-34.26,,
,,251.1886,251.1886,,
,,-34.43,-34.34,,
,,255.0743,255.0743,,
,,-33.35,-34.45,,
,,259.02,259.02,,
,,-33.33,-34.5,,
,,263.0268,263.0268,,
,,-32.8,-34.43,,
,,267.0956,267.0956,,
,,-36.58,-34.47,,
,,271.2273,271.2273,,
,,-33.72,-34.35,,
,,275.4229,275.4229,,
,,-33.7,-34.21,,
,,279.6834,279.6834,,
,,-36.29,-34.46,,
,,284.0098,284.0098,,
,,-37.72,-34.65,,
,,288.4032,288.4032,,
,,-31.82,-34.68,,
,,292.8645,292.8645,,
,,-35.95,-34.8,,
,,297.3948,297.3948,,
,,-33.33,-34.94,,
,,301.9952,301.9952,,
,,-34.54,-35.1,,
,,306.6667,306.6667,,
,,-35.32,-35.31,,
,,311.4106,311.4106,,
,,-32.73,-35.5,,
,,316.2278,316.2278,,
,,-37.14,-35.56,,
,,321.1195,321.1195,,
,,-34.21,-35.51,,
,,326.0869,326.0869,,
,,-32.27,-35.75,,
,,331.1311,331.1311,,
,,-37.55,-35.96,,
,,336.2534,336.2534,,
,,-41.11,-35.89,,
,,341.4549,341.4549,,
,,-35.2,-35.89,,
,,346.7369,346.7369,,
,,-35.82,-36.31,,
,,352.1005,352.1005,,
,,-34.63,-36.27,,
,,357.5472,357.5472,,
,,-38.09,-36.27,,
,,363.0781,363.0781,,
,,-38.29,-36.25,,
,,368.6945,368.6945,,
,,-37.72,-36.16,,
,,374.3978,374.3978,,
,,-34.14,-36.47,,
,,380.1894,380.1894,,
,,-35.41,-36.38,,
,,386.0705,386.0705,,
,,-39.19,-36.41,,
,,392.0427,392.0427,,
,,-38.72,-36.68,,
,,398.1072,398.1072,,
,,-34.55,-36.61,,
,,404.2655,404.2655,,
,,-37.81,-36.41,,
,,410.5191,410.5191,,
,,-41.34,-36.43,,
,,416.8694,416.8694,,
,,-35.03,-36.39,,
,,423.3179,423.3179,,
,,-33.32,-36.45,,
,,429.8662,429.8662,,
,,-34.07,-36.45,,
,,436.5158,436.5158,,
,,-33.34,-36.51,,
,,443.2683,443.2683,,
,,-39.82,-36.5,,
,,450.1252,450.1252,,
,,-35.15,-36.57,,
,,457.0882,457.0882,,
,,-34.88,-36.68,,
,,464.1589,464.1589,,
,,-38.41,-36.67,,
,,471.339,471.339,,
,,-35.98,-36.57,,
,,478.6301,478.6301,,
,,-36.6,-36.81,,
,,486.034,486.034,,
,,-35.63,-36.91,,
,,493.5525,493.5525,,
,,-34.97,-36.76,,
,,501.1872,501.1872,,
,,-35.84,-36.88,,
,,508.9401,508.9401,,
,,-38.21,-37.16,,
,,516.8129,516.8129,,
,,-39.53,-37.27,,
,,524.8075,524.8075,,
,,-37.63,-37.6,,
,,532.9257,532.9257,,
,,-35.78,-37.71,,
,,541.1695,541.1695,,
,,-37.88,-37.79,,
,,549.5409,549.5409,,
,,-38.92,-38.06,,
,,558.0417,558.0417,,
,,-36.37,-38.11,,
,,566.6741,566.6741,,
,,-40.04,-38.19,,
,,575.4399,575.4399,,
,,-40.22,-38.24,,
,,584.3414,584.3414,,
,,-37.85,-38.51,,
,,593.3806,593.3806,,
,,-37.85,-38.69,,
,,602.5596,602.5596,,
,,-39.67,-38.95,,
,,611.8806,611.8806,,
,,-36.63,-38.96,,
,,621.3458,621.3458,,
,,-40.87,-38.89,,
,,630.9573,630.9573,,
,,-42.54,-39.04,,
,,640.7176,640.7176,,
,,-36.79,-39.15,,
,,650.6289,650.6289,,
,,-41.22,-39.31,,
,,660.6934,660.6934,,
,,-39.48,-39.39,,
,,670.9137,670.9137,,
,,-37.8,-39.55,,
,,681.2921,681.2921,,
,,-37.71,-39.7,,
,,691.831,691.831,,
,,-41.83,-39.76,,
,,702.5329,702.5329,,
,,-39.27,-40.02,,
,,713.4004,713.4004,,
,,-41.73,-40.18,,
,,724.436,724.436,,
,,-38.48,-40.26,,
,,735.6423,735.6423,,
,,-37.96,-40.47,,
,,747.0219,747.0219,,
,,-41.06,-40.64,,
,,758.5776,758.5776,,
,,-38.32,-40.67,,
,,770.312,770.312,,
,,-41.6,-41,,
,,782.228,782.228,,
,,-40.61,-41.21,,
,,794.3282,794.3282,,
,,-40.11,-41.45,,
,,806.6157,806.6157,,
,,-43.59,-41.7,,
,,819.0932,819.0932,,
,,-41.42,-41.99,,
,,831.7638,831.7638,,
,,-43.99,-42.08,,
,,844.6303,844.6303,,
,,-41.47,-42.25,,
,,857.6959,857.6959,,
,,-41.48,-42.37,,
,,870.9636,870.9636,,
,,-41.44,-42.48,,
,,884.4365,884.4365,,
,,-44.72,-42.64,,
,,898.1179,898.1179,,
,,-43.41,-42.7,,
,,912.0108,912.0108,,
,,-44.26,-42.94,,
,,926.1187,926.1187,,
,,-46,-43.04,,
,,940.4449,940.4449,,
,,-45.05,-43.18,,
,,954.9926,954.9926,,
,,-43.66,-43.54,,
,,969.7654,969.7654,,
,,-44.37,-43.71,,
,,984.7667,984.7667,,
,,-43.81,-44.02,,
,,1000,1000,,
,,-43.13,-44.19,,
,,1015.469,1015.469,,
,,-44.51,-44.5,,
,,1031.1773,1031.1773,,
,,-41.06,-44.74,,
,,1047.1285,1047.1285,,
,,-41.68,-44.99,,
,,1063.3266,1063.3266,,
,,-42.38,-45.23,,
,,1079.7752,1079.7752,,
,,-43.9,-45.61,,
,,1096.4782,1096.4782,,
,,-43.8,-45.93,,
,,1113.4396,1113.4396,,
,,-43.8,-46.08,,
,,1130.6634,1130.6634,,
,,-48.41,-46.3,,
,,1148.1536,1148.1536,,
,,-47.61,-46.6,,
,,1165.9144,1165.9144,,
,,-48.43,-46.82,,
,,1183.9499,1183.9499,,
,,-47.91,-47.14,,
,,1202.2644,1202.2644,,
,,-48.59,-47.53,,
,,1220.8623,1220.8623,,
,,-47.1,-47.89,,
,,1239.7478,1239.7478,,
,,-47.24,-48.44,,
,,1258.9254,1258.9254,,
,,-50.12,-48.79,,
,,1278.3997,1278.3997,,
,,-52.09,-49.26,,
,,1298.1753,1298.1753,,
,,-51.79,-49.66,,
,,1318.2567,1318.2567,,
,,-49.47,-50.13,,
,,1338.6488,1338.6488,,
,,-49.93,-50.49,,
,,1359.3564,1359.3564,,
,,-50.7,-50.76,,
,,1380.3843,1380.3843,,
,,-49.47,-51.09,,
