MeasResult
PNOISE:LPL
A.16.09,N9010A
544 B25 B40 EXM FS1 MPB P44 RTL ,01
AllowZeroAtten,False
AM Rejection,True
Automatic Trigger Time,0.1
Automatic Trigger Time State,False
Average Mode,Repeat
Average Number,10
Average State,False
Cancellation,False
Carrier Frequency,1466952943.2031
Electrical Atten,0
Electrical Atten State,False
External Array Trigger Delay,1E-06,1E-06,1E-06,1E-06
External Array Trigger Delay State,False,False,False,False
External Array Trigger Level,1.2,1.2,1.2,1.2
External Array Trigger Slope,Positive,Positive,Positive,Positive
ExternalGainValueSelection,Preamp
ExtGainPreampDb,0
Input Port,RF
Internal Preamp,False
Internal Preamp Band,Low
Line Trigger Delay,1E-06
Line Trigger Delay State,False
Line Trigger Slope,Positive
Meas Type,PhaseNoise
Mechanical Atten,20
MechanicalAttenStepEnum,S2dB
Overdrive(Mech Atten),False
Periodic Timer Period,0.02
Periodic Timer Sync Source,None
Periodic Timer Trigger Delay,1E-06
Periodic Timer Trigger Delay State,False
Preselector Adjust,0
Reference Trace,3
RFBurst Trigger Delay,1E-06
RFBurst Trigger Delay State,False
RFBurst Trigger Level Abs,-20
RFBurst Trigger Level Rel,-6
RFBurst Trigger Level Type,Absolute
RFBurst Trigger Slope,Positive
Smoothing,4
Start Offset,100
Stop Offset,1000000
Threshold,0.01
Trace Type,Raw,Smoothed,Blank,Raw,Raw,Raw
Trigger Holdoff,0.1
Trigger Holdoff State,False
Trigger Source,Free
MeasResult1,MeasResult2,MeasResult3,MeasResult4,MeasResult5,MeasResult6
-0.88,601,100,100,9.91E+37,100
1466952943.2031,601,-29.64,-33,,-29.64
45.9139740837853,0,101.5469,101.5469,,-33
0.8013500204374,,-34.02,-33.23,,9.91E+37
21778.1745488519,,103.1177,103.1177,,1000
-33,,-33.31,-33.2,,-39.93
-94.15,,104.7129,104.7129,,-42.26
,,-35.57,-33.47,,9.91E+37
,,106.3327,106.3327,,10000
,,-33.32,-33.65,,-51.03
,,107.9775,107.9775,,-51.89
,,-32.94,-33.78,,9.91E+37
,,109.6478,109.6478,,100000
,,-37.3,-33.86,,-80.69
,,111.344,111.344,,-84.57
,,-34.98,-33.95,,9.91E+37
,,113.0663,113.0663,,1000000
,,-35.75,-33.97,,-96.92
,,114.8154,114.8154,,-94.15
,,-32.65,-34.01,,9.91E+37
,,116.5914,116.5914,,
,,-31.81,-34.04,,
,,118.395,118.395,,
,,-34.97,-34.13,,
,,120.2264,120.2264,,
,,-34.02,-34.36,,
,,122.0862,122.0862,,
,,-37.5,-34.22,,
,,123.9748,123.9748,,
,,-33.76,-34.36,,
,,125.8925,125.8925,,
,,-33.85,-34.45,,
,,127.84,127.84,,
,,-31.02,-34.64,,
,,129.8175,129.8175,,
,,-37.82,-34.58,,
,,131.8257,131.8257,,
,,-34.35,-34.61,,
,,133.8649,133.8649,,
,,-32.69,-34.42,,
,,135.9356,135.9356,,
,,-33.89,-34.33,,
,,138.0384,138.0384,,
,,-34.31,-34.36,,
,,140.1737,140.1737,,
,,-35.41,-34.49,,
,,142.3421,142.3421,,
,,-35.05,-34.41,,
,,144.544,144.544,,
,,-30.87,-34.43,,
,,146.7799,146.7799,,
,,-36.35,-34.27,,
,,149.0505,149.0505,,
,,-37.77,-34.2,,
,,151.3561,151.3561,,
,,-37.63,-34.26,,
,,153.6975,153.6975,,
,,-31.53,-34.48,,
,,156.075,156.075,,
,,-38.06,-34.17,,
,,158.4893,158.4893,,
,,-30.66,-34.18,,
,,160.941,160.941,,
,,-33.66,-34.34,,
,,163.4306,163.4306,,
,,-33.37,-34.26,,
,,165.9587,165.9587,,
,,-34.78,-34.25,,
,,168.5259,168.5259,,
,,-33.18,-34.15,,
,,171.1328,171.1328,,
,,-34.45,-34.09,,
,,173.7801,173.7801,,
,,-33.66,-34.32,,
,,176.4683,176.4683,,
,,-32.36,-34.16,,
,,179.1981,179.1981,,
,,-35.15,-34.13,,
,,181.9701,181.9701,,
,,-36,-33.94,,
,,184.785,184.785,,
,,-30.68,-34.12,,
,,187.6434,187.6434,,
,,-34.65,-33.89,,
,,190.5461,190.5461,,
,,-36.32,-34.03,,
,,193.4936,193.4936,,
,,-31.99,-34.04,,
,,196.4868,196.4868,,
,,-34.18,-34.2,,
,,199.5262,199.5262,,
,,-33.12,-34.3,,
,,202.6127,202.6127,,
,,-33.73,-34.35,,
,,205.7469,205.7469,,
,,-36.01,-34.4,,
,,208.9296,208.9296,,
,,-32.62,-34.51,,
,,212.1615,212.1615,,
,,-37.15,-34.62,,
,,215.4435,215.4435,,
,,-33.41,-34.57,,
,,218.7762,218.7762,,
,,-35.49,-34.72,,
,,222.1604,222.1604,,
,,-32.8,-34.97,,
,,225.597,225.597,,
,,-33.89,-35.01,,
,,229.0868,229.0868,,
,,-34.01,-34.9,,
,,232.6305,232.6305,,
,,-36.88,-35.08,,
,,236.2291,236.2291,,
,,-37.18,-35.12,,
,,239.8833,239.8833,,
,,-34.26,-35.18,,
,,243.594,243.594,,
,,-35.66,-35.29,,
,,247.3622,247.3622,,
,,-36.12,-35.16,,
,,251.1886,251.1886,,
,,-34.98,-35.23,,
,,255.0743,255.0743,,
,,-34,-35.26,,
,,259.02,259.02,,
,,-39.39,-35.25,,
,,263.0268,263.0268,,
,,-36.46,-35.51,,
,,267.0956,267.0956,,
,,-35.53,-35.75,,
,,271.2273,271.2273,,
,,-33.97,-36.06,,
,,275.4229,275.4229,,
,,-36.04,-36.45,,
,,279.6834,279.6834,,
,,-34.98,-36.6,,
,,284.0098,284.0098,,
,,-34.55,-36.71,,
,,288.4032,288.4032,,
,,-36.24,-36.94,,
,,292.8645,292.8645,,
,,-33.07,-36.99,,
,,297.3948,297.3948,,
,,-34.29,-37.05,,
,,301.9952,301.9952,,
,,-37.78,-37.07,,
,,306.6667,306.6667,,
,,-33.24,-37.33,,
,,311.4106,311.4106,,
,,-41.41,-37.36,,
,,316.2278,316.2278,,
,,-38.32,-37.37,,
,,321.1195,321.1195,,
,,-41.03,-37.3,,
,,326.0869,326.0869,,
,,-42.95,-37.48,,
,,331.1311,331.1311,,
,,-40.44,-37.69,,
,,336.2534,336.2534,,
,,-39.72,-37.94,,
,,341.4549,341.4549,,
,,-39.53,-38.11,,
,,346.7369,346.7369,,
,,-36.79,-38.2,,
,,352.1005,352.1005,,
,,-37.33,-38.47,,
,,357.5472,357.5472,,
,,-35.59,-38.69,,
,,363.0781,363.0781,,
,,-39.88,-38.72,,
,,368.6945,368.6945,,
,,-40.09,-38.93,,
,,374.3978,374.3978,,
,,-36.72,-38.8,,
,,380.1894,380.1894,,
,,-33.84,-38.81,,
,,386.0705,386.0705,,
,,-38.25,-38.71,,
,,392.0427,392.0427,,
,,-40.91,-38.61,,
,,398.1072,398.1072,,
,,-40.57,-38.63,,
,,404.2655,404.2655,,
,,-38.41,-38.81,,
,,410.5191,410.5191,,
,,-38.42,-38.78,,
,,416.8694,416.8694,,
