MeasResult
PNOISE:LPL
A.16.09,N9010A
544 B25 B40 EXM FS1 MPB P44 RTL ,01
AllowZeroAtten,False
AM Rejection,True
Automatic Trigger Time,0.1
Automatic Trigger Time State,False
Average Mode,Repeat
Average Number,10
Average State,False
Cancellation,False
Carrier Frequency,1504042244.54562
Electrical Atten,0
Electrical Atten State,False
External Array Trigger Delay,1E-06,1E-06,1E-06,1E-06
External Array Trigger Delay State,False,False,False,False
External Array Trigger Level,1.2,1.2,1.2,1.2
External Array Trigger Slope,Positive,Positive,Positive,Positive
ExternalGainValueSelection,Preamp
ExtGainPreampDb,0
Input Port,RF
Internal Preamp,False
Internal Preamp Band,Low
Line Trigger Delay,1E-06
Line Trigger Delay State,False
Line Trigger Slope,Positive
Meas Type,PhaseNoise
Mechanical Atten,20
MechanicalAttenStepEnum,S2dB
Overdrive(Mech Atten),False
Periodic Timer Period,0.02
Periodic Timer Sync Source,None
Periodic Timer Trigger Delay,1E-06
Periodic Timer Trigger Delay State,False
Preselector Adjust,0
Reference Trace,3
RFBurst Trigger Delay,1E-06
RFBurst Trigger Delay State,False
RFBurst Trigger Level Abs,-20
RFBurst Trigger Level Rel,-6
RFBurst Trigger Level Type,Absolute
RFBurst Trigger Slope,Positive
Smoothing,4
Start Offset,100
Stop Offset,1000000
Threshold,0.01
Trace Type,Raw,Smoothed,Blank,Raw,Raw,Raw
Trigger Holdoff,0.1
Trigger Holdoff State,False
Trigger Source,Free
MeasResult1,MeasResult2,MeasResult3,MeasResult4,MeasResult5,MeasResult6
3.24,601,100,100,9.91E+37,100
1504042244.54562,601,-34.79,-32.26,,-34.79
39.9879938289073,0,101.5469,101.5469,,-32.26
0.697922153581606,,-30.29,-32.03,,9.91E+37
1444.32972400055,,103.1177,103.1177,,1000
-32.26,,-31.26,-31.71,,-49.52
-122.42,,104.7129,104.7129,,-46.6
,,-30.57,-31.62,,9.91E+37
,,106.3327,106.3327,,10000
,,-31.73,-31.43,,-86.48
,,107.9775,107.9775,,-86.24
,,-30.9,-31.41,,9.91E+37
,,109.6478,109.6478,,100000
,,-32.27,-31.37,,-103.96
,,111.344,111.344,,-105.81
,,-32.42,-31.3,,9.91E+37
,,113.0663,113.0663,,1000000
,,-28.18,-31.24,,-121.23
,,114.8154,114.8154,,-122.42
,,-30.2,-31.24,,9.91E+37
,,116.5914,116.5914,,
,,-31.64,-31.34,,
,,118.395,118.395,,
,,-30.06,-31.45,,
,,120.2264,120.2264,,
,,-30.39,-31.18,,
,,122.0862,122.0862,,
,,-32.36,-31.1,,
,,123.9748,123.9748,,
,,-29.9,-31.19,,
,,125.8925,125.8925,,
,,-34.87,-31.14,,
,,127.84,127.84,,
,,-31.42,-30.99,,
,,129.8175,129.8175,,
,,-28.9,-31,,
,,131.8257,131.8257,,
,,-30.03,-30.83,,
,,133.8649,133.8649,,
,,-30.7,-30.78,,
,,135.9356,135.9356,,
,,-32.45,-30.95,,
,,138.0384,138.0384,,
,,-34.08,-31.27,,
,,140.1737,140.1737,,
,,-33.97,-31.12,,
,,142.3421,142.3421,,
,,-28.46,-31.03,,
,,144.544,144.544,,
,,-28.49,-30.94,,
,,146.7799,146.7799,,
,,-33.37,-30.75,,
,,149.0505,149.0505,,
,,-29.51,-31.01,,
,,151.3561,151.3561,,
,,-28.14,-30.8,,
,,153.6975,153.6975,,
,,-31.22,-30.75,,
,,156.075,156.075,,
,,-28.23,-30.93,,
,,158.4893,158.4893,,
,,-31.38,-30.99,,
,,160.941,160.941,,
,,-32.06,-31.03,,
,,163.4306,163.4306,,
,,-37.56,-30.92,,
,,165.9587,165.9587,,
,,-28.23,-30.87,,
,,168.5259,168.5259,,
,,-27.92,-30.89,,
,,171.1328,171.1328,,
,,-28.46,-31.07,,
,,173.7801,173.7801,,
,,-27.91,-31.13,,
,,176.4683,176.4683,,
,,-35.89,-30.99,,
,,179.1981,179.1981,,
,,-30.12,-31.02,,
,,181.9701,181.9701,,
,,-30.22,-31.13,,
,,184.785,184.785,,
,,-33.04,-31.1,,
,,187.6434,187.6434,,
,,-31.43,-31.22,,
,,190.5461,190.5461,,
,,-31.61,-31.2,,
,,193.4936,193.4936,,
,,-29.97,-31.1,,
,,196.4868,196.4868,,
,,-32.76,-30.81,,
,,199.5262,199.5262,,
,,-34.48,-31.1,,
,,202.6127,202.6127,,
