MeasResult
PNOISE:LPL
A.16.09,N9010A
544 B25 B40 EXM FS1 MPB P44 RTL ,01
AllowZeroAtten,False
AM Rejection,True
Automatic Trigger Time,0.1
Automatic Trigger Time State,False
Average Mode,Repeat
Average Number,10
Average State,False
Cancellation,False
Carrier Frequency,1504289480.09684
Electrical Atten,0
Electrical Atten State,False
External Array Trigger Delay,1E-06,1E-06,1E-06,1E-06
External Array Trigger Delay State,False,False,False,False
External Array Trigger Level,1.2,1.2,1.2,1.2
External Array Trigger Slope,Positive,Positive,Positive,Positive
ExternalGainValueSelection,Preamp
ExtGainPreampDb,0
Input Port,RF
Internal Preamp,False
Internal Preamp Band,Low
Line Trigger Delay,1E-06
Line Trigger Delay State,False
Line Trigger Slope,Positive
Meas Type,PhaseNoise
Mechanical Atten,20
MechanicalAttenStepEnum,S2dB
Overdrive(Mech Atten),False
Periodic Timer Period,0.02
Periodic Timer Sync Source,None
Periodic Timer Trigger Delay,1E-06
Periodic Timer Trigger Delay State,False
Preselector Adjust,0
Reference Trace,3
RFBurst Trigger Delay,1E-06
RFBurst Trigger Delay State,False
RFBurst Trigger Level Abs,-20
RFBurst Trigger Level Rel,-6
RFBurst Trigger Level Type,Absolute
RFBurst Trigger Slope,Positive
Smoothing,4
Start Offset,100
Stop Offset,1000000
Threshold,0.01
Trace Type,Raw,Smoothed,Blank,Raw,Raw,Raw
Trigger Holdoff,0.1
Trigger Holdoff State,False
Trigger Source,Free
MeasResult1,MeasResult2,MeasResult3,MeasResult4,MeasResult5,MeasResult6
3.23,601,100,100,9.91E+37,100
1504289480.09684,601,-31.62,-32.49,,-31.62
27.4752549752098,0,101.5469,101.5469,,-32.49
0.479533662142364,,-29.09,-32.33,,9.91E+37
1615.36886315987,,103.1177,103.1177,,1000
-32.49,,-35.19,-32.46,,-54.9
-121.03,,104.7129,104.7129,,-57.86
,,-33.48,-32.52,,9.91E+37
,,106.3327,106.3327,,10000
,,-32.18,-32.56,,-89.25
,,107.9775,107.9775,,-87.7
,,-30.94,-32.64,,9.91E+37
,,109.6478,109.6478,,100000
,,-33.99,-32.76,,-105.17
,,111.344,111.344,,-103.67
,,-38.08,-32.82,,9.91E+37
,,113.0663,113.0663,,1000000
,,-33.23,-32.85,,-120.18
,,114.8154,114.8154,,-121.03
,,-31.63,-32.85,,9.91E+37
,,116.5914,116.5914,,
,,-28.55,-32.98,,
,,118.395,118.395,,
,,-32.96,-32.94,,
,,120.2264,120.2264,,
,,-34.69,-32.99,,
,,122.0862,122.0862,,
,,-32.57,-33.22,,
,,123.9748,123.9748,,
,,-33.02,-33.17,,
,,125.8925,125.8925,,
,,-34.47,-33.19,,
,,127.84,127.84,,
,,-36.13,-33.28,,
,,129.8175,129.8175,,
,,-32.69,-33.34,,
,,131.8257,131.8257,,
,,-31.99,-33.18,,
,,133.8649,133.8649,,
,,-31.89,-32.95,,
,,135.9356,135.9356,,
,,-32.19,-32.99,,
,,138.0384,138.0384,,
,,-35.64,-32.96,,
,,140.1737,140.1737,,
,,-31.43,-33.19,,
,,142.3421,142.3421,,
