MeasResult
PNOISE:LPL
A.16.09,N9010A
544 B25 B40 EXM FS1 MPB P44 RTL ,01
AllowZeroAtten,False
AM Rejection,True
Automatic Trigger Time,0.1
Automatic Trigger Time State,False
Average Mode,Repeat
Average Number,10
Average State,False
Cancellation,False
Carrier Frequency,2428615104.89869
Electrical Atten,0
Electrical Atten State,False
External Array Trigger Delay,1E-06,1E-06,1E-06,1E-06
External Array Trigger Delay State,False,False,False,False
External Array Trigger Level,1.2,1.2,1.2,1.2
External Array Trigger Slope,Positive,Positive,Positive,Positive
ExternalGainValueSelection,Preamp
ExtGainPreampDb,0
Input Port,RF
Internal Preamp,False
Internal Preamp Band,Low
Line Trigger Delay,1E-06
Line Trigger Delay State,False
Line Trigger Slope,Positive
Meas Type,PhaseNoise
Mechanical Atten,20
MechanicalAttenStepEnum,S2dB
Overdrive(Mech Atten),False
Periodic Timer Period,0.02
Periodic Timer Sync Source,None
Periodic Timer Trigger Delay,1E-06
Periodic Timer Trigger Delay State,False
Preselector Adjust,0
Reference Trace,3
RFBurst Trigger Delay,1E-06
RFBurst Trigger Delay State,False
RFBurst Trigger Level Abs,-20
RFBurst Trigger Level Rel,-6
RFBurst Trigger Level Type,Absolute
RFBurst Trigger Slope,Positive
Smoothing,4
Start Offset,100
Stop Offset,1000000
Threshold,0.01
Trace Type,Raw,Smoothed,Blank,Raw,Raw,Raw
Trigger Holdoff,0.1
Trigger Holdoff State,False
Trigger Source,Free
MeasResult1,MeasResult2,MeasResult3,MeasResult4,MeasResult5,MeasResult6
2.93,601,100,100,9.91E+37,100
2428615104.89869,601,-29.03,-30.13,,-29.03
61.3949887421373,0,101.5469,101.5469,,-30.13
1.07154469777515,,-27.96,-29.36,,9.91E+37
47682.4964154649,,103.1177,103.1177,,1000
-30.13,,-32.53,-29.14,,-40.61
-105.62,,104.7129,104.7129,,-39.87
,,-33.4,-29.06,,9.91E+37
,,106.3327,106.3327,,10000
,,-27.89,-29.05,,-50.4
,,107.9775,107.9775,,-50.17
,,-26.65,-29.06,,9.91E+37
,,109.6478,109.6478,,100000
,,-26.44,-29.01,,-62.78
,,111.344,111.344,,-64.83
,,-28.89,-28.94,,9.91E+37
,,113.0663,113.0663,,1000000
,,-26.86,-28.92,,-104.97
,,114.8154,114.8154,,-105.62
,,-29.06,-28.91,,9.91E+37
,,116.5914,116.5914,,
,,-26.6,-28.89,,
,,118.395,118.395,,
,,-27.81,-29.03,,
,,120.2264,120.2264,,
,,-32.33,-29.07,,
,,122.0862,122.0862,,
,,-30.31,-29.23,,
,,123.9748,123.9748,,
,,-30.04,-29.18,,
,,125.8925,125.8925,,
,,-29.68,-29.04,,
,,127.84,127.84,,
,,-25.55,-29.11,,
,,129.8175,129.8175,,
,,-28.85,-29.24,,
,,131.8257,131.8257,,
,,-27.66,-29.5,,
,,133.8649,133.8649,,
,,-29.49,-29.59,,
,,135.9356,135.9356,,
,,-29.36,-29.88,,
,,138.0384,138.0384,,
,,-28.98,-29.85,,
,,140.1737,140.1737,,
,,-32.42,-29.99,,
,,142.3421,142.3421,,
,,-29.91,-30.06,,
,,144.544,144.544,,
,,-31.5,-29.97,,
,,146.7799,146.7799,,
,,-31.4,-30.16,,
,,149.0505,149.0505,,
,,-30.32,-30.29,,
,,151.3561,151.3561,,
,,-29.52,-30.35,,
,,153.6975,153.6975,,
,,-29.58,-30.67,,
,,156.075,156.075,,
,,-32.48,-30.86,,
,,158.4893,158.4893,,
,,-30.77,-31.27,,
,,160.941,160.941,,
,,-33.66,-31.49,,
,,163.4306,163.4306,,
,,-28.41,-31.67,,
,,165.9587,165.9587,,
,,-29.71,-31.78,,
,,168.5259,168.5259,,
,,-29.39,-31.79,,
,,171.1328,171.1328,,
,,-30.32,-31.86,,
,,173.7801,173.7801,,
,,-34.74,-31.79,,
,,176.4683,176.4683,,
,,-32.92,-31.84,,
,,179.1981,179.1981,,
,,-31.04,-31.96,,
,,181.9701,181.9701,,
,,-33.04,-32.07,,
,,184.785,184.785,,
,,-33.05,-32.16,,
,,187.6434,187.6434,,
,,-37.12,-32.12,,
,,190.5461,190.5461,,
,,-34.66,-32.19,,
,,193.4936,193.4936,,
,,-33.52,-32.34,,
,,196.4868,196.4868,,
,,-31.51,-32.46,,
,,199.5262,199.5262,,
,,-32.68,-32.62,,
,,202.6127,202.6127,,
,,-31.32,-32.76,,
,,205.7469,205.7469,,
,,-30.03,-32.83,,
,,208.9296,208.9296,,
,,-32.42,-32.76,,
,,212.1615,212.1615,,
,,-33.2,-32.76,,
,,215.4435,215.4435,,
,,-32.05,-32.8,,
,,218.7762,218.7762,,
,,-31.66,-32.81,,
,,222.1604,222.1604,,
,,-31.42,-32.93,,
,,225.597,225.597,,
,,-32.51,-32.75,,
,,229.0868,229.0868,,
,,-37.18,-32.63,,
,,232.6305,232.6305,,
,,-31.18,-32.76,,
,,236.2291,236.2291,,
,,-33.39,-32.97,,
,,239.8833,239.8833,,
,,-32.49,-32.97,,
,,243.594,243.594,,
,,-31.92,-33.22,,
,,247.3622,247.3622,,
,,-33.17,-33.33,,
,,251.1886,251.1886,,
,,-32.89,-33.33,,
,,255.0743,255.0743,,
,,-31.98,-33.39,,
,,259.02,259.02,,
,,-33.19,-33.47,,
,,263.0268,263.0268,,
,,-35.87,-33.68,,
,,267.0956,267.0956,,
,,-33.06,-34.01,,
,,271.2273,271.2273,,
,,-31.78,-34.11,,
,,275.4229,275.4229,,
,,-36.63,-34.28,,
,,279.6834,279.6834,,
,,-36.21,-34.49,,
,,284.0098,284.0098,,
,,-32.87,-34.72,,
,,288.4032,288.4032,,
,,-36.9,-35.05,,
,,292.8645,292.8645,,
,,-32.74,-35.26,,
,,297.3948,297.3948,,
,,-32.22,-35.28,,
,,301.9952,301.9952,,
,,-34.72,-35.34,,
,,306.6667,306.6667,,
,,-33.85,-35.46,,
,,311.4106,311.4106,,
,,-36.41,-35.47,,
,,316.2278,316.2278,,
,,-39.06,-35.36,,
,,321.1195,321.1195,,
