MeasResult
PNOISE:LPL
A.16.09,N9010A
544 B25 B40 EXM FS1 MPB P44 RTL ,01
AllowZeroAtten,False
AM Rejection,True
Automatic Trigger Time,0.1
Automatic Trigger Time State,False
Average Mode,Repeat
Average Number,10
Average State,False
Cancellation,False
Carrier Frequency,1345464662.08589
Electrical Atten,0
Electrical Atten State,False
External Array Trigger Delay,1E-06,1E-06,0,0
External Array Trigger Delay State,False,False,False,False
External Array Trigger Level,1.2,1.2,0,0
External Array Trigger Slope,Positive,Positive,Positive,Positive
ExternalGainValueSelection,Preamp
ExtGainPreampDb,0
Input Port,RF
Internal Preamp,False
Internal Preamp Band,Low
Line Trigger Delay,1E-06
Line Trigger Delay State,False
Line Trigger Slope,Positive
Meas Type,PhaseNoise
Mechanical Atten,30
MechanicalAttenStepEnum,S2dB
Overdrive(Mech Atten),False
Periodic Timer Period,0.02
Periodic Timer Sync Source,None
Periodic Timer Trigger Delay,1E-06
Periodic Timer Trigger Delay State,False
Preselector Adjust,0
Reference Trace,3
RFBurst Trigger Delay,1E-06
RFBurst Trigger Delay State,False
RFBurst Trigger Level Abs,-20
RFBurst Trigger Level Rel,-6
RFBurst Trigger Level Type,Absolute
RFBurst Trigger Slope,Positive
Smoothing,4
Start Offset,100
Stop Offset,1000000
Threshold,0.01
Trace Type,Raw,Smoothed,Blank,Raw,Raw,Raw
Trigger Holdoff,0.1
Trigger Holdoff State,False
Trigger Source,Free
MeasResult1,MeasResult2,MeasResult3,MeasResult4,MeasResult5,MeasResult6
3.85,601,100,100,9.91E+37,100
1345464662.08589,601,-34,-31.65,,-34
29.5738292159953,0,101.5469,101.5469,,-31.65
0.51616069224161,,-31.7,-32.01,,9.91E+37
1463.94174529724,,103.1177,103.1177,,1000
-31.65,,-30.1,-32.1,,-56.86
-121.67,,104.7129,104.7129,,-55.1
,,-29.1,-31.92,,9.91E+37
,,106.3327,106.3327,,10000
,,-30.42,-31.83,,-83.99
,,107.9775,107.9775,,-82.8
,,-34.37,-31.81,,9.91E+37
,,109.6478,109.6478,,100000
,,-34.33,-31.8,,-91.79
,,111.344,111.344,,-98.64
,,-31.34,-31.79,,9.91E+37
,,113.0663,113.0663,,1000000
,,-34.16,-31.76,,-123.6
,,114.8154,114.8154,,-121.67
,,-29.57,-31.7,,9.91E+37
,,116.5914,116.5914,,
,,-30.86,-31.64,,
,,118.395,118.395,,
,,-34.14,-31.77,,
,,120.2264,120.2264,,
,,-29.06,-31.85,,
,,122.0862,122.0862,,
,,-29.08,-31.86,,
,,123.9748,123.9748,,
,,-32.86,-31.82,,
,,125.8925,125.8925,,
,,-33.05,-31.79,,
,,127.84,127.84,,
,,-30.08,-31.8,,
,,129.8175,129.8175,,
,,-34.39,-31.69,,
,,131.8257,131.8257,,
,,-31.41,-31.71,,
,,133.8649,133.8649,,
,,-30.66,-31.73,,
,,135.9356,135.9356,,
,,-30.44,-31.6,,
,,138.0384,138.0384,,
,,-30.65,-31.98,,
,,140.1737,140.1737,,
,,-34.85,-32.13,,
,,142.3421,142.3421,,
,,-35.95,-32.07,,
,,144.544,144.544,,
,,-31.87,-32.3,,
,,146.7799,146.7799,,
,,-29.3,-32.55,,
,,149.0505,149.0505,,
,,-28.31,-32.67,,
,,151.3561,151.3561,,
,,-30.58,-32.56,,
,,153.6975,153.6975,,
,,-31.9,-32.7,,
,,156.075,156.075,,
,,-34.9,-32.76,,
,,158.4893,158.4893,,
,,-31.7,-32.78,,
,,160.941,160.941,,
,,-31.25,-32.92,,
,,163.4306,163.4306,,
,,-38.3,-32.94,,
,,165.9587,165.9587,,
,,-34.26,-32.94,,
,,168.5259,168.5259,,
,,-32.65,-32.97,,
,,171.1328,171.1328,,
,,-34.51,-32.93,,
,,173.7801,173.7801,,
,,-34.85,-33.19,,
,,176.4683,176.4683,,
,,-35.58,-33.38,,
,,179.1981,179.1981,,
,,-30.61,-33.7,,
,,181.9701,181.9701,,
,,-33.19,-33.96,,
,,184.785,184.785,,
,,-35.7,-34.03,,
,,187.6434,187.6434,,
,,-31.85,-34.02,,
,,190.5461,190.5461,,
,,-33.9,-34.25,,
,,193.4936,193.4936,,
,,-31.01,-34.54,,
,,196.4868,196.4868,,
,,-30.64,-34.26,,
,,199.5262,199.5262,,
,,-35.55,-34.15,,
,,202.6127,202.6127,,
,,-34.99,-34.15,,
,,205.7469,205.7469,,
,,-37.91,-34.15,,
,,208.9296,208.9296,,
,,-33.64,-34.1,,
,,212.1615,212.1615,,
,,-35.72,-34.09,,
,,215.4435,215.4435,,
,,-36.54,-34.35,,
,,218.7762,218.7762,,
,,-33.51,-34.38,,
,,222.1604,222.1604,,
,,-34.67,-34.28,,
,,225.597,225.597,,
,,-36.9,-34.43,,
,,229.0868,229.0868,,
,,-37.87,-34.57,,
,,232.6305,232.6305,,
,,-32.01,-34.89,,
,,236.2291,236.2291,,
,,-31.66,-35.21,,
,,239.8833,239.8833,,
,,-32.75,-35.19,,
,,243.594,243.594,,
,,-34.41,-35.25,,
,,247.3622,247.3622,,
,,-33.79,-35.18,,
,,251.1886,251.1886,,
,,-35.23,-35.37,,
,,255.0743,255.0743,,
,,-36.64,-35.45,,
,,259.02,259.02,,
,,-33.83,-35.44,,
,,263.0268,263.0268,,
,,-33.35,-35.45,,
,,267.0956,267.0956,,
,,-35.4,-35.44,,
,,271.2273,271.2273,,
,,-37.12,-35.37,,
,,275.4229,275.4229,,
,,-38.22,-35.11,,
,,279.6834,279.6834,,
,,-38.2,-35.19,,
,,284.0098,284.0098,,
,,-35.1,-35.47,,
,,288.4032,288.4032,,
,,-36.3,-35.49,,
,,292.8645,292.8645,,
,,-36.34,-35.52,,
,,297.3948,297.3948,,
,,-37.95,-35.44,,
,,301.9952,301.9952,,
,,-37.53,-35.36,,
,,306.6667,306.6667,,
,,-36.32,-35.32,,
,,311.4106,311.4106,,
,,-33.71,-35.61,,
,,316.2278,316.2278,,
,,-34.53,-35.76,,
,,321.1195,321.1195,,
,,-35.29,-35.73,,
,,326.0869,326.0869,,
,,-31.9,-35.79,,
,,331.1311,331.1311,,
,,-33.76,-35.74,,
,,336.2534,336.2534,,
