MeasResult
PNOISE:LPL
A.16.09,N9010A
544 B25 B40 EXM FS1 MPB P44 RTL ,01
AllowZeroAtten,False
AM Rejection,True
Automatic Trigger Time,0.1
Automatic Trigger Time State,False
Average Mode,Repeat
Average Number,10
Average State,False
Cancellation,False
Carrier Frequency,1345104730.47146
Electrical Atten,0
Electrical Atten State,False
External Array Trigger Delay,1E-06,1E-06,1E-06,1E-06
External Array Trigger Delay State,False,False,False,False
External Array Trigger Level,1.2,1.2,1.2,1.2
External Array Trigger Slope,Positive,Positive,Positive,Positive
ExternalGainValueSelection,Preamp
ExtGainPreampDb,0
Input Port,RF
Internal Preamp,False
Internal Preamp Band,Low
Line Trigger Delay,1E-06
Line Trigger Delay State,False
Line Trigger Slope,Positive
Meas Type,PhaseNoise
Mechanical Atten,30
MechanicalAttenStepEnum,S2dB
Overdrive(Mech Atten),False
Periodic Timer Period,0.02
Periodic Timer Sync Source,None
Periodic Timer Trigger Delay,1E-06
Periodic Timer Trigger Delay State,False
Preselector Adjust,0
Reference Trace,3
RFBurst Trigger Delay,1E-06
RFBurst Trigger Delay State,False
RFBurst Trigger Level Abs,-20
RFBurst Trigger Level Rel,-6
RFBurst Trigger Level Type,Absolute
RFBurst Trigger Slope,Positive
Smoothing,4
Start Offset,100
Stop Offset,1000000
Threshold,0.01
Trace Type,Raw,Smoothed,Blank,Raw,Raw,Raw
Trigger Holdoff,0.1
Trigger Holdoff State,False
Trigger Source,Free
MeasResult1,MeasResult2,MeasResult3,MeasResult4,MeasResult5,MeasResult6
3.85,601,100,100,9.91E+37,100
1345104730.47146,601,-31.97,-31.38,,-31.97
22.9703245748216,0,101.5469,101.5469,,-31.38
0.400907794082404,,-32.51,-31.55,,9.91E+37
717.292202596216,,103.1177,103.1177,,1000
-31.38,,-31.44,-31.72,,-63.11
-126.04,,104.7129,104.7129,,-65.15
,,-29.74,-31.81,,9.91E+37
,,106.3327,106.3327,,10000
,,-29.4,-31.77,,-90.6
,,107.9775,107.9775,,-88.54
,,-30,-31.71,,9.91E+37
,,109.6478,109.6478,,100000
,,-33.36,-31.7,,-107.75
,,111.344,111.344,,-108.55
,,-31.12,-31.61,,9.91E+37
,,113.0663,113.0663,,1000000
,,-40.25,-31.66,,-128.44
,,114.8154,114.8154,,-126.04
,,-33.51,-31.76,,9.91E+37
,,116.5914,116.5914,,
,,-29.17,-31.8,,
,,118.395,118.395,,
,,-30.26,-31.8,,
,,120.2264,120.2264,,
,,-31.61,-31.9,,
,,122.0862,122.0862,,
,,-30.49,-31.87,,
,,123.9748,123.9748,,
,,-29.51,-31.81,,
,,125.8925,125.8925,,
,,-30.93,-31.82,,
,,127.84,127.84,,
,,-34.73,-32.04,,
,,129.8175,129.8175,,
,,-28.97,-32.08,,
,,131.8257,131.8257,,
,,-28.74,-32.14,,
,,133.8649,133.8649,,
,,-34.99,-32.2,,
,,135.9356,135.9356,,
,,-34.97,-31.91,,
,,138.0384,138.0384,,
,,-32.19,-32.01,,
,,140.1737,140.1737,,
,,-31.45,-32.25,,
,,142.3421,142.3421,,
,,-34.33,-32.13,,
,,144.544,144.544,,
,,-31.77,-31.98,,
,,146.7799,146.7799,,
,,-30.11,-31.96,,
,,149.0505,149.0505,,
,,-30.02,-31.98,,
,,151.3561,151.3561,,
,,-34.39,-32.04,,
,,153.6975,153.6975,,
,,-31.02,-31.9,,
,,156.075,156.075,,
,,-34.76,-32.03,,
,,158.4893,158.4893,,
,,-32.45,-32.23,,
,,160.941,160.941,,
,,-33.51,-32.07,,
,,163.4306,163.4306,,
,,-35.81,-32.03,,
,,165.9587,165.9587,,
,,-34.84,-32.02,,
,,168.5259,168.5259,,
,,-27.35,-32.23,,
,,171.1328,171.1328,,
,,-28.23,-32.32,,
,,173.7801,173.7801,,
,,-29.95,-32.57,,
,,176.4683,176.4683,,
,,-29.99,-32.8,,
,,179.1981,179.1981,,
,,-32.42,-32.85,,
,,181.9701,181.9701,,
,,-31.43,-32.74,,
,,184.785,184.785,,
,,-31.91,-32.88,,
,,187.6434,187.6434,,
,,-33.46,-32.83,,
,,190.5461,190.5461,,
,,-31.2,-33,,
,,193.4936,193.4936,,
,,-34.09,-33.19,,
,,196.4868,196.4868,,
,,-32.06,-33.26,,
,,199.5262,199.5262,,
,,-36.25,-33.37,,
,,202.6127,202.6127,,
,,-36.25,-33.71,,
,,205.7469,205.7469,,
,,-37.54,-34.01,,
,,208.9296,208.9296,,
,,-35.58,-34.39,,
,,212.1615,212.1615,,
,,-31.08,-34.76,,
,,215.4435,215.4435,,
,,-31.86,-35.01,,
,,218.7762,218.7762,,
,,-34.14,-35.37,,
,,222.1604,222.1604,,
,,-33.65,-35.81,,
,,225.597,225.597,,
,,-36.47,-36.1,,
,,229.0868,229.0868,,
,,-37.82,-36.58,,
,,232.6305,232.6305,,
,,-37.52,-36.84,,
,,236.2291,236.2291,,
,,-37.29,-37.29,,
,,239.8833,239.8833,,
,,-35.25,-37.53,,
,,243.594,243.594,,
,,-34.91,-37.73,,
,,247.3622,247.3622,,
,,-38.73,-37.91,,
,,251.1886,251.1886,,
,,-38.56,-38.14,,
,,255.0743,255.0743,,
,,-38.22,-38.71,,
,,259.02,259.02,,
,,-39.59,-39.11,,
,,263.0268,263.0268,,
,,-42.11,-39.67,,
,,267.0956,267.0956,,
,,-40.03,-40.22,,
,,271.2273,271.2273,,
,,-42.44,-40.78,,
,,275.4229,275.4229,,
,,-40.08,-41.11,,
,,279.6834,279.6834,,
,,-42.25,-41.48,,
,,284.0098,284.0098,,
,,-41.73,-41.84,,
,,288.4032,288.4032,,
,,-40.84,-42.56,,
,,292.8645,292.8645,,
,,-41.79,-43.26,,
,,297.3948,297.3948,,
,,-40.92,-43.65,,
,,301.9952,301.9952,,
,,-44.11,-44.11,,
,,306.6667,306.6667,,
,,-41,-44.48,,
,,311.4106,311.4106,,
,,-47.11,-45.1,,
,,316.2278,316.2278,,
,,-46.4,-45.45,,
,,321.1195,321.1195,,
,,-49.27,-45.78,,
,,326.0869,326.0869,,
,,-45.42,-46.21,,
,,331.1311,331.1311,,
,,-45.99,-46.93,,
,,336.2534,336.2534,,
,,-45.57,-47.52,,
,,341.4549,341.4549,,
,,-51.7,-48.14,,
,,346.7369,346.7369,,
,,-51.04,-48.73,,
,,352.1005,352.1005,,
,,-47.71,-49.33,,
,,357.5472,357.5472,,
,,-49.21,-49.92,,
,,363.0781,363.0781,,
,,-46.71,-50.28,,
,,368.6945,368.6945,,
,,-53.93,-50.7,,
,,374.3978,374.3978,,
,,-50.11,-51.13,,
,,380.1894,380.1894,,
,,-47.63,-51.38,,
,,386.0705,386.0705,,
,,-52.28,-51.61,,
,,392.0427,392.0427,,
,,-56.72,-51.93,,
,,398.1072,398.1072,,
,,-55.78,-52.25,,
,,404.2655,404.2655,,
,,-55.96,-52.52,,
,,410.5191,410.5191,,
,,-54.55,-52.81,,
,,416.8694,416.8694,,
,,-55.54,-52.93,,
,,423.3179,423.3179,,
