MeasResult
PNOISE:LPL
A.16.09,N9010A
544 B25 B40 EXM FS1 MPB P44 RTL ,01
AllowZeroAtten,False
AM Rejection,True
Automatic Trigger Time,0.1
Automatic Trigger Time State,False
Average Mode,Repeat
Average Number,10
Average State,False
Cancellation,False
Carrier Frequency,1347657648.73789
Electrical Atten,0
Electrical Atten State,False
External Array Trigger Delay,1E-06,1E-06,0,0
External Array Trigger Delay State,False,False,False,False
External Array Trigger Level,1.2,1.2,0,0
External Array Trigger Slope,Positive,Positive,Positive,Positive
ExternalGainValueSelection,Preamp
ExtGainPreampDb,0
Input Port,RF
Internal Preamp,False
Internal Preamp Band,Low
Line Trigger Delay,1E-06
Line Trigger Delay State,False
Line Trigger Slope,Positive
Meas Type,PhaseNoise
Mechanical Atten,20
MechanicalAttenStepEnum,S2dB
Overdrive(Mech Atten),False
Periodic Timer Period,0.02
Periodic Timer Sync Source,None
Periodic Timer Trigger Delay,1E-06
Periodic Timer Trigger Delay State,False
Preselector Adjust,0
Reference Trace,3
RFBurst Trigger Delay,1E-06
RFBurst Trigger Delay State,False
RFBurst Trigger Level Abs,-20
RFBurst Trigger Level Rel,-6
RFBurst Trigger Level Type,Absolute
RFBurst Trigger Slope,Positive
Smoothing,4
Start Offset,100
Stop Offset,1000000
Threshold,0.01
Trace Type,Raw,Smoothed,Blank,Raw,Raw,Raw
Trigger Holdoff,0.1
Trigger Holdoff State,False
Trigger Source,Free
MeasResult1,MeasResult2,MeasResult3,MeasResult4,MeasResult5,MeasResult6
3.58,601,100,100,9.91E+37,100
1347657648.73789,601,-34.19,-33.12,,-34.19
39.205890703952,0,101.5469,101.5469,,-33.12
0.684271878961,,-34.51,-32.6,,9.91E+37
1709.93464552444,,103.1177,103.1177,,1000
-33.12,,-29.84,-32.62,,-42.25
-126.83,,104.7129,104.7129,,-41.22
,,-30.74,-32.48,,9.91E+37
,,106.3327,106.3327,,10000
,,-33.13,-32.44,,-73.48
,,107.9775,107.9775,,-73
,,-31.62,-32.4,,9.91E+37
,,109.6478,109.6478,,100000
,,-32.4,-32.44,,-89.31
,,111.344,111.344,,-91.98
,,-34.2,-32.47,,9.91E+37
,,113.0663,113.0663,,1000000
,,-32.01,-32.59,,-127.1
,,114.8154,114.8154,,-126.83
,,-32.35,-32.62,,9.91E+37
,,116.5914,116.5914,,
,,-30.37,-32.83,,
,,118.395,118.395,,
,,-30.44,-32.9,,
,,120.2264,120.2264,,
,,-34.89,-32.8,,
,,122.0862,122.0862,,
,,-30.79,-32.77,,
,,123.9748,123.9748,,
,,-33.47,-32.76,,
,,125.8925,125.8925,,
,,-31.93,-32.83,,
,,127.84,127.84,,
,,-36.82,-32.98,,
,,129.8175,129.8175,,
,,-31.27,-33,,
,,131.8257,131.8257,,
,,-33.07,-33.06,,
,,133.8649,133.8649,,
,,-35.95,-32.97,,
,,135.9356,135.9356,,
,,-32.39,-32.94,,
,,138.0384,138.0384,,
,,-37.15,-32.87,,
,,140.1737,140.1737,,
,,-33.29,-32.89,,
,,142.3421,142.3421,,
,,-31.88,-33,,
,,144.544,144.544,,
,,-33.77,-32.99,,
,,146.7799,146.7799,,
,,-29.57,-33.09,,
,,149.0505,149.0505,,
,,-32.39,-33.05,,
,,151.3561,151.3561,,
,,-36.64,-33.25,,
