MeasResult
PNOISE:LPL
A.16.09,N9010A
544 B25 B40 EXM FS1 MPB P44 RTL ,01
AllowZeroAtten,False
AM Rejection,True
Automatic Trigger Time,0.1
Automatic Trigger Time State,False
Average Mode,Repeat
Average Number,10
Average State,False
Cancellation,False
Carrier Frequency,1331645981.16383
Electrical Atten,0
Electrical Atten State,False
External Array Trigger Delay,1E-06,1E-06,1E-06,1E-06
External Array Trigger Delay State,False,False,False,False
External Array Trigger Level,1.2,1.2,1.2,1.2
External Array Trigger Slope,Positive,Positive,Positive,Positive
ExternalGainValueSelection,Preamp
ExtGainPreampDb,0
Input Port,RF
Internal Preamp,False
Internal Preamp Band,Low
Line Trigger Delay,1E-06
Line Trigger Delay State,False
Line Trigger Slope,Positive
Meas Type,PhaseNoise
Mechanical Atten,10
MechanicalAttenStepEnum,S2dB
Overdrive(Mech Atten),False
Periodic Timer Period,0.02
Periodic Timer Sync Source,None
Periodic Timer Trigger Delay,1E-06
Periodic Timer Trigger Delay State,False
Preselector Adjust,0
Reference Trace,3
RFBurst Trigger Delay,1E-06
RFBurst Trigger Delay State,False
RFBurst Trigger Level Abs,-20
RFBurst Trigger Level Rel,-6
RFBurst Trigger Level Type,Absolute
RFBurst Trigger Slope,Positive
Smoothing,4
Start Offset,100
Stop Offset,1000000
Threshold,0.01
Trace Type,Raw,Smoothed,Blank,Raw,Raw,Raw
Trigger Holdoff,0.1
Trigger Holdoff State,False
Trigger Source,Free
MeasResult1,MeasResult2,MeasResult3,MeasResult4,MeasResult5,MeasResult6
1.53,601,100,100,9.91E+37,100
1331645981.16383,601,-31.15,-30.14,,-31.15
41.5377471355494,0,101.5469,101.5469,,-30.14
0.72497045137618,,-28.75,-30.61,,9.91E+37
1545.53529030472,,103.1177,103.1177,,1000
-30.14,,-28.68,-30.72,,-40.06
-127.3,,104.7129,104.7129,,-40.45
,,-30.83,-30.97,,9.91E+37
,,106.3327,106.3327,,10000
,,-32.17,-31.14,,-72.65
,,107.9775,107.9775,,-72.14
,,-33.06,-31.31,,9.91E+37
,,109.6478,109.6478,,100000
,,-34.4,-31.39,,-93.82
,,111.344,111.344,,-97.28
,,-25.81,-31.51,,9.91E+37
,,113.0663,113.0663,,1000000
,,-37.7,-31.59,,-128.51
,,114.8154,114.8154,,-127.3
,,-33.55,-31.68,,9.91E+37
,,116.5914,116.5914,,
,,-31.15,-31.63,,
,,118.395,118.395,,
,,-31.18,-31.78,,
,,120.2264,120.2264,,
,,-30.65,-31.99,,
,,122.0862,122.0862,,
,,-33.83,-32.02,,
,,123.9748,123.9748,,
,,-31.71,-31.98,,
,,125.8925,125.8925,,
,,-32.83,-32.18,,
,,127.84,127.84,,
,,-30.63,-32.19,,
,,129.8175,129.8175,,
,,-30.43,-32.18,,
,,131.8257,131.8257,,
,,-34.11,-32.32,,
,,133.8649,133.8649,,
,,-32.03,-32.64,,
,,135.9356,135.9356,,
,,-32.42,-32.47,,
,,138.0384,138.0384,,
,,-29.33,-32.48,,
,,140.1737,140.1737,,
,,-34.51,-32.57,,
,,142.3421,142.3421,,
