MeasResult
PNOISE:LPL
A.16.09,N9010A
544 B25 B40 EXM FS1 MPB P44 RTL ,01
AllowZeroAtten,False
AM Rejection,True
Automatic Trigger Time,0.1
Automatic Trigger Time State,False
Average Mode,Repeat
Average Number,10
Average State,False
Cancellation,False
Carrier Frequency,1693620901.961
Electrical Atten,0
Electrical Atten State,False
External Array Trigger Delay,1E-06,1E-06,0,0
External Array Trigger Delay State,False,False,False,False
External Array Trigger Level,1.2,1.2,0,0
External Array Trigger Slope,Positive,Positive,Positive,Positive
ExternalGainValueSelection,Preamp
ExtGainPreampDb,0
Input Port,RF
Internal Preamp,False
Internal Preamp Band,Low
Line Trigger Delay,1E-06
Line Trigger Delay State,False
Line Trigger Slope,Positive
Meas Type,PhaseNoise
Mechanical Atten,20
MechanicalAttenStepEnum,S2dB
Overdrive(Mech Atten),False
Periodic Timer Period,0.02
Periodic Timer Sync Source,None
Periodic Timer Trigger Delay,1E-06
Periodic Timer Trigger Delay State,False
Preselector Adjust,0
Reference Trace,3
RFBurst Trigger Delay,1E-06
RFBurst Trigger Delay State,False
RFBurst Trigger Level Abs,-20
RFBurst Trigger Level Rel,-6
RFBurst Trigger Level Type,Absolute
RFBurst Trigger Slope,Positive
Smoothing,4
Start Offset,100
Stop Offset,1000000
Threshold,0.01
Trace Type,Raw,Smoothed,Blank,Raw,Raw,Raw
Trigger Holdoff,0.1
Trigger Holdoff State,False
Trigger Source,Free
MeasResult1,MeasResult2,MeasResult3,MeasResult4,MeasResult5,MeasResult6
-1.04,601,100,100,9.91E+37,100
1693620901.961,601,-29.84,-30,,-29.84
62.436853165392,0,101.5469,101.5469,,-30
1.08972866232033,,-29.59,-30.31,,9.91E+37
74754.0550784757,,103.1177,103.1177,,1000
-30,,-30.05,-30.14,,-40.82
-100.99,,104.7129,104.7129,,-41.72
,,-29.77,-29.99,,9.91E+37
,,106.3327,106.3327,,10000
,,-30.7,-29.95,,-49.62
,,107.9775,107.9775,,-49.75
,,-32.36,-30.02,,9.91E+37
,,109.6478,109.6478,,100000
,,-31.6,-30.08,,-59.88
,,111.344,111.344,,-60.83
,,-27.69,-30.09,,9.91E+37
,,113.0663,113.0663,,1000000
,,-30.62,-30.06,,-100.74
,,114.8154,114.8154,,-100.99
,,-25.49,-30.04,,9.91E+37
,,116.5914,116.5914,,
,,-29.56,-30.18,,
,,118.395,118.395,,
,,-33.65,-30.32,,
,,120.2264,120.2264,,
,,-26.78,-30.41,,
,,122.0862,122.0862,,
,,-30.46,-30.48,,
,,123.9748,123.9748,,
,,-32.18,-30.53,,
,,125.8925,125.8925,,
,,-32.9,-30.7,,
,,127.84,127.84,,
,,-30.32,-30.61,,
,,129.8175,129.8175,,
,,-30.31,-30.56,,
,,131.8257,131.8257,,
,,-28.42,-30.65,,
,,133.8649,133.8649,,
,,-28.79,-30.71,,
,,135.9356,135.9356,,
,,-29.63,-30.79,,
,,138.0384,138.0384,,
,,-33.51,-30.94,,
,,140.1737,140.1737,,
,,-33.21,-30.92,,
,,142.3421,142.3421,,
,,-31.73,-30.91,,
,,144.544,144.544,,
,,-31.29,-31.11,,
,,146.7799,146.7799,,
,,-31.13,-31.11,,
,,149.0505,149.0505,,
,,-33.72,-31.11,,
,,151.3561,151.3561,,
,,-28.71,-31.02,,
,,153.6975,153.6975,,
,,-31.17,-31.15,,
,,156.075,156.075,,
,,-33.73,-31.07,,
,,158.4893,158.4893,,
,,-28.93,-31.18,,
,,160.941,160.941,,
,,-32.54,-31.31,,
,,163.4306,163.4306,,
,,-28.86,-31.35,,
,,165.9587,165.9587,,
,,-29.09,-31.32,,
,,168.5259,168.5259,,
