Trace
Log Plot
A.16.09,N9010A
544 B25 B40 EXM FS1 MPB P44 RTL ,01
AllowZeroAtten,False
AM Rejection,True
Automatic Trigger Time,0.1
Automatic Trigger Time State,False
Average Mode,Repeat
Average Number,10
Average State,False
Cancellation,False
Carrier Frequency,1693792333.70856
Electrical Atten,0
Electrical Atten State,False
External Array Trigger Delay,1E-06,1E-06,0,0
External Array Trigger Delay State,False,False,False,False
External Array Trigger Level,1.2,1.2,0,0
External Array Trigger Slope,Positive,Positive,Positive,Positive
ExternalGainValueSelection,Preamp
ExtGainPreampDb,0
Input Port,RF
Internal Preamp,False
Internal Preamp Band,Low
Line Trigger Delay,1E-06
Line Trigger Delay State,False
Line Trigger Slope,Positive
Meas Type,PhaseNoise
Mechanical Atten,20
MechanicalAttenStepEnum,S2dB
Noise Floor Extension,False
Overdrive(Mech Atten),False
Periodic Timer Period,0.02
Periodic Timer Sync Source,None
Periodic Timer Trigger Delay,1E-06
Periodic Timer Trigger Delay State,False
Preselector Adjust,0
Reference Trace,3
RFBurst Trigger Delay,1E-06
RFBurst Trigger Delay State,False
RFBurst Trigger Level Abs,-20
RFBurst Trigger Level Rel,-6
RFBurst Trigger Level Type,Absolute
RFBurst Trigger Slope,Positive
Smoothing,4
Start Offset,100
Stop Offset,1000000
Threshold,0.01
Trace Type,Raw,Smoothed,Blank,Raw,Raw,Raw
Trigger Holdoff,0.1
Trigger Holdoff State,False
Trigger Source,Free
Trace Name,Trace1
DATA,
100,-28.4140554068442
101.546899243308,-29.809684454083
103.117727459306,-30.1550597332042
104.71285480509,-29.983645859914
106.332657163716,-28.8370781060925
107.977516232771,-27.0422462649044
109.647819614319,-29.131948732832
111.343960906236,-31.3316267530426
113.066339794964,-33.2798571133676
114.815362149688,-31.3197905186396
116.591440117983,-32.5027510824352
118.39499222293,-33.3132899297553
120.226443461741,-31.438647628839
122.086225405907,-34.5496988552109
123.974776302894,-29.6779032194746
125.892541179417,-31.4461925429247
127.839971946302,-30.8631735765994
129.817527504985,-34.3521175326776
131.825673855641,-35.5677685158026
133.864884206999,-31.8526576172222
135.935639087853,-31.0590097520408
138.038426460288,-31.6791099502507
140.173741834677,-27.4508881780728
142.342088386434,-31.407657402215
144.543977074593,-31.1803577820523
146.779926762207,-32.7850392643487
149.05046433862,-30.5430642323947
151.356124843621,-33.0145876564007
153.697451593527,-30.7674478009769
156.074996309211,-29.6178970832374
158.489319246111,-28.5048428847227
160.940989326253,-30.6462196586579
163.430584272314,-30.5577735182296
165.958690743756,-30.6120358437484
168.525904475075,-33.366837517014
171.132830416178,-33.9296873408639
173.780082874938,-34.6828773863474
176.46828566195,-30.6088557104137
179.198072237533,-35.2429878713311
181.970085860998,-31.8157816585259
184.784979742229,-38.588002090054
187.643417195609,-32.489290248697
190.546071796325,-30.7246045033165
193.493627539095,-34.8081074137787
196.486778999347,-33.6231887957606
199.526231496888,-33.1515425064934
202.612701262114,-33.4140695846441
205.746915604784,-35.0041870332048
208.929613085404,-38.3998779606
212.161543689268,-31.3620618923449
215.443469003188,-31.3943130208621
218.776162394955,-33.7792312677857
222.160409195581,-34.7265757664205
225.597006884358,-34.3595199743416
229.086765276777,-32.2366215531279
232.630506715363,-32.5605786631085
236.229066263446,-35.7825000637752
239.883291901949,-34.5462349010336
243.594044729203,-35.5873913566457
247.362199163862,-29.4922837110086
251.188643150958,-32.0761971215067
255.074278371136,-35.8165722793371
259.020020453132,-34.5528834899827
263.026799189538,-32.3074304816231
267.095558755898,-35.6193532069854
271.227257933203,-33.8421777477432
275.422870333817,-36.6454555565851
279.683384630908,-33.601797209222
284.009804791421,-35.382608623413
288.403150312661,-37.4997509156391
292.864456462524,-35.6646789205148
297.394774523461,-35.7395529207482
301.995172040202,-33.3922586258036
306.666733071318,-32.4119392106536
311.410558444676,-34.3546205660181
316.227766016838,-37.3309625599443
321.119490936482,-35.7961487221609
326.086885911893,-36.4595887327407
331.131121482591,-29.9621497856039
336.253386295163,-38.4557507027852
341.45488738336,-36.5478949802352
346.736850452532,-34.1356485717474
352.100520168452,-33.8003438844007
357.547160450621,-37.1202247654509
363.078054770101,-40.6140611523996
368.694506451958,-38.9104027912201
374.397838982381,-36.9614470187159
380.189396320561,-41.1383712429192
386.070543215381,-40.0818457254114
392.042665527015,-34.6233445344401
398.107170553497,-39.998817912892
404.265487362344,-39.72143251702
410.519067127308,-39.3437555998906
416.869383470335,-42.4171441465275
423.317932808821,-38.7443480855084
429.866234708228,-41.1831185806856
436.515832240166,-41.2332433588598
443.268292346009,-41.9088723450486
450.125206206134,-39.8045013202051
457.088189614875,-36.1476516736353
464.158883361278,-36.5492265615114
471.33895361574,-35.4149970615323
478.630092322638,-39.9935793450695
486.034017599022,-39.5480062211302
493.552474139481,-43.4595463809859
501.187233627272,-38.7391429284984
508.940095151809,-37.3505167038113
516.812885632604,-33.9866287404523
524.807460249773,-36.4517211458287
532.9257028812,-37.0639278500709
541.169526546464,-37.1694478818291
549.540873857625,-39.9293074468255
558.041717476997,-37.7598817634093
566.674060581991,-38.1766054417939
575.439937337157,-37.6916254950518
584.341413373518,-39.8275097541585
593.380586275328,-39.5163171814047
602.559586074358,-37.1174747209978
611.880575751822,-40.1397099834258
621.345751748076,-35.7400163896144
630.957344480193,-38.8879998116895
640.717618867554,-41.9172412279531
650.628874865557,-44.4503821980457
660.693448007596,-38.1629070994586
670.913709955411,-39.2891286111708
681.292069057961,-40.2203091693199
691.830970918936,-38.0324728681545
702.532898973052,-39.164340458237
713.400375071256,-41.1568854448822
724.43596007499,-40.7180149597851
735.642254459641,-39.9340488030703
747.021898927332,-40.661501690423
758.577575029184,-39.8125609236073
770.312005797215,-41.0167308751258
782.227956386003,-39.936597788034
794.328234724282,-39.7339267373089
806.615692176613,-41.9881101725864
819.093224215297,-43.815802166071
831.763771102671,-39.5678106510592
844.630318583969,-43.9039083089613
857.695898590894,-40.8095824092952
870.96358995608,-40.9631794686404
884.4365191386,-46.1108642344235
898.117860960695,-39.1273034402335
912.01083935591,-44.7395441105948
926.118728128793,-41.8353141701963
940.444851726352,-42.1697805241108
954.992586021436,-43.3872333520915
969.765359108249,-41.8124379249548
984.766652110158,-41.3603486893179
1000,-42.2842767896649
1015.46899243308,-42.075163404177
1031.17727459306,-38.9217188384106
1047.1285480509,-42.3601845525551
1063.32657163716,-43.2835581735326
1079.77516232771,-42.7913888461929
1096.47819614319,-42.2808155850668
1113.43960906236,-39.0143707126284
1130.66339794964,-39.8937375649589
1148.15362149688,-38.371466265464
1165.91440117983,-41.6890709136286
1183.9499222293,-40.1078027899752
1202.26443461741,-41.5074656673416
1220.86225405907,-44.3838379523115
1239.74776302894,-40.5061483748125
1258.92541179417,-42.21529589026
1278.39971946302,-41.0034128224718
1298.17527504985,-39.5713433092899
1318.25673855641,-41.7254840901567
1338.64884206999,-38.2047290793849
1359.35639087853,-40.1253985017734
1380.38426460288,-40.2458372235103
1401.73741834677,-42.0740454938157
1423.42088386434,-41.2662039498989
1445.43977074593,-44.4914610513426
1467.79926762207,-40.5728812338108
1490.5046433862,-40.7346414348582
1513.56124843621,-40.1723777480117
