MeasResult
PNOISE:LPL
A.16.09,N9010A
544 B25 B40 EXM FS1 MPB P44 RTL ,01
AllowZeroAtten,False
AM Rejection,True
Automatic Trigger Time,0.1
Automatic Trigger Time State,False
Average Mode,Repeat
Average Number,10
Average State,False
Cancellation,False
Carrier Frequency,1343337831.27948
Electrical Atten,0
Electrical Atten State,False
External Array Trigger Delay,1E-06,1E-06,1E-06,1E-06
External Array Trigger Delay State,False,False,False,False
External Array Trigger Level,1.2,1.2,1.2,1.2
External Array Trigger Slope,Positive,Positive,Positive,Positive
ExternalGainValueSelection,Preamp
ExtGainPreampDb,0
Input Port,RF
Internal Preamp,False
Internal Preamp Band,Low
Line Trigger Delay,1E-06
Line Trigger Delay State,False
Line Trigger Slope,Positive
Meas Type,PhaseNoise
Mechanical Atten,20
MechanicalAttenStepEnum,S2dB
Overdrive(Mech Atten),False
Periodic Timer Period,0.02
Periodic Timer Sync Source,None
Periodic Timer Trigger Delay,1E-06
Periodic Timer Trigger Delay State,False
Preselector Adjust,0
Reference Trace,3
RFBurst Trigger Delay,1E-06
RFBurst Trigger Delay State,False
RFBurst Trigger Level Abs,-20
RFBurst Trigger Level Rel,-6
RFBurst Trigger Level Type,Absolute
RFBurst Trigger Slope,Positive
Smoothing,4
Start Offset,100
Stop Offset,1000000
Threshold,0.01
Trace Type,Raw,Smoothed,Blank,Raw,Raw,Raw
Trigger Holdoff,0.1
Trigger Holdoff State,False
Trigger Source,Free
MeasResult1,MeasResult2,MeasResult3,MeasResult4,MeasResult5,MeasResult6
3.72,601,100,100,9.91E+37,100
1343337831.27948,601,-28.81,-29.71,,-28.81
40.4397500322709,0,101.5469,101.5469,,-29.71
0.70580678674661,,-29.71,-30.27,,9.91E+37
19628.2221733466,,103.1177,103.1177,,1000
-29.71,,-30.39,-30.76,,-38.11
-99.07,,104.7129,104.7129,,-40.59
,,-32.77,-30.98,,9.91E+37
,,106.3327,106.3327,,10000
,,-32.64,-31.28,,-70.6
,,107.9775,107.9775,,-70.32
,,-30.78,-31.47,,9.91E+37
,,109.6478,109.6478,,100000
,,-30.46,-31.7,,-71.67
,,111.344,111.344,,-69.74
,,-30.03,-31.99,,9.91E+37
,,113.0663,113.0663,,1000000
,,-36.62,-32.12,,-98.53
,,114.8154,114.8154,,-99.07
,,-33.67,-32.16,,9.91E+37
,,116.5914,116.5914,,
,,-33.91,-32.11,,
,,118.395,118.395,,
,,-32.36,-32.15,,
,,120.2264,120.2264,,
,,-32.39,-32.12,,
,,122.0862,122.0862,,
,,-31.26,-32.19,,
,,123.9748,123.9748,,
,,-34.24,-32.2,,
,,125.8925,125.8925,,
,,-31.05,-32.19,,
,,127.84,127.84,,
,,-34.73,-32.16,,
,,129.8175,129.8175,,
,,-35.36,-32.47,,
,,131.8257,131.8257,,
,,-37.01,-32.62,,
,,133.8649,133.8649,,
,,-30.25,-32.9,,
,,135.9356,135.9356,,
,,-29.86,-32.63,,
,,138.0384,138.0384,,
,,-28.93,-32.45,,
,,140.1737,140.1737,,
,,-32.14,-32.37,,
,,142.3421,142.3421,,
