MeasResult
PNOISE:LPL
A.16.09,N9010A
544 B25 B40 EXM FS1 MPB P44 RTL ,01
AllowZeroAtten,False
AM Rejection,True
Automatic Trigger Time,0.1
Automatic Trigger Time State,False
Average Mode,Repeat
Average Number,10
Average State,False
Cancellation,False
Carrier Frequency,1692110039.34619
Electrical Atten,0
Electrical Atten State,False
External Array Trigger Delay,1E-06,1E-06,1E-06,1E-06
External Array Trigger Delay State,False,False,False,False
External Array Trigger Level,1.2,1.2,1.2,1.2
External Array Trigger Slope,Positive,Positive,Positive,Positive
ExternalGainValueSelection,Preamp
ExtGainPreampDb,0
Input Port,RF
Internal Preamp,False
Internal Preamp Band,Low
Line Trigger Delay,1E-06
Line Trigger Delay State,False
Line Trigger Slope,Positive
Meas Type,PhaseNoise
Mechanical Atten,30
MechanicalAttenStepEnum,S2dB
Overdrive(Mech Atten),False
Periodic Timer Period,0.02
Periodic Timer Sync Source,None
Periodic Timer Trigger Delay,1E-06
Periodic Timer Trigger Delay State,False
Preselector Adjust,0
Reference Trace,3
RFBurst Trigger Delay,1E-06
RFBurst Trigger Delay State,False
RFBurst Trigger Level Abs,-20
RFBurst Trigger Level Rel,-6
RFBurst Trigger Level Type,Absolute
RFBurst Trigger Slope,Positive
Smoothing,4
Start Offset,100
Stop Offset,1000000
Threshold,0.01
Trace Type,Raw,Smoothed,Blank,Raw,Raw,Raw
Trigger Holdoff,0.1
Trigger Holdoff State,False
Trigger Source,Free
MeasResult1,MeasResult2,MeasResult3,MeasResult4,MeasResult5,MeasResult6
-13.57,601,100,100,9.91E+37,100
1692110039.34619,601,-34.91,-34.49,,-34.91
59.2734939229389,0,101.5469,101.5469,,-34.49
1.03451762811613,,-33.87,-34.48,,9.91E+37
73684.4804726264,,103.1177,103.1177,,1000
-34.49,,-33.02,-34.39,,-41.58
-101.1,,104.7129,104.7129,,-41.49
,,-35.48,-34.26,,9.91E+37
,,106.3327,106.3327,,10000
,,-33.54,-34.05,,-48.94
,,107.9775,107.9775,,-50.25
,,-32,-33.95,,9.91E+37
,,109.6478,109.6478,,100000
,,-36.05,-33.91,,-61.44
,,111.344,111.344,,-60.38
,,-34.15,-33.94,,9.91E+37
,,113.0663,113.0663,,1000000
,,-36.15,-33.9,,-99.33
,,114.8154,114.8154,,-101.1
,,-33.44,-33.75,,9.91E+37
,,116.5914,116.5914,,
,,-32.04,-33.7,,
,,118.395,118.395,,
,,-32.77,-33.71,,
,,120.2264,120.2264,,
,,-32.26,-33.79,,
,,122.0862,122.0862,,
,,-32.18,-33.75,,
,,123.9748,123.9748,,
,,-31.96,-33.94,,
,,125.8925,125.8925,,
,,-35.35,-33.78,,
,,127.84,127.84,,
,,-35.33,-33.74,,
,,129.8175,129.8175,,
,,-34.61,-33.76,,
,,131.8257,131.8257,,
,,-36.14,-33.58,,
,,133.8649,133.8649,,
,,-32.42,-33.84,,
,,135.9356,135.9356,,
,,-29.85,-33.76,,
,,138.0384,138.0384,,
,,-33.18,-33.9,,
,,140.1737,140.1737,,
,,-34.63,-33.89,,
,,142.3421,142.3421,,
,,-36.79,-33.87,,
,,144.544,144.544,,
,,-33,-34.05,,
,,146.7799,146.7799,,
,,-37.23,-34.23,,
,,149.0505,149.0505,,
,,-31.87,-34.45,,
,,151.3561,151.3561,,
,,-32.68,-34.49,,
,,153.6975,153.6975,,
,,-32.44,-34.51,,
,,156.075,156.075,,
,,-31.99,-34.35,,
,,158.4893,158.4893,,
,,-40.05,-34.1,,
,,160.941,160.941,,
,,-34.21,-34.14,,
,,163.4306,163.4306,,
,,-36.84,-34.47,,
,,165.9587,165.9587,,
,,-31.77,-34.43,,
,,168.5259,168.5259,,
,,-32.13,-34.39,,
,,171.1328,171.1328,,
,,-36.39,-34.27,,
,,173.7801,173.7801,,
,,-36.55,-34.33,,
,,176.4683,176.4683,,
,,-36.95,-34.03,,
,,179.1981,179.1981,,
,,-36.19,-34.09,,
,,181.9701,181.9701,,
,,-35.88,-34.15,,
,,184.785,184.785,,
,,-30.98,-34.34,,
,,187.6434,187.6434,,
,,-30.34,-34.36,,
,,190.5461,190.5461,,
,,-33.21,-34.17,,
,,193.4936,193.4936,,
,,-37.42,-34.32,,
,,196.4868,196.4868,,
,,-32.35,-34.21,,
,,199.5262,199.5262,,
,,-33.68,-34.26,,
,,202.6127,202.6127,,
,,-34.08,-34.3,,
,,205.7469,205.7469,,
,,-34.29,-34.26,,
,,208.9296,208.9296,,
,,-30.43,-34.25,,
,,212.1615,212.1615,,
,,-33.15,-34.29,,
,,215.4435,215.4435,,
,,-34.2,-34.36,,
,,218.7762,218.7762,,
,,-36.7,-34.31,,
,,222.1604,222.1604,,
,,-32.49,-34.51,,
,,225.597,225.597,,
,,-35.67,-34.81,,
,,229.0868,229.0868,,
,,-37.77,-35.03,,
,,232.6305,232.6305,,
,,-34.23,-34.82,,
,,236.2291,236.2291,,
,,-33.01,-34.86,,
,,239.8833,239.8833,,
,,-32.97,-34.93,,
,,243.594,243.594,,
,,-35.47,-34.87,,
,,247.3622,247.3622,,
,,-36.23,-35,,
,,251.1886,251.1886,,
,,-37.83,-35.03,,
,,255.0743,255.0743,,
,,-37.87,-35.01,,
,,259.02,259.02,,
,,-34.66,-35.05,,
,,263.0268,263.0268,,
,,-35.6,-35.01,,
,,267.0956,267.0956,,
,,-37.24,-35.18,,
,,271.2273,271.2273,,
,,-38.42,-35.18,,
,,275.4229,275.4229,,
,,-32.49,-35.25,,
,,279.6834,279.6834,,
,,-33.37,-35.43,,
,,284.0098,284.0098,,
,,-35.29,-35.7,,
,,288.4032,288.4032,,
,,-32.69,-35.9,,
,,292.8645,292.8645,,
,,-37.32,-35.94,,
,,297.3948,297.3948,,
,,-30.99,-35.93,,
,,301.9952,301.9952,,
,,-32.8,-35.97,,
,,306.6667,306.6667,,
,,-35,-35.81,,
,,311.4106,311.4106,,
,,-35.93,-35.98,,
,,316.2278,316.2278,,
,,-36.39,-36.03,,
,,321.1195,321.1195,,
,,-35.54,-36.07,,
,,326.0869,326.0869,,
,,-39.51,-36.03,,
,,331.1311,331.1311,,
,,-38.18,-36.37,,
,,336.2534,336.2534,,
,,-39.42,-36.51,,
,,341.4549,341.4549,,
,,-37.4,-36.76,,
,,346.7369,346.7369,,
,,-36.56,-37.06,,
,,352.1005,352.1005,,
,,-35.92,-37.15,,
,,357.5472,357.5472,,
,,-38.82,-37.32,,
,,363.0781,363.0781,,
,,-33.99,-37.6,,
,,368.6945,368.6945,,
,,-38.75,-37.9,,
,,374.3978,374.3978,,
,,-36.62,-37.95,,
,,380.1894,380.1894,,
,,-38.1,-37.98,,
,,386.0705,386.0705,,
,,-37.51,-38,,
,,392.0427,392.0427,,
,,-40.36,-37.84,,
,,398.1072,398.1072,,
,,-36.71,-37.73,,
,,404.2655,404.2655,,
,,-40.95,-37.73,,
,,410.5191,410.5191,,
,,-39.59,-37.91,,
,,416.8694,416.8694,,
,,-39.37,-37.93,,
,,423.3179,423.3179,,
,,-34.9,-38.06,,
,,429.8662,429.8662,,
,,-39.16,-37.97,,
,,436.5158,436.5158,,
,,-42.05,-37.97,,
,,443.2683,443.2683,,
,,-36.95,-37.91,,
,,450.1252,450.1252,,
,,-37.15,-38.05,,
,,457.0882,457.0882,,
,,-35.96,-38.06,,
,,464.1589,464.1589,,
,,-35.86,-38.21,,
,,471.339,471.339,,
,,-35.78,-38.13,,
,,478.6301,478.6301,,
,,-39.33,-38.26,,
,,486.034,486.034,,
,,-41.52,-38.31,,
,,493.5525,493.5525,,
,,-36.94,-38.26,,
,,501.1872,501.1872,,
,,-38.99,-38.11,,
,,508.9401,508.9401,,
,,-36.72,-38.18,,
,,516.8129,516.8129,,
,,-33.91,-38.14,,
,,524.8075,524.8075,,
,,-37.54,-38.01,,
,,532.9257,532.9257,,
,,-39.71,-38.11,,
,,541.1695,541.1695,,
,,-38.38,-38.27,,
,,549.5409,549.5409,,
,,-40.97,-38.37,,
,,558.0417,558.0417,,
,,-38.48,-38.62,,
,,566.6741,566.6741,,
,,-39.84,-38.82,,
,,575.4399,575.4399,,
,,-42.05,-38.86,,
,,584.3414,584.3414,,
,,-38.48,-38.7,,
,,593.3806,593.3806,,
,,-35.81,-38.77,,
,,602.5596,602.5596,,
,,-36.64,-38.75,,
,,611.8806,611.8806,,
,,-38.11,-38.81,,
,,621.3458,621.3458,,
,,-39,-39.04,,
,,630.9573,630.9573,,
,,-39.33,-39.18,,
,,640.7176,640.7176,,
,,-40.89,-39.22,,
,,650.6289,650.6289,,
,,-38.29,-39.34,,
,,660.6934,660.6934,,
,,-41.48,-39.51,,
,,670.9137,670.9137,,
